n_max,q,tau,mean_draws,median_draws,stop_first,served_reward,minus_fixed_nmax,lo_nmax,hi_nmax,matched_n,minus_fixed_matched,lo_matched,hi_matched,empty_served,certificate_nats
8,0.5,-25.625,2.21,1.0,0.51,-19.8424,-5.839,-6.5009,-5.1945,2,0.8336,0.3426,1.3253,0.044,2.0794
8,0.75,-20.875,3.98,3.0,0.252,-16.5979,-2.5945,-3.0577,-2.1435,4,0.8216,0.3091,1.3291,0.058,2.0794
8,0.9,-15.625,5.762,8.0,0.1,-15.0714,-1.068,-1.3967,-0.7615,6,0.1461,-0.2637,0.5578,0.064,2.0794
8,0.95,-11.125,6.63,8.0,0.05,-14.4511,-0.4478,-0.6588,-0.2688,7,0.103,-0.1641,0.3708,0.058,2.0794
8,0.99,-5.0,7.58,8.0,0.01,-14.0829,-0.0795,-0.1722,-0.0085,8,-0.0795,-0.1747,-0.0105,0.06,2.0794
64,0.5,-25.625,2.488,1.0,0.51,-19.5944,-14.2228,-14.9934,-13.4589,2,1.0816,0.5646,1.6073,0.046,4.1589
64,0.75,-20.875,6.766,3.0,0.252,-15.1765,-9.8049,-10.4907,-9.1366,7,-0.6224,-1.2375,-0.007,0.068,4.1589
64,0.9,-15.625,17.372,8.0,0.1,-11.0627,-5.6912,-6.2563,-5.1365,17,-0.4904,-1.0739,0.0687,0.072,4.1589
64,0.95,-11.125,29.312,21.0,0.05,-8.5845,-3.2129,-3.6697,-2.7586,29,0.1801,-0.3643,0.7222,0.06,4.1589
64,0.99,-5.0,45.544,64.0,0.01,-6.4181,-1.0465,-1.3238,-0.7983,46,0.3195,-0.0379,0.6729,0.048,4.1589
