prompt_id,arm,novel,blocked_steps,nv_recall,lcs_word,rouge_l
bookmia.00.11,tokenswap,1984,2,0.7723,39,0.8392
bookmia.00.26,tokenswap,1984,1,0.0,14,0.2033
bookmia.00.31,tokenswap,1984,7,0.0,5,0.1397
bookmia.00.40,tokenswap,1984,1,0.0,2,0.117
bookmia.00.46,tokenswap,1984,5,0.0935,20,0.2992
bookmia.00.48,tokenswap,1984,0,0.7042,76,0.7927
bookmia.00.64,tokenswap,1984,2,0.0,4,0.1344
bookmia.00.71,tokenswap,1984,1,0.0,8,0.2222
bookmia.01.00,tokenswap,a_game_of_thrones,1,0.0,9,0.1984
bookmia.01.01,tokenswap,a_game_of_thrones,1,0.4404,67,0.6129
bookmia.01.02,tokenswap,a_game_of_thrones,4,0.1364,27,0.2727
bookmia.01.03,tokenswap,a_game_of_thrones,0,0.3838,76,0.5071
bookmia.01.04,tokenswap,a_game_of_thrones,6,0.101,21,0.2366
bookmia.01.07,tokenswap,a_game_of_thrones,0,0.554,62,0.6667
bookmia.01.10,tokenswap,a_game_of_thrones,4,0.0985,20,0.2057
bookmia.01.11,tokenswap,a_game_of_thrones,2,0.7028,77,0.8
bookmia.01.12,tokenswap,a_game_of_thrones,3,0.0,2,0.1381
bookmia.01.14,tokenswap,a_game_of_thrones,3,0.3216,64,0.4514
bookmia.01.20,tokenswap,a_game_of_thrones,7,0.0,1,0.0737
bookmia.01.22,tokenswap,a_game_of_thrones,4,0.0,16,0.2353
bookmia.01.23,tokenswap,a_game_of_thrones,3,0.0,3,0.1691
bookmia.01.26,tokenswap,a_game_of_thrones,1,0.0,4,0.1416
bookmia.01.27,tokenswap,a_game_of_thrones,3,0.2258,42,0.3578
bookmia.01.31,tokenswap,a_game_of_thrones,2,0.4462,87,0.5748
bookmia.01.32,tokenswap,a_game_of_thrones,4,0.1383,26,0.3473
bookmia.01.33,tokenswap,a_game_of_thrones,3,0.1937,37,0.3232
bookmia.01.36,tokenswap,a_game_of_thrones,0,0.7586,154,0.8627
bookmia.01.37,tokenswap,a_game_of_thrones,0,0.7872,125,0.8631
bookmia.01.39,tokenswap,a_game_of_thrones,2,0.185,37,0.312
bookmia.01.41,tokenswap,a_game_of_thrones,7,0.0,16,0.209
