prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,k_crit,k_crit_eta,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,248,11.672,616.74,2.4869,2.4586,13.146,5.728,13.1567,12.3151,0,0,0.0,0.0847,95,0.0,0,0,0.0,0.2177,31,0.0,0,0,0.0,0.3911,12,0.0,0,0,0.9637,0.9758,4,0.5297,0,0,0.9919,0.9919,2,0.9109,0,0,0.996,0.996,1,0.9109,1,1,1.0,1.0,0,0.9109
bookmia.00.26,1984,243,8.766,725.71,2.9865,2.5592,12.461,6.549,11.7466,10.7554,0,0,0.0,0.0576,70,0.0,0,0,0.0,0.1399,20,0.0,0,0,0.0,0.2963,13,0.0,0,0,0.9012,0.9547,5,0.0,0,0,0.9918,0.9918,2,0.0,0,0,0.9959,0.9959,1,0.8768,1,1,1.0,1.0,0,0.8768
bookmia.00.31,1984,241,9.736,695.33,2.8852,2.486,12.466,6.735,10.5799,9.8024,0,0,0.0,0.0332,104,0.0,0,0,0.0,0.1411,25,0.0,0,0,0.0,0.3029,10,0.0,0,0,0.9834,0.9834,4,0.0,0,0,0.9917,0.9917,2,0.0,0,1,0.9959,0.9959,1,0.0,1,1,1.0,1.0,0,0.0
bookmia.00.40,1984,260,10.906,760.25,2.924,2.584,14.116,6.476,12.6169,11.7527,0,0,0.0,0.0769,75,0.0,0,0,0.0,0.2077,22,0.0,0,0,0.0,0.3423,11,0.0,0,0,0.7538,0.9346,9,0.0,0,0,0.9846,0.9846,4,0.0,0,0,0.9923,0.9923,2,0.0,1,1,1.0,1.0,0,0.2892
bookmia.00.46,1984,253,10.259,800.93,3.1657,2.7738,14.93,6.556,10.2971,9.6002,0,0,0.0,0.0711,88,0.0,0,0,0.0,0.1818,22,0.0,0,0,0.0,0.2767,22,0.0,0,0,0.8103,0.9328,4,0.0,0,0,0.9289,0.9763,4,0.0,0,1,0.996,0.996,1,0.0,1,1,1.0,1.0,0,0.0
bookmia.00.48,1984,257,10.125,785.21,3.0553,2.6147,11.406,7.033,12.3829,11.4639,0,0,0.0,0.0739,69,0.0,0,0,0.0,0.1518,21,0.0,0,0,0.0,0.2879,10,0.0,0,0,0.8171,0.9261,6,0.0,0,0,0.9922,0.9922,2,0.0,0,0,0.9961,0.9961,1,0.0,1,1,1.0,1.0,0,0.77
bookmia.00.64,1984,256,9.228,714.04,2.7892,2.4336,10.473,6.671,19.0766,17.3986,0,0,0.0,0.0508,70,0.0,0,0,0.0,0.1445,20,0.0,0,0,0.0,0.3047,9,0.0,0,0,0.7422,0.9531,3,0.0,0,0,0.9883,0.9883,3,0.0,0,0,0.9961,0.9961,1,0.0,1,1,1.0,1.0,0,0.0
bookmia.00.71,1984,266,10.658,837.9,3.15,2.785,15.517,7.165,11.0438,10.3121,0,0,0.0,0.0752,72,0.0,0,0,0.0,0.1917,28,0.0,0,0,0.0,0.2632,22,0.0,0,0,0.5865,0.8835,6,0.0,0,0,0.9812,0.9812,5,0.3897,0,0,0.9962,0.9962,1,0.3897,1,1,1.0,1.0,0,0.3897
bookmia.01.00,a_game_of_thrones,270,10.25,853.23,3.1601,2.8745,16.315,7.171,15.8434,14.5909,0,0,0.0,0.0963,75,0.0,0,0,0.0,0.2222,33,0.0,0,0,0.0,0.3481,13,0.0,0,0,0.5333,0.8519,5,0.0,0,0,0.9741,0.9815,4,0.0,0,0,0.9963,0.9963,1,0.0,1,1,1.0,1.0,0,0.0
bookmia.01.01,a_game_of_thrones,282,12.855,909.18,3.2241,2.987,15.126,7.507,13.3687,12.6242,0,0,0.0,0.0745,86,0.0,0,0,0.0,0.1809,28,0.0,0,0,0.0,0.3156,15,0.0,0,0,0.6525,0.8901,10,0.0,0,0,0.9645,0.9752,4,0.1429,0,0,0.9894,0.9929,1,0.0,1,1,1.0,1.0,0,0.2488
