prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,k_crit,k_crit_eta,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,285,8.421,570.73,2.0026,2.2962,11.233,5.134,8.4211,7.728,0,0,0.0,0.186,65,0.0,0,0,0.0,0.3614,17,0.0,0,0,0.0,0.5404,17,0.0,0,0,0.993,0.993,2,1.0,0,0,0.993,0.993,2,1.0,1,1,1.0,1.0,0,1.0,1,1,1.0,1.0,0,1.0
bookmia.00.26,1984,287,7.431,622.37,2.1685,2.3822,14.597,5.351,7.6278,6.915,0,0,0.0,0.1951,49,0.0,0,0,0.0,0.338,15,0.0,0,0,0.0,0.5366,8,0.0,0,0,0.9721,0.9791,3,0.9953,0,0,0.993,0.993,2,1.0,1,1,1.0,1.0,0,1.0,1,1,1.0,1.0,0,1.0
bookmia.00.31,1984,272,7.848,601.67,2.212,2.3089,13.185,5.353,12.2884,11.1512,0,0,0.0,0.1213,53,0.0,0,0,0.0,0.2757,19,0.0,0,0,0.0,0.4926,10,0.0,0,0,0.9926,0.9926,2,0.9948,0,0,0.9963,0.9963,1,0.9948,0,0,0.9963,0.9963,1,0.9948,1,1,1.0,1.0,0,1.0
bookmia.00.40,1984,295,8.631,702.88,2.3827,2.4515,10.968,6.309,9.4911,8.7119,0,0,0.0,0.1695,78,0.0,0,0,0.0,0.3153,17,0.0,0,0,0.0,0.5051,13,0.0,0,0,0.9593,0.9695,3,0.0,0,0,0.9898,0.9932,1,0.0,1,1,1.0,1.0,0,0.9903,1,1,1.0,1.0,0,0.9903
bookmia.00.46,1984,293,8.325,698.29,2.3833,2.5705,11.583,6.207,8.4633,7.7563,0,0,0.0,0.1911,62,0.0,0,0,0.0,0.3379,21,0.0,0,0,0.0,0.4846,10,0.0,0,0,0.9078,0.9761,4,0.0,0,0,0.9863,0.9863,4,0.0,1,1,1.0,1.0,0,1.0,1,1,1.0,1.0,0,1.0
bookmia.00.48,1984,314,8.356,668.39,2.1286,2.4208,11.181,5.537,14.8501,13.5075,0,0,0.0,0.2197,56,0.0,0,0,0.0,0.379,23,0.0,0,0,0.0,0.5828,9,0.0,0,0,0.9713,0.9777,5,0.0,0,0,0.9936,0.9936,2,0.0,0,0,0.9968,0.9968,1,1.0,1,1,1.0,1.0,0,1.0
bookmia.00.64,1984,308,7.879,633.23,2.0559,2.2907,13.211,5.21,11.6389,10.5698,0,0,0.0,0.1948,54,0.0,0,0,0.0,0.3539,21,0.0,0,0,0.0,0.5682,8,0.0,0,0,0.9318,0.9773,5,0.0,0,0,0.9838,0.987,3,0.0,0,0,0.9968,0.9968,1,0.0,1,1,1.0,1.0,0,0.7534
bookmia.00.71,1984,325,8.466,710.15,2.1851,2.554,14.705,5.861,16.7601,15.2376,0,0,0.0,0.2277,57,0.0,0,0,0.0,0.3785,20,0.0,0,0,0.0,0.5569,8,0.0,0,0,0.9785,0.9785,7,0.0,0,0,0.9815,0.9908,1,0.0,0,0,0.9969,0.9969,1,1.0,1,1,1.0,1.0,0,1.0
bookmia.01.00,a_game_of_thrones,334,8.738,704.43,2.1091,2.5006,14.685,5.918,11.2964,10.3474,0,0,0.0,0.2605,58,0.0,0,0,0.0,0.3982,19,0.0,0,0,0.0749,0.5898,9,0.0,0,0,0.9431,0.982,3,0.0,0,0,0.994,0.994,2,0.0,0,0,0.997,0.997,1,0.9953,1,1,1.0,1.0,0,0.9953
bookmia.01.01,a_game_of_thrones,345,10.475,795.87,2.3069,2.7433,14.001,6.412,14.1279,13.0695,0,0,0.0,0.2203,70,0.0,0,0,0.0,0.371,31,0.0,0,0,0.0,0.5565,14,0.0,0,0,0.9246,0.9652,3,0.0,0,0,0.9826,0.9913,2,0.0,0,0,0.9971,0.9971,1,0.0,1,1,1.0,1.0,0,1.0
