prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,k_crit,k_crit_eta,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,504,0.0,910.42,1.8064,2.3642,14.144,5.326,2.1702,1.26,0,0,0.0,0.373,18,,0,0,0.0,0.5238,0,,0,0,0.0,0.6488,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.26,1984,558,0.0,1051.26,1.884,2.4668,11.77,5.573,2.0221,1.1268,0,0,0.0,0.3978,2,,0,0,0.0,0.5287,1,,0,0,0.0,0.6577,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.31,1984,502,0.0,1101.72,2.1947,2.5883,11.805,6.226,2.448,1.51,0,0,0.0,0.3028,4,,0,0,0.0,0.4582,0,,0,0,0.0,0.5677,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.40,1984,560,0.0,1195.86,2.1355,2.6673,12.561,6.343,2.6113,1.657,0,0,0.0,0.3696,1,,0,0,0.0,0.4964,1,,0,0,0.0,0.6036,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.46,1984,571,0.0,1189.6,2.0834,2.6193,11.974,6.104,3.2553,2.2366,0,0,0.0,0.3695,1,,0,0,0.0,0.5096,1,,0,0,0.0,0.627,1,,0,1,0.9877,0.9965,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.48,1984,575,0.0,1184.39,2.0598,2.6806,15.803,6.035,3.104,2.1005,0,0,0.0,0.3965,0,,0,0,0.0,0.5026,0,,0,0,0.0574,0.6313,0,,0,1,0.993,0.9983,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.64,1984,581,0.0,1107.4,1.906,2.4674,12.851,5.639,2.7942,1.8216,0,0,0.0,0.3941,0,,0,0,0.0,0.5232,0,,0,0,0.0,0.654,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.71,1984,585,0.0,1284.22,2.1952,2.792,13.26,6.47,4.3434,3.2159,0,0,0.0,0.3436,11,,0,0,0.0,0.4821,3,,0,0,0.0,0.6085,1,,0,0,0.9812,0.9915,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.00,a_game_of_thrones,592,0.0,1407.41,2.3774,2.8723,13.5,6.646,3.6619,2.6025,0,0,0.0,0.3361,5,,0,0,0.0,0.4764,3,,0,0,0.0,0.5625,3,,0,1,0.9865,0.9932,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.01,a_game_of_thrones,629,0.0,1417.88,2.2542,2.8199,12.657,6.807,2.9944,2.0018,0,0,0.0,0.3418,4,,0,0,0.0,0.4754,0,,0,0,0.0588,0.6025,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.02,a_game_of_thrones,554,0.0,1363.92,2.462,2.8312,14.523,6.784,7.1406,5.7334,0,0,0.0,0.3141,1,,0,0,0.0,0.4332,1,,0,0,0.0,0.5415,1,,0,0,0.9928,0.9964,1,,0,0,0.9982,0.9982,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.03,a_game_of_thrones,543,0.0,1207.47,2.2237,2.5839,13.866,6.107,3.1431,2.1357,0,0,0.0,0.337,3,,0,0,0.0,0.4457,1,,0,0,0.0,0.5672,1,,0,1,0.9982,0.9982,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.04,a_game_of_thrones,560,0.0,1185.69,2.1173,2.7762,14.826,6.477,3.2144,2.1998,0,0,0.0,0.3554,0,,0,0,0.0,0.4982,0,,0,0,0.0,0.6232,0,,0,1,0.975,0.9964,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.07,a_game_of_thrones,608,0.0,1328.82,2.1856,2.6149,12.37,6.277,3.6677,2.6078,0,0,0.0,0.3438,3,,0,0,0.0,0.4391,2,,0,0,0.0,0.5691,0,,0,1,0.9786,0.9934,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.10,a_game_of_thrones,531,0.0,1200.01,2.2599,2.7874,12.113,6.549,3.2127,2.1983,0,0,0.0,0.3578,9,,0,0,0.0,0.4953,1,,0,0,0.0,0.5932,1,,0,1,0.9529,0.9925,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.11,a_game_of_thrones,536,0.0,1096.48,2.0457,2.7876,13.685,6.275,2.3482,1.4202,0,0,0.0,0.3955,0,,0,0,0.0,0.5205,0,,0,0,0.0466,0.6437,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.12,a_game_of_thrones,577,0.0,1321.48,2.2903,2.7141,13.771,6.389,2.7656,1.7959,0,0,0.0,0.3189,0,,0,0,0.0,0.4419,0,,0,0,0.0,0.565,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.14,a_game_of_thrones,528,0.0,1226.24,2.3224,2.7299,11.074,6.434,3.1353,2.1286,0,0,0.0,0.3182,7,,0,0,0.0,0.4564,0,,0,0,0.0,0.5795,0,,0,1,0.9337,0.9886,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.20,a_game_of_thrones,577,0.0,1330.2,2.3054,2.6812,11.649,6.355,3.0091,2.015,0,0,0.0,0.3206,0,,0,0,0.0,0.4402,0,,0,0,0.0,0.5477,0,,0,1,0.974,0.9965,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
