prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,k_crit,k_crit_eta,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,276,0.0,607.87,2.2024,2.7004,13.009,6.433,7.4602,6.0211,0,0,0.0,0.3333,3,,0,0,0.0,0.471,3,,0,0,0.0,0.5761,3,,0,0,0.9819,0.9891,2,,0,0,0.9928,0.9928,2,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.26,1984,276,0.0,554.33,2.0085,2.5207,12.448,5.672,3.2986,2.2756,0,0,0.0,0.3478,0,,0,0,0.0,0.5072,0,,0,0,0.0,0.6087,0,,0,1,0.9855,0.9964,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.31,1984,276,0.0,673.01,2.4385,2.671,12.382,6.33,5.391,4.1587,0,0,0.0,0.2645,15,,0,0,0.0,0.4167,1,,0,0,0.0,0.5254,1,,0,0,0.9275,0.9746,1,,0,1,0.9964,0.9964,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.40,1984,276,0.0,617.76,2.2382,2.8582,18.847,6.562,3.9494,2.8613,0,0,0.0,0.3551,1,,0,0,0.0,0.4746,1,,0,0,0.0,0.5978,1,,0,1,0.9819,0.9928,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.46,1984,276,0.0,607.02,2.1993,2.5258,9.794,6.248,2.7084,1.7444,0,0,0.0,0.3188,1,,0,0,0.0,0.4674,0,,0,0,0.0,0.5761,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.48,1984,276,0.0,570.61,2.0674,2.5772,11.373,5.898,3.1107,2.1065,0,0,0.0,0.3551,1,,0,0,0.0,0.5109,1,,0,0,0.0,0.6304,1,,0,1,0.9565,0.9928,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.64,1984,276,0.0,616.49,2.2337,2.8645,13.122,7.052,3.4194,2.3843,0,0,0.0,0.3442,0,,0,0,0.0,0.5145,0,,0,0,0.0,0.6232,0,,0,1,0.9928,0.9964,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.71,1984,276,0.0,653.7,2.3685,2.8721,11.572,6.693,2.8451,1.8674,0,0,0.0,0.2935,1,,0,0,0.0,0.4565,1,,0,0,0.0,0.5616,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.00,a_game_of_thrones,276,0.0,708.62,2.5675,3.0253,12.843,7.137,4.2539,3.1354,0,0,0.0,0.3116,4,,0,0,0.0,0.4493,0,,0,0,0.0,0.529,0,,0,0,0.9928,0.9964,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.01,a_game_of_thrones,276,0.0,725.0,2.6268,3.0476,13.108,7.216,4.4642,3.3246,0,0,0.0,0.2971,15,,0,0,0.0,0.4275,12,,0,0,0.1341,0.5362,1,,0,0,0.8623,0.9565,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.02,a_game_of_thrones,276,0.0,717.22,2.5986,2.9288,11.782,7.017,3.6429,2.5855,0,0,0.0,0.3007,0,,0,0,0.0,0.4203,0,,0,0,0.0,0.5217,0,,0,1,0.913,0.9928,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
