prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,s_first,k_crit,k_crit_eta,k_crit_argmax,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,394,0.0,1139.78,2.8928,2.3594,12.303,6.042,7.754,7.7545,6.2859,0,0,0,0.0,0.132,11,,0,0,0.0,0.2208,10,,0,0,0.0,0.3274,10,,0,0,0.868,0.9543,4,,0,0,0.9898,0.9949,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.26,1984,403,0.0,1252.78,3.1086,2.3561,11.838,6.116,6.559,6.5592,5.2101,0,0,0,0.0,0.1092,11,,0,0,0.0,0.1886,4,,0,0,0.0,0.268,4,,0,0,0.7221,0.9305,3,,0,0,0.9926,0.9926,3,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.31,1984,370,0.0,1266.75,3.4236,2.5119,11.195,6.753,5.147,5.202,3.9886,9,0,0,0.0,0.0703,36,,0,0,0.0,0.1297,18,,0,0,0.0,0.2216,18,,0,0,0.3703,0.773,2,,0,1,0.973,0.9946,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.40,1984,433,0.0,1422.54,3.2853,2.5011,15.631,6.596,2.683,7.5573,6.1084,1,0,0,0.0,0.1039,9,,0,0,0.0,0.1709,9,,0,0,0.0,0.2933,9,,0,0,0.5289,0.8476,0,,0,0,0.9954,0.9977,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.46,1984,436,0.0,1430.03,3.2799,2.6967,13.758,7.048,3.037,4.2439,3.1264,4,0,0,0.0,0.1284,5,,0,0,0.0,0.2041,5,,0,0,0.0,0.3119,5,,0,0,0.6055,0.8716,5,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.48,1984,433,0.0,1396.93,3.2262,2.5936,13.384,6.961,5.194,5.1943,3.9817,0,0,0,0.0,0.1247,3,,0,0,0.0,0.2032,3,,0,0,0.0,0.2956,3,,0,0,0.6074,0.8915,1,,0,1,0.9931,0.9954,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.64,1984,419,0.0,1364.2,3.2559,2.3774,13.501,6.476,5.215,5.2145,3.9999,0,0,0,0.0,0.0931,1,,0,0,0.0,0.1551,1,,0,0,0.0,0.2578,1,,0,0,0.6516,0.8783,1,,0,1,0.9976,0.9976,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.71,1984,425,0.0,1483.05,3.4895,2.784,14.933,7.173,4.205,6.4463,5.1085,2,0,0,0.0,0.1224,4,,0,0,0.0,0.1765,3,,0,0,0.0,0.2635,3,,0,0,0.3059,0.7812,3,,0,0,0.9929,0.9953,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.00,a_game_of_thrones,439,0.0,1540.33,3.5087,2.5327,12.164,7.051,3.413,4.7002,3.537,3,0,0,0.0,0.0888,5,,0,0,0.0,0.1526,4,,0,0,0.0,0.2187,4,,0,0,0.4852,0.7608,4,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.01,a_game_of_thrones,459,0.0,1509.94,3.2896,2.5751,14.62,6.716,6.491,6.4905,5.1483,0,0,0,0.0,0.1002,25,,0,0,0.0,0.1786,5,,0,0,0.0,0.2658,2,,0,0,0.695,0.8715,2,,0,0,0.9978,0.9978,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.02,a_game_of_thrones,414,0.0,1475.56,3.5642,2.5212,11.83,6.928,1.513,4.2144,3.0998,12,0,0,0.0,0.0652,17,,0,0,0.0,0.1353,17,,0,0,0.0,0.2222,17,,0,0,0.1618,0.7343,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.03,a_game_of_thrones,369,0.0,1355.94,3.6746,2.4316,12.044,6.796,4.205,4.7887,3.6167,5,0,0,0.0,0.0515,19,,0,0,0.0,0.103,12,,0,0,0.0,0.1789,7,,0,0,0.1924,0.6829,3,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.04,a_game_of_thrones,380,0.0,1348.36,3.5483,2.5269,13.592,6.759,6.483,6.4829,5.1415,0,0,0,0.0,0.0632,32,,0,0,0.0,0.1211,23,,0,0,0.0,0.2237,3,,0,0,0.3789,0.7553,3,,0,0,0.9947,0.9947,2,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.07,a_game_of_thrones,421,0.0,1510.52,3.5879,2.4897,12.803,6.618,12.803,12.8029,10.8295,0,0,0,0.0,0.0689,3,,0,0,0.0,0.1449,3,,0,0,0.0,0.2138,3,,0,0,0.1259,0.7292,3,,0,0,0.9691,0.981,3,,0,0,0.9976,0.9976,1,,1,1,1.0,1.0,0,
