prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,k_crit,k_crit_eta,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,262,0.0,709.87,2.7094,2.617,12.961,6.187,2.952,1.9637,0,0,0.0,0.1107,21,,0,0,0.0,0.2252,1,,0,0,0.0,0.3473,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.26,1984,255,0.0,832.91,3.2663,2.72,12.747,7.021,6.7251,5.3594,0,0,0.0,0.0627,15,,0,0,0.0,0.1569,9,,0,0,0.0,0.2784,9,,0,0,0.651,0.8863,1,,0,0,0.9961,0.9961,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.31,1984,248,0.0,829.72,3.3456,2.6543,11.766,6.855,3.3456,2.3179,0,0,0.0,0.0363,37,,0,0,0.0,0.129,9,,0,0,0.0,0.2419,0,,0,1,0.3629,0.8347,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.40,1984,270,0.0,879.35,3.2568,2.7499,12.911,7.47,4.829,3.653,0,0,0.0,0.0778,7,,0,0,0.0,0.1778,7,,0,0,0.0,0.3,1,,0,0,0.5037,0.8593,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.46,1984,264,0.0,927.9,3.5148,3.0428,14.825,7.398,4.9103,3.7261,0,0,0.0,0.0909,1,,0,0,0.0,0.1477,1,,0,0,0.0,0.2689,1,,0,0,0.303,0.8333,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.48,1984,274,0.0,869.51,3.1734,2.6158,10.555,7.002,4.7783,3.6073,0,0,0.0,0.0876,11,,0,0,0.0,0.1533,11,,0,0,0.0,0.292,11,,0,0,0.792,0.9051,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.64,1984,263,0.0,842.09,3.2019,2.6902,10.831,7.453,5.2118,3.9974,0,0,0.0,0.0722,7,,0,0,0.0,0.1407,7,,0,0,0.0,0.2814,7,,0,0,0.6806,0.8935,0,,0,1,0.9924,0.9962,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.71,1984,286,0.0,1006.05,3.5177,3.0924,16.331,8.07,6.647,5.2891,0,0,0.0,0.0979,1,,0,0,0.0,0.1818,1,,0,0,0.0,0.2727,1,,0,0,0.3322,0.8112,1,,0,0,0.979,0.993,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.00,a_game_of_thrones,286,0.0,1066.97,3.7307,2.9736,14.49,7.961,5.4901,4.248,0,0,0.0,0.0385,10,,0,0,0.0,0.1294,5,,0,0,0.0,0.2552,5,,0,0,0.2063,0.7133,0,,0,1,0.9825,0.9965,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.01,a_game_of_thrones,306,0.0,1088.15,3.556,3.1317,14.664,7.862,6.6733,5.3129,0,0,0.0,0.0948,6,,0,0,0.0,0.1699,6,,0,0,0.0,0.3039,2,,0,0,0.4379,0.7876,2,,0,0,0.9804,0.9935,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.02,a_game_of_thrones,277,0.0,1035.06,3.7367,3.0558,14.916,8.427,6.9893,5.5973,0,0,0.0,0.065,76,,0,0,0.0,0.1083,10,,0,0,0.0,0.2347,9,,0,0,0.1336,0.7617,3,,0,0,0.9892,0.9928,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.03,a_game_of_thrones,267,0.0,946.84,3.5462,2.7044,13.998,7.185,4.804,3.6304,0,0,0.0,0.0674,38,,0,0,0.0,0.1124,0,,0,0,0.0,0.2135,0,,0,0,0.1311,0.7566,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.04,a_game_of_thrones,262,0.0,946.35,3.612,2.8437,16.223,7.771,5.5062,4.2625,0,0,0.0,0.0229,79,,0,0,0.0,0.0954,6,,0,0,0.0,0.187,6,,0,0,0.1756,0.7672,1,,0,1,0.9962,0.9962,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.07,a_game_of_thrones,273,0.0,1059.43,3.8807,3.1237,15.761,7.939,7.4461,6.0083,0,0,0.0,0.0293,0,,0,0,0.0,0.0916,0,,0,0,0.0,0.1905,0,,0,0,0.0,0.6996,0,,0,0,0.978,0.9853,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.10,a_game_of_thrones,275,0.0,1028.63,3.7405,3.1139,17.958,7.864,4.7987,3.6257,0,0,0.0,0.0618,18,,0,0,0.0,0.1236,18,,0,0,0.0,0.2218,18,,0,0,0.2364,0.7745,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.11,a_game_of_thrones,261,0.0,852.21,3.2652,2.8454,16.409,7.454,3.9906,2.8984,0,0,0.0,0.0536,21,,0,0,0.0,0.1571,4,,0,0,0.0,0.2644,4,,0,1,0.6513,0.9042,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.12,a_game_of_thrones,304,0.0,1046.63,3.4429,2.9043,15.754,7.563,11.1522,9.3439,0,0,0.0,0.0921,60,,0,0,0.0,0.1776,11,,0,0,0.0,0.2697,11,,0,0,0.3684,0.8322,2,,0,0,0.9934,0.9934,2,,0,1,0.9967,0.9967,1,,1,1,1.0,1.0,0,
bookmia.01.14,a_game_of_thrones,271,0.0,1000.75,3.6928,2.7424,14.642,7.568,6.8184,5.4434,0,0,0.0,0.0406,12,,0,0,0.0,0.107,1,,0,0,0.0,0.1919,1,,0,0,0.107,0.7232,1,,0,0,0.9963,0.9963,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
