prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,s_first,k_crit,k_crit_eta,k_crit_argmax,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,524,0.0,1184.93,2.2613,3.2171,18.207,7.123,9.156,9.156,7.5472,0,0,0,0.0,0.4447,3,,0,0,0.0,0.5477,3,,0,0,0.0,0.6469,3,,0,0,0.9905,0.9943,2,,0,0,0.9962,0.9962,2,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.26,1984,578,0.0,1309.34,2.2653,3.2613,18.819,6.942,0.003,3.6575,2.5986,3,0,0,0.0,0.4516,0,,0,0,0.0,0.5554,0,,0,0,0.0,0.6384,0,,0,1,0.9931,0.9983,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.31,1984,522,0.0,1346.17,2.5789,3.3016,15.93,7.496,5.807,5.8068,4.533,0,0,0,0.0,0.4042,1,,0,0,0.0,0.4923,1,,0,0,0.0,0.5824,1,,0,0,0.954,0.9808,1,,0,1,0.9866,0.9962,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.40,1984,580,0.0,1476.69,2.546,3.5879,25.499,7.962,0.683,4.5386,3.3916,4,0,0,0.0,0.431,1,,0,0,0.0,0.5224,1,,0,0,0.0,0.6138,0,,0,0,0.9914,0.9948,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.46,1984,591,0.0,1504.38,2.5455,3.4325,18.501,7.914,0.079,3.0945,2.0919,67,0,0,0.0,0.4298,0,,0,0,0.0,0.5296,0,,0,0,0.0,0.621,0,,0,1,0.9966,0.9966,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.48,1984,595,0.0,1496.92,2.5158,3.5913,21.96,7.571,2.176,3.5512,2.5029,11,0,0,0.0,0.4521,1,,0,0,0.0,0.5378,1,,0,0,0.0,0.6286,1,,0,1,0.9597,0.9933,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.64,1984,601,0.0,1393.23,2.3182,3.3146,18.036,7.206,0.008,4.0673,2.9674,1,0,0,0.0,0.4642,0,,0,0,0.0,0.5574,0,,0,0,0.0,0.6389,0,,0,1,0.9967,0.9983,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.71,1984,605,0.0,1569.7,2.5945,3.5851,19.847,8.198,0.638,3.198,2.185,30,0,0,0.0,0.4116,1,,0,0,0.0,0.5107,1,,0,0,0.0,0.595,0,,0,1,0.9934,0.9967,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.00,a_game_of_thrones,612,0.0,1807.98,2.9542,3.9263,19.289,9.423,0.032,5.4404,4.2032,1,0,0,0.0,0.4167,0,,0,0,0.0,0.5033,0,,0,0,0.0,0.5621,0,,0,0,0.9412,0.9804,0,,0,1,0.9967,0.9984,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.01,a_game_of_thrones,649,0.0,1872.37,2.885,3.9731,20.966,8.883,3.816,4.8907,3.7085,9,0,0,0.0,0.4145,12,,0,0,0.0,0.5069,8,,0,0,0.0616,0.6009,1,,0,0,0.8767,0.963,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
