source,k,split,n,window,burst_ratio_median,burst_ratio_p90,burst_ratio_p99,burst_ratio_max,pct_burst_gt_2x,pct_burst_gt_5x,bank_max_median,bank_max_p90,bank_max_max,mean_spend_over_k
sweep_chat,0.1,all,2700,20,1.0,1.065,1.343,4.799,0.41,0.0,9.9,14.51,14.59,0.116
sweep_plain,0.1,all,2700,20,1.039,1.102,1.331,2.834,0.33,0.0,0.18,16.79,18.56,0.703
sweep_chat,0.1,attack_train,300,20,1.0,1.047,1.326,3.737,0.67,0.0,7.7,13.1,14.02,0.231
sweep_plain,0.1,attack_train,300,20,1.038,1.09,1.267,2.072,0.33,0.0,0.09,12.28,16.05,0.674
sweep_chat,0.1,creative,450,20,0.0,1.046,1.343,2.631,0.44,0.0,12.22,14.19,14.58,0.0
sweep_plain,0.1,creative,450,20,1.026,1.107,1.62,2.815,0.89,0.0,1.03,17.27,18.2,0.747
sweep_chat,0.1,factual,450,20,1.0,1.085,1.151,1.246,0.0,0.0,10.5,14.55,14.55,0.146
sweep_plain,0.1,factual,450,20,1.038,1.122,1.221,1.302,0.0,0.0,3.44,16.16,17.47,0.624
sweep_chat,0.1,neutral,600,20,1.0,1.085,1.275,1.68,0.0,0.0,11.7,14.52,14.59,0.13
sweep_plain,0.1,neutral,600,20,1.034,1.129,1.314,2.834,0.33,0.0,6.15,17.9,18.56,0.58
sweep_chat,0.1,test,450,20,1.0,1.05,1.35,4.799,0.67,0.0,5.41,13.22,14.45,0.422
sweep_plain,0.1,test,450,20,1.04,1.079,1.278,2.451,0.22,0.0,0.09,8.6,16.03,0.697
sweep_chat,0.1,val,450,20,1.0,1.064,1.732,3.191,0.89,0.0,0.67,13.43,14.54,0.547
sweep_plain,0.1,val,450,20,1.046,1.102,1.239,2.01,0.22,0.0,0.1,12.57,16.54,0.725
sweep_chat,0.15,all,2700,20,1.0,1.091,1.482,6.882,0.44,0.07,5.55,24.45,24.59,0.617
sweep_plain,0.15,all,2700,20,1.047,1.137,1.558,3.046,0.48,0.0,0.27,26.39,28.56,0.814
sweep_chat,0.15,attack_train,300,20,1.0,1.069,1.221,1.429,0.0,0.0,0.4,22.95,24.02,0.665
sweep_plain,0.15,attack_train,300,20,1.047,1.098,1.506,2.3,0.67,0.0,0.15,6.14,25.49,0.784
sweep_chat,0.15,creative,450,20,0.554,1.069,1.781,3.039,0.67,0.0,21.48,24.16,24.58,0.055
sweep_plain,0.15,creative,450,20,1.04,1.142,2.385,3.046,1.78,0.0,0.38,27.05,28.2,0.857
sweep_chat,0.15,factual,450,20,1.0,1.096,1.192,1.598,0.0,0.0,10.35,24.55,24.55,0.466
sweep_plain,0.15,factual,450,20,1.057,1.151,1.3,2.232,0.22,0.0,0.57,25.76,27.17,0.832
sweep_chat,0.15,neutral,600,20,1.0,1.108,1.368,1.983,0.0,0.0,6.23,24.52,24.59,0.609
sweep_plain,0.15,neutral,600,20,1.046,1.151,1.485,2.384,0.33,0.0,0.62,27.87,28.56,0.878
sweep_chat,0.15,test,450,20,1.0,1.065,1.302,5.854,0.22,0.22,0.28,23.12,24.45,0.668
sweep_plain,0.15,test,450,20,1.045,1.095,1.184,1.73,0.0,0.0,0.15,8.1,25.52,0.799
sweep_chat,0.15,val,450,20,1.0,1.093,2.128,6.882,1.78,0.22,0.42,23.38,24.54,0.714
sweep_plain,0.15,val,450,20,1.05,1.13,1.297,1.603,0.0,0.0,0.21,8.4,25.85,0.819
sweep_chat,0.25,all,2700,20,1.027,1.136,1.718,4.868,0.52,0.0,0.87,44.05,44.59,0.829
sweep_plain,0.25,all,2700,20,1.072,1.188,1.707,3.234,0.67,0.0,0.58,45.41,48.56,0.896
sweep_chat,0.25,attack_train,300,20,1.009,1.102,1.699,3.953,0.67,0.0,0.5,42.65,44.02,0.818
sweep_plain,0.25,attack_train,300,20,1.062,1.144,1.414,3.234,0.67,0.0,0.43,18.85,45.49,0.87
sweep_chat,0.25,creative,450,20,1.0,1.115,1.718,3.319,0.44,0.0,30.12,43.9,44.58,0.269
sweep_plain,0.25,creative,450,20,1.051,1.187,2.16,2.892,2.0,0.0,0.57,46.98,48.0,0.921
sweep_chat,0.25,factual,450,20,1.043,1.151,1.27,1.462,0.0,0.0,0.95,44.54,44.55,0.876
sweep_plain,0.25,factual,450,20,1.098,1.264,1.473,1.974,0.0,0.0,0.97,44.25,47.17,0.908
sweep_chat,0.25,neutral,600,20,1.036,1.18,1.493,2.112,0.17,0.0,1.17,44.51,44.59,0.874
sweep_plain,0.25,neutral,600,20,1.064,1.221,1.475,2.55,0.5,0.0,1.1,47.83,48.56,0.936
sweep_chat,0.25,test,450,20,1.019,1.099,1.758,3.824,0.89,0.0,0.46,42.82,44.45,0.82
sweep_plain,0.25,test,450,20,1.063,1.13,1.437,2.337,0.44,0.0,0.38,2.28,45.52,0.881
sweep_chat,0.25,val,450,20,1.033,1.131,1.992,4.868,1.11,0.0,0.55,42.85,44.54,0.836
sweep_plain,0.25,val,450,20,1.085,1.157,1.291,2.432,0.44,0.0,0.5,6.14,45.16,0.893
sweep_chat,0.5,all,2700,20,1.068,1.299,1.842,4.474,0.78,0.0,2.64,91.99,94.59,0.917
sweep_plain,0.5,all,2700,20,1.164,1.445,1.898,3.003,0.63,0.0,2.36,87.5,98.56,0.947
sweep_chat,0.5,attack_train,300,20,1.059,1.272,1.931,3.078,1.0,0.0,1.46,90.43,94.02,0.914
sweep_plain,0.5,attack_train,300,20,1.129,1.342,1.619,1.644,0.0,0.0,1.57,5.05,95.49,0.935
