block,setting,value,value_relative_to_metric_range,n_grid
metric,nv_recall,0.02675383791000001,0.17274583151465067,5
metric,lcs_word,5.6407573000000015,0.16459752845053985,5
threshold,onset at 0.002,0.46603300435217576,0.8551799015352581,8
threshold,onset at 0.005,0.33491600933965326,0.9225570232486792,8
threshold,onset at 0.01,0.28744927748121707,0.9654142916751752,8
threshold,onset at 0.02,0.4111110020519406,1.0780046311242881,8
normaliser,raw (no rescaling),0.03702967647058824,nan,3
normaliser,s_safe,0.02675383791000001,nan,5
normaliser,k_crit (Prop. 2 running maximum),nan,nan,0
normaliser,requirement r = s_safe - s_risky,0.026166869017401777,nan,5
normaliser_spread,raw (no rescaling),1.6177,0.1466,8
normaliser_spread,s_safe,1.3272,0.1089,8
normaliser_spread,k_crit (Prop. 2 running maximum),3.7524,0.4041,8
normaliser_spread,requirement r = s_safe - s_risky,1.8944,0.2534,8
