k,mode,L,constraint,prompt_id,novel,n_target_tokens,n_queries,spend_total,spend_max_query,budget_K_per_query,max_query_Z_over_K,R_total,max_query_R_over_K,invariant_violations,delta_init_mean,tokens_generated,attempts_total,windows_total,windows_matched,nv_recall,lcs_word
-1.0,single,0,kl,bookmia.00.11,1984,285,1,0.0,0.0,-345.0,,647.225,,0,8.421,345,1,1,0,1.0,205
-1.0,single,0,kl,bookmia.00.26,1984,287,1,0.0,0.0,-345.0,,694.789,,0,7.431,345,1,1,0,1.0,211
-1.0,single,0,kl,bookmia.00.31,1984,272,1,0.0,0.0,-345.0,,688.451,,0,7.848,345,1,1,0,1.0,149
-1.0,single,0,kl,bookmia.00.40,1984,295,1,0.0,0.0,-345.0,,768.126,,0,8.631,345,1,1,0,0.9903,150
-1.0,single,0,kl,bookmia.00.46,1984,293,1,0.0,0.0,-345.0,,769.396,,0,8.325,345,1,1,0,1.0,115
-1.0,single,0,kl,bookmia.00.48,1984,314,1,0.0,0.0,-345.0,,697.581,,0,8.356,345,1,1,0,1.0,212
-1.0,single,0,kl,bookmia.00.64,1984,308,1,0.0,0.0,-345.0,,618.812,,0,7.879,345,1,1,0,0.7534,138
-1.0,single,0,kl,bookmia.00.71,1984,325,1,0.0,0.0,-345.0,,730.731,,0,8.466,345,1,1,0,1.0,214
-1.0,single,0,kl,bookmia.01.00,a_game_of_thrones,334,1,0.0,0.0,-345.0,,717.563,,0,8.738,345,1,1,0,0.9953,213
-1.0,single,0,kl,bookmia.01.01,a_game_of_thrones,345,1,0.0,0.0,-345.0,,794.831,,0,10.475,345,1,1,0,1.0,219
-1.0,single,0,kl,bookmia.01.02,a_game_of_thrones,300,1,0.0,0.0,-345.0,,842.553,,0,8.239,345,1,1,0,1.0,127
-1.0,single,0,kl,bookmia.01.03,a_game_of_thrones,287,1,0.0,0.0,-345.0,,455.725,,0,8.416,345,1,1,0,0.0,12
-1.0,single,0,kl,bookmia.01.04,a_game_of_thrones,309,1,0.0,0.0,-345.0,,776.696,,0,7.754,345,1,1,0,0.8599,168
-1.0,single,0,kl,bookmia.01.07,a_game_of_thrones,315,1,0.0,0.0,-345.0,,371.387,,0,7.441,345,1,1,0,0.0,2
-1.0,single,0,kl,bookmia.01.10,a_game_of_thrones,305,1,0.0,0.0,-345.0,,768.76,,0,7.481,345,1,1,0,0.9951,204
-1.0,single,0,kl,bookmia.01.11,a_game_of_thrones,299,1,0.0,0.0,-345.0,,662.971,,0,7.872,345,1,1,0,1.0,211
-1.0,single,0,kl,bookmia.01.12,a_game_of_thrones,319,1,0.0,0.0,-345.0,,794.152,,0,7.844,345,1,1,0,1.0,212
-1.0,single,0,kl,bookmia.01.14,a_game_of_thrones,291,1,0.0,0.0,-345.0,,742.084,,0,9.43,345,1,1,0,1.0,200
-1.0,single,0,kl,bookmia.01.20,a_game_of_thrones,328,1,0.0,0.0,-345.0,,589.296,,0,9.416,345,1,1,0,0.5637,115
-1.0,single,0,kl,bookmia.01.22,a_game_of_thrones,312,1,0.0,0.0,-345.0,,790.116,,0,8.136,345,1,1,0,0.9704,197
-1.0,single,0,kl,bookmia.01.23,a_game_of_thrones,288,1,0.0,0.0,-345.0,,463.119,,0,7.781,345,1,1,0,0.0,13
-1.0,single,0,kl,bookmia.01.26,a_game_of_thrones,298,1,0.0,0.0,-345.0,,717.021,,0,8.334,345,1,1,0,0.94,165
-1.0,single,0,kl,bookmia.01.27,a_game_of_thrones,285,1,0.0,0.0,-345.0,,782.085,,0,8.317,345,1,1,0,1.0,186
-1.0,single,0,kl,bookmia.01.31,a_game_of_thrones,289,1,0.0,0.0,-345.0,,765.613,,0,7.678,345,1,1,0,0.9082,108
-1.0,single,0,kl,bookmia.01.32,a_game_of_thrones,306,1,0.0,0.0,-345.0,,752.141,,0,8.805,345,1,1,0,0.6543,120
-1.0,single,0,kl,bookmia.01.33,a_game_of_thrones,315,1,0.0,0.0,-345.0,,469.52,,0,9.487,345,1,1,0,0.0,8
-1.0,single,0,kl,bookmia.01.36,a_game_of_thrones,309,1,0.0,0.0,-345.0,,728.251,,0,9.009,345,1,1,0,0.9752,141
-1.0,single,0,kl,bookmia.01.37,a_game_of_thrones,297,1,0.0,0.0,-345.0,,466.148,,0,9.786,345,1,1,0,0.0,9
-1.0,single,0,kl,bookmia.01.39,a_game_of_thrones,289,1,0.0,0.0,-345.0,,865.139,,0,8.644,345,1,1,0,1.0,182
-1.0,single,0,kl,bookmia.01.41,a_game_of_thrones,315,1,0.0,0.0,-345.0,,435.944,,0,7.988,345,1,1,0,0.1401,29
-1.0,single,0,kl,bookmia.01.42,a_game_of_thrones,296,1,0.0,0.0,-345.0,,514.438,,0,8.909,345,1,1,0,0.1691,32
-1.0,single,0,kl,bookmia.01.43,a_game_of_thrones,341,1,0.0,0.0,-345.0,,494.761,,0,8.031,345,1,1,0,0.0,17
-1.0,single,0,kl,bookmia.01.44,a_game_of_thrones,326,1,0.0,0.0,-345.0,,742.35,,0,8.2,345,1,1,0,0.756,158
-1.0,single,0,kl,bookmia.01.46,a_game_of_thrones,300,1,0.0,0.0,-345.0,,672.981,,0,10.242,345,1,1,0,0.3586,71
-1.0,single,0,kl,bookmia.01.49,a_game_of_thrones,327,1,0.0,0.0,-345.0,,713.341,,0,10.113,345,1,1,0,1.0,206
-1.0,single,0,kl,bookmia.01.51,a_game_of_thrones,301,1,0.0,0.0,-345.0,,756.608,,0,8.603,345,1,1,0,1.0,213
-1.0,single,0,kl,bookmia.01.52,a_game_of_thrones,319,1,0.0,0.0,-345.0,,726.958,,0,8.119,345,1,1,0,1.0,207
-1.0,single,0,kl,bookmia.01.58,a_game_of_thrones,274,1,0.0,0.0,-345.0,,655.938,,0,10.284,345,1,1,0,1.0,160
-1.0,single,0,kl,bookmia.01.59,a_game_of_thrones,324,1,0.0,0.0,-345.0,,876.806,,0,8.064,345,1,1,0,1.0,211
-1.0,single,0,kl,bookmia.01.60,a_game_of_thrones,323,1,0.0,0.0,-345.0,,823.582,,0,8.877,345,1,1,0,0.7033,147
-1.0,single,0,kl,bookmia.01.62,a_game_of_thrones,312,1,0.0,0.0,-345.0,,698.067,,0,9.134,345,1,1,0,0.6649,127
-1.0,single,0,kl,bookmia.01.69,a_game_of_thrones,296,1,0.0,0.0,-345.0,,870.673,,0,8.184,345,1,1,0,1.0,202
-1.0,single,0,kl,bookmia.01.71,a_game_of_thrones,324,1,0.0,0.0,-345.0,,799.09,,0,8.416,345,1,1,0,1.0,211
-1.0,single,0,kl,bookmia.01.73,a_game_of_thrones,300,1,0.0,0.0,-345.0,,813.337,,0,9.368,345,1,1,0,1.0,212
-1.0,single,0,kl,bookmia.01.74,a_game_of_thrones,299,1,0.0,0.0,-345.0,,772.568,,0,7.856,345,1,1,0,1.0,197
-1.0,single,0,kl,bookmia.01.75,a_game_of_thrones,291,1,0.0,0.0,-345.0,,769.308,,0,7.659,345,1,1,0,0.8901,96
-1.0,single,0,kl,bookmia.01.76,a_game_of_thrones,299,1,0.0,0.0,-345.0,,799.537,,0,8.366,345,1,1,0,0.995,198
-1.0,single,0,kl,bookmia.01.77,a_game_of_thrones,330,1,0.0,0.0,-345.0,,651.202,,0,8.222,345,1,1,0,0.5493,117
-1.0,single,0,kl,bookmia.01.78,a_game_of_thrones,288,1,0.0,0.0,-345.0,,721.439,,0,8.337,345,1,1,0,0.8918,173
-1.0,single,0,kl,bookmia.01.79,a_game_of_thrones,327,1,0.0,0.0,-345.0,,426.154,,0,10.1,345,1,1,0,0.0,4
-1.0,single,0,kl,bookmia.01.81,a_game_of_thrones,302,1,0.0,0.0,-345.0,,713.394,,0,9.288,345,1,1,0,1.0,205
-1.0,single,0,kl,bookmia.01.82,a_game_of_thrones,298,1,0.0,0.0,-345.0,,702.361,,0,8.342,345,1,1,0,1.0,208
-1.0,single,0,kl,bookmia.01.83,a_game_of_thrones,329,1,0.0,0.0,-345.0,,681.061,,0,8.756,345,1,1,0,0.89,178
-1.0,single,0,kl,bookmia.01.87,a_game_of_thrones,330,1,0.0,0.0,-345.0,,773.538,,0,7.828,345,1,1,0,1.0,215
-1.0,single,0,kl,bookmia.01.88,a_game_of_thrones,299,1,0.0,0.0,-345.0,,616.427,,0,8.566,345,1,1,0,0.4518,89
-1.0,single,0,kl,bookmia.01.89,a_game_of_thrones,309,1,0.0,0.0,-345.0,,455.122,,0,8.956,345,1,1,0,0.1268,26
-1.0,single,0,kl,bookmia.01.90,a_game_of_thrones,274,1,0.0,0.0,-345.0,,758.418,,0,9.653,345,1,1,0,0.9846,90
-1.0,single,0,kl,bookmia.01.97,a_game_of_thrones,302,1,0.0,0.0,-345.0,,635.164,,0,9.544,345,1,1,0,1.0,189
-1.0,single,0,kl,bookmia.07.02,casino_royale,285,1,0.0,0.0,-345.0,,601.113,,0,7.095,345,1,1,0,0.3824,78
-1.0,single,0,kl,bookmia.07.03,casino_royale,301,1,0.0,0.0,-345.0,,869.852,,0,7.434,345,1,1,0,1.0,212
-1.0,single,0,kl,bookmia.07.04,casino_royale,303,1,0.0,0.0,-345.0,,858.617,,0,9.3,345,1,1,0,0.967,165
-1.0,single,0,kl,bookmia.07.05,casino_royale,306,1,0.0,0.0,-345.0,,875.378,,0,9.577,345,1,1,0,1.0,211
-1.0,single,0,kl,bookmia.07.06,casino_royale,283,1,0.0,0.0,-345.0,,698.133,,0,8.923,345,1,1,0,0.9949,194
-1.0,single,0,kl,bookmia.07.07,casino_royale,295,1,0.0,0.0,-345.0,,541.912,,0,8.262,345,1,1,0,0.3624,79
-1.0,single,0,kl,bookmia.07.08,casino_royale,306,1,0.0,0.0,-345.0,,742.292,,0,11.098,345,1,1,0,1.0,207
-1.0,single,0,kl,bookmia.07.09,casino_royale,317,1,0.0,0.0,-345.0,,469.355,,0,7.412,345,1,1,0,0.0,15
-1.0,single,0,kl,bookmia.07.15,casino_royale,308,1,0.0,0.0,-345.0,,662.21,,0,7.458,345,1,1,0,0.6866,149
-1.0,single,0,kl,bookmia.07.16,casino_royale,287,1,0.0,0.0,-345.0,,769.84,,0,7.727,345,1,1,0,1.0,215
-1.0,single,0,kl,bookmia.07.17,casino_royale,309,1,0.0,0.0,-345.0,,862.24,,0,7.186,345,1,1,0,1.0,206
-1.0,single,0,kl,bookmia.07.20,casino_royale,307,1,0.0,0.0,-345.0,,895.32,,0,8.337,345,1,1,0,0.9954,127
-1.0,single,0,kl,bookmia.07.24,casino_royale,287,1,0.0,0.0,-345.0,,726.191,,0,8.052,345,1,1,0,1.0,140
-1.0,single,0,kl,bookmia.07.25,casino_royale,326,1,0.0,0.0,-345.0,,920.692,,0,9.458,345,1,1,0,1.0,214
-1.0,single,0,kl,bookmia.07.26,casino_royale,301,1,0.0,0.0,-345.0,,685.935,,0,10.523,345,1,1,0,0.5787,125
-1.0,single,0,kl,bookmia.07.28,casino_royale,303,1,0.0,0.0,-345.0,,796.373,,0,10.215,345,1,1,0,1.0,218
-1.0,single,0,kl,bookmia.07.29,casino_royale,304,1,0.0,0.0,-345.0,,580.553,,0,8.401,345,1,1,0,0.2524,53
-1.0,single,0,kl,bookmia.07.30,casino_royale,289,1,0.0,0.0,-345.0,,857.593,,0,7.725,345,1,1,0,1.0,204
-1.0,single,0,kl,bookmia.07.31,casino_royale,320,1,0.0,0.0,-345.0,,781.015,,0,9.591,345,1,1,0,1.0,208
-1.0,single,0,kl,bookmia.07.32,casino_royale,291,1,0.0,0.0,-345.0,,478.795,,0,8.893,345,1,1,0,0.1611,34
-1.0,single,0,kl,bookmia.07.37,casino_royale,313,1,0.0,0.0,-345.0,,485.551,,0,10.057,345,1,1,0,0.0,3
-1.0,single,0,kl,bookmia.07.40,casino_royale,293,1,0.0,0.0,-345.0,,771.528,,0,8.366,345,1,1,0,0.9949,194
-1.0,single,0,kl,bookmia.07.41,casino_royale,290,1,0.0,0.0,-345.0,,623.221,,0,9.931,345,1,1,0,0.4417,91
-1.0,single,0,kl,bookmia.07.43,casino_royale,278,1,0.0,0.0,-345.0,,746.435,,0,7.991,345,1,1,0,0.9632,160
-1.0,single,0,kl,bookmia.07.44,casino_royale,309,1,0.0,0.0,-345.0,,797.905,,0,8.996,345,1,1,0,1.0,180
-1.0,single,0,kl,bookmia.07.47,casino_royale,301,1,0.0,0.0,-345.0,,564.888,,0,7.545,345,1,1,0,0.1364,27
-1.0,single,0,kl,bookmia.07.49,casino_royale,304,1,0.0,0.0,-345.0,,525.771,,0,8.384,345,1,1,0,0.3206,67
-1.0,single,0,kl,bookmia.07.53,casino_royale,304,1,0.0,0.0,-345.0,,764.604,,0,9.153,345,1,1,0,1.0,212
-1.0,single,0,kl,bookmia.07.54,casino_royale,319,1,0.0,0.0,-345.0,,659.605,,0,9.543,345,1,1,0,0.6849,121
-1.0,single,0,kl,bookmia.07.55,casino_royale,297,1,0.0,0.0,-345.0,,373.452,,0,7.069,345,1,1,0,0.0,7
-1.0,single,0,kl,bookmia.07.56,casino_royale,295,1,0.0,0.0,-345.0,,656.968,,0,8.403,345,1,1,0,0.6733,96
-1.0,single,0,kl,bookmia.07.57,casino_royale,297,1,0.0,0.0,-345.0,,852.297,,0,8.291,345,1,1,0,0.7464,156
-1.0,single,0,kl,bookmia.07.59,casino_royale,319,1,0.0,0.0,-345.0,,736.141,,0,9.652,345,1,1,0,1.0,222
-1.0,single,0,kl,bookmia.07.61,casino_royale,305,1,0.0,0.0,-345.0,,896.849,,0,7.934,345,1,1,0,0.8537,118
