prompt_id,cls,median_R,min_R,served_C4.1589,served_C33.271,served_C83.178,served_C159.83
1nzes2,creative,172.42,81.77,anchor,anchor,anchor,risky#0
2786lw,creative,199.87,97.85,anchor,anchor,anchor,risky#1
2ov45h,creative,172.41,106.54,anchor,anchor,anchor,risky#4
49u4dh,creative,194.44,110.9,anchor,anchor,anchor,risky#17
4iorz7,creative,178.1,110.25,anchor,anchor,anchor,risky#0
4xzr87,creative,171.44,34.01,anchor,anchor,risky#51,risky#2
53rqr9,creative,184.21,107.64,anchor,anchor,anchor,risky#2
5apkek,creative,177.78,94.2,anchor,anchor,anchor,risky#7
5e6rcz,creative,142.07,81.5,anchor,anchor,anchor,risky#0
5ec7q2,creative,196.39,127.98,anchor,anchor,anchor,risky#5
5f5p86,creative,183.31,65.83,anchor,anchor,risky#44,risky#1
5fqwjc,creative,205.75,73.39,anchor,anchor,risky#44,risky#18
5g58dz,creative,202.01,120.53,anchor,anchor,anchor,risky#26
5gq4jc,creative,187.59,87.4,anchor,anchor,anchor,risky#12
5j7ypk,creative,157.52,81.4,anchor,anchor,anchor,risky#0
5je6l4,creative,181.51,122.5,anchor,anchor,anchor,risky#4
5nc21f,creative,157.39,83.74,anchor,anchor,anchor,risky#0
5nzsq6,creative,238.54,148.03,anchor,anchor,anchor,risky#13
5ozqb9,creative,162.58,103.13,anchor,anchor,anchor,risky#0
5qf97d,creative,172.99,94.03,anchor,anchor,anchor,risky#3
5qwzjo,creative,189.27,96.82,anchor,anchor,anchor,risky#8
5r104c,creative,179.33,30.55,anchor,anchor,risky#30,risky#2
5te65i,creative,182.49,108.13,anchor,anchor,anchor,risky#1
5umucz,creative,187.88,142.89,anchor,anchor,anchor,risky#19
5w4x14,creative,171.13,103.87,anchor,anchor,anchor,risky#0
609k0n,creative,176.71,115.59,anchor,anchor,anchor,risky#6
625es0,creative,180.63,75.09,anchor,anchor,risky#11,risky#2
63dn97,creative,263.24,165.14,anchor,anchor,anchor,anchor
63ku7q,creative,164.77,92.27,anchor,anchor,anchor,risky#8
64c0w6,creative,174.24,117.79,anchor,anchor,anchor,risky#12
65458n,creative,178.9,97.53,anchor,anchor,anchor,risky#0
66uo64,creative,181.53,114.02,anchor,anchor,anchor,risky#0
68f5c5,creative,164.45,59.91,anchor,anchor,risky#59,risky#1
68ykga,creative,187.02,103.88,anchor,anchor,anchor,risky#11
69dzba,creative,229.87,128.46,anchor,anchor,anchor,risky#18
6d1iqq,creative,197.32,88.23,anchor,anchor,anchor,risky#10
6eytds,creative,172.2,88.26,anchor,anchor,anchor,risky#7
