judge,arm,n_prompts,spend_nats,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,gain_vs_own_n1,gain_vs_own_n1_lo95,gain_vs_own_n1_hi95
Phi-3.5-mini-instruct,anchor alone (control),500,0.0,0.52,0.487,0.553,0.0,0.0,0.0,,,
Phi-3.5-mini-instruct,"metered, k=0.5",500,54.8479,0.497,0.465,0.527,-0.023,-0.066,0.021,,,
Phi-3.5-mini-instruct,"metered, k=1",500,59.2545,0.482,0.454,0.508,-0.038,-0.079,0.001,,,
Phi-3.5-mini-instruct,"metered, k=3",500,60.279,0.498,0.48,0.516,-0.022,-0.058,0.014,,,
Phi-3.5-mini-instruct,"metered, k=20",500,60.6345,0.501,0.485,0.519,-0.019,-0.059,0.021,,,
Phi-3.5-mini-instruct,"selection, n=1",500,0.0,0.511,0.476,0.546,-0.009,-0.053,0.037,0.0,0.0,0.0
Phi-3.5-mini-instruct,"selection, n=2",500,0.1931,0.576,0.542,0.609,0.056,0.009,0.1,0.065,0.026,0.108
Phi-3.5-mini-instruct,"selection, n=4",500,0.6363,0.646,0.613,0.677,0.126,0.081,0.169,0.135,0.094,0.178
Phi-3.5-mini-instruct,"selection, n=8",500,1.2044,0.67,0.636,0.703,0.15,0.106,0.194,0.159,0.117,0.203
Meta-Llama-3.1-8B-Instruct,anchor alone (control),500,0.0,0.528,0.482,0.574,0.0,0.0,0.0,,,
Meta-Llama-3.1-8B-Instruct,"metered, k=0.5",500,54.8479,0.5,0.455,0.542,-0.028,-0.084,0.024,,,
Meta-Llama-3.1-8B-Instruct,"metered, k=1",500,59.2545,0.519,0.476,0.563,-0.009,-0.066,0.044,,,
Meta-Llama-3.1-8B-Instruct,"metered, k=3",500,60.279,0.512,0.475,0.552,-0.016,-0.077,0.045,,,
Meta-Llama-3.1-8B-Instruct,"metered, k=20",500,60.6345,0.498,0.459,0.539,-0.03,-0.089,0.028,,,
Meta-Llama-3.1-8B-Instruct,"selection, n=1",500,0.0,0.538,0.496,0.582,0.01,-0.044,0.062,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,"selection, n=2",500,0.1931,0.646,0.602,0.688,0.118,0.068,0.168,0.108,0.064,0.15
Meta-Llama-3.1-8B-Instruct,"selection, n=4",500,0.6363,0.744,0.704,0.78,0.216,0.166,0.264,0.206,0.158,0.256
Meta-Llama-3.1-8B-Instruct,"selection, n=8",500,1.2044,0.801,0.765,0.835,0.273,0.227,0.323,0.263,0.218,0.313
