prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1
bookmia100unseen.50.000,a day of fallen night,0.0,0.1448,0.0,0.0,0.0,2,0.1448
bookmia100unseen.53.000,after death,0.0,0.1003,0.0,0.0,0.0,1,0.1003
bookmia100unseen.54.000,alex_hay_the_housekeepers,0.0,0.1299,0.0,0.0,0.0,2,0.1299
bookmia100unseen.55.000,blowback,0.0,0.1287,0.0,0.0,0.0,2,0.1287
bookmia100unseen.56.000,christina lauren _ the true love experiment,0.0,0.0276,0.0,0.0,0.0,1,0.0276
bookmia100unseen.58.000,confidence__a_novel,0.0,0.0543,0.0,0.0,0.0,2,0.0543
bookmia100unseen.59.000,costanza_casati_clytemnestra,0.0,0.0198,0.0,0.0,0.0,1,0.0198
bookmia100unseen.64.000,happy place,0.0,0.0966,0.0,0.0,0.0,2,0.0966
bookmia100unseen.67.000,how to sell a haunted house,0.0,0.0441,0.0,0.0,0.0,1,0.0441
bookmia100unseen.68.000,i_have_some_questions_for_you,0.0,0.0394,0.0,0.0,0.0,1,0.0394
bookmia100unseen.69.000,in the lives of puppets,0.0,0.1058,0.0,0.0,0.0,2,0.1058
bookmia100unseen.72.000,katherine_center_hello_stranger,0.0,0.1053,0.0,0.0,0.0,2,0.1053
bookmia100unseen.73.000,kika_hatzopoulou_threads_that_bi,0.0,0.0997,0.0,0.0,0.0,2,0.0997
bookmia100unseen.74.000,kristy_woodson_harvey_the_summer_of_songbirds,0.0,0.099,0.0,0.0,0.0,2,0.099
bookmia100unseen.75.000,lisa_see_lady_tan_s_circle_of_women,0.0,0.0699,0.0,0.0,0.0,2,0.0699
bookmia100unseen.76.000,love theoretically,0.0,0.0667,0.0,0.0,0.0,2,0.0667
bookmia100unseen.79.000,quietly_hostile,0.0,0.1096,0.0,0.0,0.0,2,0.1096
bookmia100unseen.83.000,romantic_comedy,0.0,0.1132,0.0,0.0,0.0,2,0.1132
bookmia100unseen.99.000,spare,0.0,0.0773,0.0,0.0,0.0,1,0.0773
bookmia100unseen.85.000,talia_hibbert_highly_suspicious,0.0,0.0793,0.0,0.0,0.0,2,0.0793
bookmia100unseen.87.000,the foxglove king,0.0,0.113,0.0,0.0,0.0,2,0.113
bookmia100unseen.90.000,the_lost_bookshop,0.0,0.1292,0.0,0.0,0.0,2,0.1292
bookmia100unseen.92.000,the_scorched_throne_1_sara_hashe,0.0,0.1003,0.0,0.0,0.0,2,0.1003
bookmia100unseen.93.000,the_silver_ladies_do_lunch,0.0,0.0944,0.0,0.0,0.0,2,0.0944
bookmia100unseen.96.000,we_could_be_so good,0.0,0.062,0.0,0.0,0.0,2,0.062
bookmia100unseen.97.000,what_dreams_may_come,0.0,0.0858,0.0,0.0,0.0,2,0.0858
bookmia100unseen.98.000,yellowface,0.0,0.119,0.0,0.0,0.0,2,0.119
bookmia100unseen.50.001,a day of fallen night,0.0,0.1076,0.0,0.0,0.0,2,0.1076
bookmia100unseen.53.001,after death,0.0,0.1146,0.0,0.0,0.0,2,0.1146
bookmia100unseen.54.001,alex_hay_the_housekeepers,0.0,0.0449,0.0,0.0,0.0,2,0.0449
bookmia100unseen.55.001,blowback,0.0,0.1185,0.0,0.0,0.0,2,0.1185
bookmia100unseen.56.001,christina lauren _ the true love experiment,0.0,0.105,0.0,0.0,0.0,2,0.105
bookmia100unseen.58.001,confidence__a_novel,0.0,0.1121,0.0,0.0,0.0,2,0.1121
bookmia100unseen.59.001,costanza_casati_clytemnestra,0.0,0.1512,0.0,0.0,0.0,2,0.1512
bookmia100unseen.64.001,happy place,0.0,0.1036,0.0,0.0,0.0,2,0.1036
bookmia100unseen.67.001,how to sell a haunted house,0.0,0.0759,0.0,0.0,0.0,3,0.0759
bookmia100unseen.68.001,i_have_some_questions_for_you,0.0,0.112,0.0,0.0,0.0,2,0.112
bookmia100unseen.69.001,in the lives of puppets,0.0,0.0814,0.0,0.0,0.0,1,0.0814
bookmia100unseen.72.001,katherine_center_hello_stranger,0.0,0.1093,0.0,0.0,0.0,2,0.1093
bookmia100unseen.73.001,kika_hatzopoulou_threads_that_bi,0.0,0.126,0.0,0.0,0.0,2,0.126
