arm,prompt_id,n_facts,n_supported,precision,abstained
ab_k0.5,fact_00003_Fernando da Costa Novaes,12,1,0.083333,0
ab_k0.5,fact_00006_David Galloway (writer),17,0,0.0,0
ab_k0.5,fact_00007_Cheyenne Brando,6,3,0.5,0
ab_k0.5,fact_00012_Braulio Lara,8,0,0.0,0
ab_k0.5,fact_00015_Amr Shabana,13,4,0.307692,0
ab_k0.5,fact_00017_Abdulqawi Yusuf,11,1,0.090909,0
ab_k0.5,fact_00025_Carlos P. Romulo,0,0,,1
ab_k0.5,fact_00027_Arthur Ewert,5,1,0.2,0
ab_k0.5,fact_00032_Flavio Méndez Santiago,17,0,0.0,0
ab_k0.5,fact_00039_Chris Duffield,8,1,0.125,0
ab_k0.5,fact_00040_Daniil Medvedev,15,11,0.733333,0
ab_k0.5,fact_00043_Alexander Vovin,9,0,0.0,0
ab_k0.5,fact_00044_Cobhams Asuquo,0,0,,1
ab_k0.5,fact_00045_David Bogue,13,1,0.076923,0
ab_k0.5,fact_00048_Don Beard,0,0,,1
ab_k0.5,fact_00053_Andriy Yarmolenko,15,4,0.266667,0
ab_k0.5,fact_00058_Danny Faure,10,1,0.1,0
ab_k0.5,fact_00063_Ayman al-Zawahiri,9,4,0.444444,0
ab_k0.5,fact_00064_Diego Suarez (garden designer),0,0,,1
ab_k0.5,fact_00066_Daniel Alexander Cameron,12,0,0.0,0
ab_k0.5,fact_00075_Antonio Leviste,0,0,,1
ab_k0.5,fact_00078_Chi Pu,11,2,0.181818,0
ab_k0.5,"fact_00080_Felipe (footballer, born 1977)",0,0,,1
ab_k0.5,fact_00084_Alfred Hitchcock,14,11,0.785714,0
ab_k0.5,fact_00085_Dascha Polanco,16,9,0.5625,0
ab_k0.5,fact_00086_Amelia Earhart,10,10,1.0,0
ab_k0.5,fact_00087_Chris John (boxer),5,2,0.4,0
ab_k0.5,fact_00088_Blair Tugman,18,0,0.0,0
ab_k0.5,fact_00093_David Oyite-Ojok,11,4,0.363636,0
ab_k0.5,fact_00097_Chris Cuomo,10,5,0.5,0
ab_k0.5,fact_00098_Adnan Sami,7,7,1.0,0
ab_k0.5,fact_00108_Bhuma Nagi Reddy,15,3,0.2,0
ab_k0.5,fact_00109_Charmion King,0,0,,1
ab_k0.5,fact_00110_Andreea Marin,18,1,0.055556,0
