arm,prompt_id,cls,empty,score,parsed
sel64,1nzes2,creative,0,1,1
sel64,2786lw,creative,0,5,1
sel64,2ov45h,creative,0,1,1
sel64,49u4dh,creative,0,1,1
sel64,4iorz7,creative,0,4,1
sel64,4xzr87,creative,0,1,1
sel64,53rqr9,creative,0,1,1
sel64,5apkek,creative,0,,0
sel64,5e6rcz,creative,0,1,1
sel64,5ec7q2,creative,0,1,1
sel64,5f5p86,creative,0,1,1
sel64,5fqwjc,creative,0,1,1
sel64,5g58dz,creative,0,4,1
sel64,5gq4jc,creative,0,1,1
sel64,5j7ypk,creative,0,3,1
sel64,5je6l4,creative,0,1,1
sel64,5nc21f,creative,0,3,1
sel64,5nzsq6,creative,0,1,1
sel64,5ozqb9,creative,0,4,1
sel64,5qf97d,creative,0,1,1
sel64,5qwzjo,creative,0,2,1
sel64,5r104c,creative,0,5,1
sel64,5te65i,creative,0,1,1
sel64,5umucz,creative,0,1,1
sel64,5w4x14,creative,0,2,1
sel64,609k0n,creative,0,4,1
sel64,625es0,creative,0,5,1
sel64,63dn97,creative,0,1,1
sel64,63ku7q,creative,0,5,1
sel64,64c0w6,creative,0,1,1
sel64,65458n,creative,0,,0
sel64,66uo64,creative,0,1,1
sel64,68f5c5,creative,1,,0
sel64,68ykga,creative,0,3,1
sel64,69dzba,creative,0,1,1
sel64,6d1iqq,creative,0,1,1
sel64,6eytds,creative,0,1,1
sel64,6gl289,creative,0,1,1
sel64,6hoxmq,creative,0,1,1
sel64,6imc4i,creative,0,2,1
sel64,6isay3,creative,0,2,1
sel64,6ixx9u,creative,1,,0
sel64,6k8gdu,creative,0,1,1
sel64,6l6v6l,creative,0,2,1
sel64,6m7z8a,creative,0,1,1
sel64,6mztko,creative,0,1,1
sel64,6o18uh,creative,0,1,1
sel64,6o679d,creative,0,3,1
sel64,6ohgxv,creative,1,,0
sel64,6szrbs,creative,0,1,1
sel64,6tsiyd,creative,0,1,1
sel64,6wgtsx,creative,0,2,1
sel64,6wxzhc,creative,1,,0
sel64,6xisxt,creative,0,4,1
sel64,6xngfe,creative,0,4,1
sel64,6xsruw,creative,0,1,1
sel64,71p51h,creative,1,,0
sel64,72l2aj,creative,0,4,1
sel64,74ih3z,creative,0,1,1
sel64,765fhd,creative,0,1,1
sel64,76b9gc,creative,0,,0
sel64,77dd17,creative,0,1,1
sel64,796161,creative,0,1,1
sel64,7adktz,creative,0,3,1
sel64,7bowjq,creative,0,1,1
sel64,7d0x9k,creative,0,1,1
sel64,7dcwik,creative,0,3,1
sel64,7e3im5,creative,0,1,1
sel64,7en7vl,creative,0,3,1
sel64,7ezd5t,creative,0,4,1
sel64,7gjj2w,creative,0,1,1
sel64,7h9f8e,creative,0,1,1
sel64,7iltd1,creative,0,2,1
sel64,7iubwq,creative,0,3,1
sel64,7jfvx7,creative,0,1,1
sel64,7jqj29,creative,1,,0
sel64,7l7e1m,creative,0,1,1
sel64,7ld0jk,creative,0,3,1
sel64,7lzk5g,creative,0,1,1
sel64,7q0acw,creative,0,2,1
sel64,7rb6uj,creative,0,4,1
sel64,7rie85,creative,0,1,1
sel64,7rpy8m,creative,0,4,1
sel64,7svmp5,creative,0,1,1
sel64,7tge90,creative,0,4,1
sel64,7u04a5,creative,0,1,1
sel64,7uezw8,creative,0,3,1
sel64,7v8ind,creative,0,,0
sel64,80sf6g,creative,0,4,1
sel64,83mehz,creative,0,5,1
sel64,849wc3,creative,0,4,1
sel64,87ak6w,creative,0,3,1
sel64,87tx3g,creative,0,1,1
sel64,8a18sf,creative,0,1,1
sel64,8aec6t,creative,0,1,1
sel64,8fk0hr,creative,0,1,1
sel64,8gfhh9,creative,0,3,1
sel64,8gs4wp,creative,0,1,1
sel64,8k4am7,creative,0,2,1
sel64,8myeno,creative,0,,0
sel64,8o89ko,creative,0,1,1
sel64,8p3ora,creative,0,1,1
sel64,8pr271,creative,0,2,1
sel64,8tmkfc,creative,0,4,1
sel64,8vr4k2,creative,0,4,1
sel64,8vyqdq,creative,0,3,1
sel64,8x0xa7,creative,0,1,1
sel64,8x86s0,creative,0,1,1
sel64,8y8wrr,creative,0,1,1
sel64,8z1sq1,creative,0,1,1
sel64,9470fc,creative,0,1,1
sel64,96myl6,creative,0,2,1
sel64,96xnw9,creative,0,3,1
sel64,99kk88,creative,0,4,1
sel64,9edjv0,creative,0,2,1
sel64,9f7www,creative,0,1,1
sel64,9g2cbq,creative,0,1,1
sel64,9ki47u,creative,0,1,1
sel64,9l0dam,creative,0,1,1
sel64,9neuk8,creative,0,1,1
sel64,9qn4tw,creative,0,5,1
sel64,a318ye,creative,0,5,1
sel64,a3pdwk,creative,0,4,1
sel64,acjzv0,creative,1,,0
sel64,afc9c4,creative,0,4,1
sel64,aowr4t,creative,0,1,1
sel64,ar7nm2,creative,0,3,1
sel64,auig0m,creative,1,,0
sel64,b4yx63,creative,0,1,1
sel64,b87jl7,creative,0,4,1
sel64,b9uzz1,creative,0,3,1
sel64,bhyplf,creative,0,1,1
sel64,bk7lic,creative,0,3,1
sel64,ciifmd,creative,0,,0
sel64,ck6twx,creative,0,2,1
sel64,cpxk2b,creative,0,3,1
sel64,dqn4sj,creative,0,2,1
sel64,eu7ub2,creative,0,4,1
sel64,fact_00003_Fernando da Costa Novaes,factual,0,2,1
sel64,fact_00006_David Galloway (writer),factual,0,4,1
sel64,fact_00007_Cheyenne Brando,factual,0,3,1
sel64,fact_00012_Braulio Lara,factual,0,4,1
sel64,fact_00015_Amr Shabana,factual,0,4,1
sel64,fact_00017_Abdulqawi Yusuf,factual,0,4,1
sel64,fact_00025_Carlos P. Romulo,factual,0,4,1
sel64,fact_00027_Arthur Ewert,factual,0,3,1
sel64,fact_00032_Flavio Méndez Santiago,factual,0,3,1
sel64,fact_00039_Chris Duffield,factual,0,2,1
sel64,fact_00040_Daniil Medvedev,factual,0,2,1
sel64,fact_00043_Alexander Vovin,factual,0,4,1
sel64,fact_00044_Cobhams Asuquo,factual,0,1,1
