prompt_id,rank,prompt_class,n_words,reward
1nzes2,0,creative,25,-27.58273
1nzes2,1,creative,97,-27.27216
1nzes2,2,creative,92,-14.02936
1nzes2,3,creative,135,-23.66232
1nzes2,4,creative,36,-26.1371
1nzes2,5,creative,147,-12.23935
1nzes2,6,creative,15,-26.33842
1nzes2,7,creative,145,-27.73585
1nzes2,8,creative,119,-26.458
1nzes2,9,creative,154,-29.41142
1nzes2,10,creative,118,-23.92096
1nzes2,11,creative,27,-28.98084
1nzes2,12,creative,151,-21.61804
1nzes2,13,creative,138,-23.45397
1nzes2,14,creative,127,-27.81109
1nzes2,15,creative,140,-25.94507
1nzes2,16,creative,148,-11.04129
1nzes2,17,creative,148,-18.88212
1nzes2,18,creative,156,-11.25212
1nzes2,19,creative,1,-17.81287
1nzes2,20,creative,45,-25.29592
1nzes2,21,creative,97,-29.32004
1nzes2,22,creative,144,-10.38512
1nzes2,23,creative,143,-28.75744
1nzes2,24,creative,49,-20.79028
1nzes2,25,creative,136,-22.66854
1nzes2,26,creative,22,-14.81672
1nzes2,27,creative,98,-28.6113
1nzes2,28,creative,157,-18.23307
1nzes2,29,creative,1,-17.81285
1nzes2,30,creative,1,-17.81285
1nzes2,31,creative,132,-2.59482
1nzes2,32,creative,142,-12.79585
1nzes2,33,creative,104,-29.66713
1nzes2,34,creative,53,-29.15298
1nzes2,35,creative,18,-23.11037
1nzes2,36,creative,139,-28.36104
1nzes2,37,creative,127,-27.87884
1nzes2,38,creative,147,-21.0921
1nzes2,39,creative,136,-26.74866
1nzes2,40,creative,144,-11.93789
1nzes2,41,creative,12,-25.0204
1nzes2,42,creative,141,-16.51471
1nzes2,43,creative,144,-28.03611
1nzes2,44,creative,2,-20.78589
1nzes2,45,creative,125,-28.5885
1nzes2,46,creative,138,-26.72482
1nzes2,47,creative,17,-25.64581
1nzes2,48,creative,54,-28.19715
1nzes2,49,creative,34,-27.51696
1nzes2,50,creative,123,-20.06603
1nzes2,51,creative,1,-17.81273
1nzes2,52,creative,100,-23.55776
1nzes2,53,creative,142,-24.16487
1nzes2,54,creative,129,-19.10228
1nzes2,55,creative,7,-27.58391
1nzes2,56,creative,48,-13.39791
1nzes2,57,creative,117,-18.31124
1nzes2,58,creative,79,-26.58627
1nzes2,59,creative,145,-29.14763
1nzes2,60,creative,19,-25.36539
1nzes2,61,creative,116,-22.14979
1nzes2,62,creative,108,-28.30213
1nzes2,63,creative,126,-20.84937
2786lw,0,creative,122,-11.91628
2786lw,1,creative,132,-11.57974
2786lw,2,creative,143,-26.17868
2786lw,3,creative,138,-27.97381
2786lw,4,creative,116,-23.70127
2786lw,5,creative,143,-22.70949
2786lw,6,creative,85,-21.52383
2786lw,7,creative,145,-12.39804
2786lw,8,creative,131,-26.3181
2786lw,9,creative,142,-24.40466
2786lw,10,creative,154,-26.15985
2786lw,11,creative,136,-23.41915
2786lw,12,creative,133,-29.21869
2786lw,13,creative,123,-14.89488
2786lw,14,creative,142,-27.18095
2786lw,15,creative,131,-25.34976
2786lw,16,creative,55,-22.71225
2786lw,17,creative,143,-21.45008
2786lw,18,creative,115,-28.13188
2786lw,19,creative,130,-27.27761
2786lw,20,creative,127,-26.51893
2786lw,21,creative,139,-27.88638
2786lw,22,creative,120,-18.57881
2786lw,23,creative,114,-27.12516
2786lw,24,creative,114,-21.74949
2786lw,25,creative,66,-28.86298
2786lw,26,creative,99,-22.84319
2786lw,27,creative,128,-27.26042
