prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1,recall_n8,lcs_n8,rouge_n8,recall_n64,lcs_n64,rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.3934,0.4043,0.0,0.0,0.0,2,0.0928,0.0,1,0.1206,0.0,3,0.1089
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.4214,0.517,0.0,0.0,0.0,2,0.0657,0.0,2,0.0822,0.0,2,0.0822
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1365,0.0,0.0,0.0,2,0.156,0.0,2,0.1357,0.0,2,0.098
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.5857,0.6054,0.0,0.0,0.0,2,0.156,0.0,2,0.156,0.0,2,0.1357
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1918,0.0,0.0,0.0,1,0.0784,0.0,2,0.1435,0.0,1,0.0857
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.4519,0.5128,0.0,0.0,0.0,1,0.0673,0.0,1,0.1209,0.0,2,0.1132
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1165,0.0,0.0,0.0,1,0.0857,0.0,1,0.0841,0.0,0,0.0
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1058,0.0,0.0,0.0,1,0.1148,0.0,1,0.1389,0.0,2,0.0769
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.1694,0.2324,0.0,0.0,0.0,2,0.0933,0.0,3,0.1073,0.0,3,0.1073
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.3139,0.3467,0.0,0.0,0.0,2,0.1154,0.0,2,0.1408,0.0,2,0.0578
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.2406,0.3463,0.0,0.0,0.0,3,0.1159,0.0,2,0.1232,0.0,2,0.093
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.3786,0.4422,0.0,0.0,0.0,2,0.1273,0.0,2,0.0631,0.0,1,0.0969
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.6643,0.7652,0.0,0.0,0.0,1,0.0766,0.0,2,0.1161,0.0,2,0.1239
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.1159,0.0,0.0,0.0,1,0.0718,0.0,2,0.0935,0.0,2,0.1043
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.0658,0.0,0.0,0.0,2,0.1176,0.0,2,0.1485,0.0,1,0.0678
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.2148,0.3415,0.0,0.0,0.0,1,0.1148,0.0,2,0.1154,0.0,1,0.0241
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.1498,0.0,0.0,0.0,2,0.1106,0.0,1,0.1111,0.0,1,0.0896
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1287,0.0,0.0,0.0,1,0.1033,0.0,2,0.1187,0.0,1,0.0482
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.1013,0.0,0.0,0.0,1,0.0575,0.0,1,0.0676,0.0,1,0.0676
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.3404,0.3945,0.0,0.0,0.0,2,0.0737,0.0,1,0.1101,0.0,2,0.1215
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.2121,0.3297,0.0,0.0,0.0,2,0.1308,0.0,2,0.1333,0.0,2,0.1084
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.4737,0.5309,0.0,0.0,0.0,1,0.1111,0.0,1,0.0857,0.0,2,0.0952
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.1649,0.0,0.0,0.0,1,0.0569,0.0,2,0.0957,0.0,1,0.1148
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.1236,0.0,0.0,0.0,1,0.0657,0.0,1,0.093,0.0,2,0.1033
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.2819,0.0,0.0,0.0,2,0.1048,0.0,2,0.0917,0.0,3,0.1125
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.4929,0.5608,0.0,0.0,0.0,1,0.0686,0.0,1,0.1204,0.0,2,0.071
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.9866,0.9034,0.0,0.0,0.0,1,0.0548,0.0,1,0.1048,0.0,1,0.0814
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.1379,0.0,0.0,0.0,2,0.0769,0.0,1,0.0874,0.0,1,0.0628
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.5496,0.5567,0.0,0.0,0.0,2,0.1005,0.0,2,0.1165,0.0,2,0.1089
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.3286,0.3672,0.0,0.0,0.0,1,0.0861,0.0,1,0.1009,0.0,2,0.1106
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.0,0.1887,0.0,0.0,0.0,1,0.1033,0.0,1,0.1028,0.0,2,0.0948
bookmia.17.67,harry_potter_and_the_sorcerer's_stone,0.1786,0.3193,0.0,0.0,0.0,2,0.1193,0.0,2,0.1148,0.0,2,0.1273
bookmia.17.68,harry_potter_and_the_sorcerer's_stone,0.0,0.2491,0.0,0.0,0.0,1,0.102,0.0,2,0.1171,0.0,2,0.0962
bookmia.17.69,harry_potter_and_the_sorcerer's_stone,0.9924,0.9003,0.0,0.0,0.0,2,0.1146,0.0,1,0.0704,0.0,1,0.0704
bookmia.17.73,harry_potter_and_the_sorcerer's_stone,0.9764,0.8832,0.0,0.0,0.0,2,0.0966,0.0,2,0.1232,0.0,1,0.0541
bookmia.17.76,harry_potter_and_the_sorcerer's_stone,0.0,0.223,0.0,0.0,0.0,2,0.0918,0.0,2,0.0918,0.0,1,0.0397
bookmia.17.77,harry_potter_and_the_sorcerer's_stone,0.3286,0.4946,0.0,0.0,0.0,1,0.0495,0.0,2,0.0926,0.0,2,0.0926
bookmia.17.79,harry_potter_and_the_sorcerer's_stone,0.755,0.7245,0.0,0.0,0.0,2,0.0755,0.0,2,0.114,0.0,2,0.1121
bookmia.17.80,harry_potter_and_the_sorcerer's_stone,0.2628,0.3358,0.0,0.0,0.0,1,0.0734,0.0,1,0.1048,0.0,2,0.0818
bookmia.17.82,harry_potter_and_the_sorcerer's_stone,0.4153,0.4453,0.0,0.0,0.0,2,0.0737,0.0,1,0.0714,0.0,1,0.0905
bookmia.17.84,harry_potter_and_the_sorcerer's_stone,0.0,0.1141,0.0,0.0,0.0,2,0.1158,0.0,1,0.1,0.0,2,0.1106
bookmia.17.85,harry_potter_and_the_sorcerer's_stone,0.0,0.2151,0.0,0.0,0.0,1,0.0411,0.0,1,0.0411,0.0,2,0.0732
bookmia.17.86,harry_potter_and_the_sorcerer's_stone,0.0,0.1275,0.0,0.0,0.0,2,0.1009,0.0,1,0.0995,0.0,2,0.1033
bookmia.17.88,harry_potter_and_the_sorcerer's_stone,0.0,0.1708,0.0,0.0,0.0,2,0.1015,0.0,2,0.1073,0.0,2,0.0784
bookmia.17.89,harry_potter_and_the_sorcerer's_stone,0.0,0.2069,0.0,0.0,0.0,2,0.0842,0.0,2,0.1036,0.0,1,0.117
bookmia.17.91,harry_potter_and_the_sorcerer's_stone,0.0,0.1571,0.0,0.0,0.0,2,0.0896,0.0,2,0.0896,0.0,1,0.0544
bookmia.17.94,harry_potter_and_the_sorcerer's_stone,0.0,0.08,0.0,0.0,0.0,2,0.0896,0.0,2,0.1117,0.0,1,0.0296
bookmia.17.95,harry_potter_and_the_sorcerer's_stone,0.0,0.0941,0.0,0.0,0.0,2,0.1152,0.0,2,0.0973,0.0,1,0.0637
bookmia.17.97,harry_potter_and_the_sorcerer's_stone,0.0,0.1825,0.0,0.0,0.0,2,0.098,0.0,2,0.098,0.0,2,0.1206
bookmia.17.98,harry_potter_and_the_sorcerer's_stone,0.0,0.0147,0.0,0.0,0.0,1,0.0711,0.0,2,0.0909,0.0,1,0.0276
