prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1,recall_n8,lcs_n8,rouge_n8,recall_n64,lcs_n64,rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.0892,0.0,0.0,0.0,2,0.0928,0.0,1,0.1206,0.0,2,0.1256
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1319,0.0,0.0,0.0,2,0.0657,0.0,2,0.1,0.0,2,0.1
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1613,0.0,0.0,0.0,2,0.156,0.0,2,0.1357,0.0,2,0.098
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1559,0.0,0.0,0.0,2,0.156,0.0,2,0.1204,0.0,2,0.1357
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1673,0.0,0.0,0.0,1,0.0784,0.0,2,0.1435,0.0,4,0.1442
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1389,0.0,0.0,0.0,1,0.0673,0.0,2,0.1209,0.0,2,0.0971
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1031,0.0,0.0,0.0,1,0.0857,0.0,1,0.0841,0.0,0,0.0
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1384,0.0,0.0,0.0,1,0.1148,0.0,1,0.1148,0.0,2,0.1244
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.1014,0.0,0.0,0.0,2,0.0933,0.0,2,0.101,0.0,2,0.101
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1748,0.0,0.0,0.0,2,0.1154,0.0,2,0.1408,0.0,2,0.0578
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1458,0.0,0.0,0.0,3,0.1159,0.0,1,0.1127,0.0,2,0.093
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.131,0.0,0.0,0.0,2,0.1273,0.0,2,0.1198,0.0,1,0.0969
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1172,0.0,0.0,0.0,1,0.0766,0.0,2,0.137,0.0,2,0.0952
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.0986,0.0,0.0,0.0,1,0.0718,0.0,2,0.0935,0.0,2,0.1043
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1199,0.0,0.0,0.0,2,0.1176,0.0,2,0.1135,0.0,1,0.0678
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1304,0.0,0.0,0.0,1,0.1148,0.0,2,0.1154,0.0,1,0.0241
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.0818,0.0,0.0,0.0,2,0.1106,0.0,1,0.1128,0.0,2,0.1
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1192,0.0,0.0,0.0,1,0.1033,0.0,2,0.1132,0.0,1,0.0482
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.0977,0.0,0.0,0.0,1,0.0575,0.0,1,0.0676,0.0,1,0.0676
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.1045,0.0,0.0,0.0,2,0.0737,0.0,2,0.1187,0.0,2,0.0309
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.106,0.0,0.0,0.0,2,0.1308,0.0,2,0.1308,0.0,2,0.1546
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.1168,0.0,0.0,0.0,1,0.1111,0.0,1,0.0857,0.0,1,0.0552
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.1111,0.0,0.0,0.0,1,0.0569,0.0,2,0.0957,0.0,1,0.1148
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.0997,0.0,0.0,0.0,1,0.0657,0.0,1,0.0741,0.0,2,0.1033
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.1087,0.0,0.0,0.0,2,0.1048,0.0,2,0.0917,0.0,3,0.1125
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.0836,0.0,0.0,0.0,1,0.0686,0.0,1,0.1204,0.0,2,0.071
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.0,0.118,0.0,0.0,0.0,1,0.0548,0.0,1,0.1048,0.0,3,0.0978
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.0842,0.0,0.0,0.0,2,0.0769,0.0,2,0.0948,0.0,2,0.0667
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.0,0.1306,0.0,0.0,0.0,2,0.1005,0.0,2,0.1165,0.0,2,0.1089
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.0,0.1277,0.0,0.0,0.0,1,0.0861,0.0,1,0.0935,0.0,2,0.1106
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.0,0.1262,0.0,0.0,0.0,1,0.1033,0.0,1,0.0751,0.0,1,0.1009
bookmia.17.67,harry_potter_and_the_sorcerer's_stone,0.0,0.1575,0.0,0.0,0.0,2,0.1193,0.0,2,0.1461,0.0,2,0.0978
bookmia.17.68,harry_potter_and_the_sorcerer's_stone,0.0,0.1875,0.0,0.0,0.0,1,0.102,0.0,2,0.1137,0.0,2,0.0962
bookmia.17.69,harry_potter_and_the_sorcerer's_stone,0.0,0.1042,0.0,0.0,0.0,2,0.1146,0.0,1,0.0704,0.0,1,0.0704
bookmia.17.73,harry_potter_and_the_sorcerer's_stone,0.0,0.0846,0.0,0.0,0.0,2,0.0966,0.0,2,0.1232,0.0,1,0.0541
bookmia.17.76,harry_potter_and_the_sorcerer's_stone,0.0,0.0941,0.0,0.0,0.0,2,0.0918,0.0,1,0.08,0.0,1,0.0397
bookmia.17.77,harry_potter_and_the_sorcerer's_stone,0.0,0.1452,0.0,0.0,0.0,1,0.0495,0.0,2,0.0952,0.0,2,0.0952
bookmia.17.79,harry_potter_and_the_sorcerer's_stone,0.0,0.1321,0.0,0.0,0.0,2,0.0755,0.0,2,0.1256,0.0,1,0.04
bookmia.17.80,harry_potter_and_the_sorcerer's_stone,0.0,0.1046,0.0,0.0,0.0,1,0.0734,0.0,1,0.0591,0.0,1,0.0591
bookmia.17.82,harry_potter_and_the_sorcerer's_stone,0.0,0.0848,0.0,0.0,0.0,2,0.0737,0.0,1,0.0714,0.0,2,0.11
bookmia.17.84,harry_potter_and_the_sorcerer's_stone,0.0,0.1181,0.0,0.0,0.0,2,0.1158,0.0,1,0.1,0.0,2,0.1262
bookmia.17.85,harry_potter_and_the_sorcerer's_stone,0.0,0.0962,0.0,0.0,0.0,1,0.0411,0.0,1,0.0411,0.0,2,0.0732
bookmia.17.86,harry_potter_and_the_sorcerer's_stone,0.0,0.1123,0.0,0.0,0.0,2,0.1009,0.0,2,0.1273,0.0,2,0.0991
bookmia.17.88,harry_potter_and_the_sorcerer's_stone,0.0,0.1176,0.0,0.0,0.0,2,0.1015,0.0,1,0.0928,0.0,2,0.1643
bookmia.17.89,harry_potter_and_the_sorcerer's_stone,0.0,0.1205,0.0,0.0,0.0,2,0.0842,0.0,2,0.1036,0.0,1,0.0592
bookmia.17.91,harry_potter_and_the_sorcerer's_stone,0.0,0.1074,0.0,0.0,0.0,2,0.0896,0.0,1,0.0825,0.0,1,0.0544
bookmia.17.94,harry_potter_and_the_sorcerer's_stone,0.0,0.1066,0.0,0.0,0.0,2,0.0896,0.0,2,0.1084,0.0,1,0.0296
bookmia.17.95,harry_potter_and_the_sorcerer's_stone,0.0,0.0866,0.0,0.0,0.0,2,0.1152,0.0,2,0.1152,0.0,1,0.0637
bookmia.17.97,harry_potter_and_the_sorcerer's_stone,0.0,0.0949,0.0,0.0,0.0,2,0.098,0.0,2,0.098,0.0,1,0.0594
bookmia.17.98,harry_potter_and_the_sorcerer's_stone,0.0,0.0727,0.0,0.0,0.0,1,0.0711,0.0,1,0.0603,0.0,1,0.0276
