prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1,recall_n8,lcs_n8,rouge_n8,recall_n64,lcs_n64,rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.0892,0.0,0.0,0.0,2,0.1172,0.0,1,0.1115,0.0,2,0.0647
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1319,0.0,0.0,0.0,2,0.1268,0.0,2,0.1049,0.0,2,0.1169
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1613,0.0,0.0,0.0,2,0.1258,0.0,2,0.1088,0.0,2,0.0956
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1559,0.0,0.0,0.0,2,0.1135,0.0,2,0.1098,0.0,1,0.0485
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1673,0.0,0.0,0.0,2,0.1631,0.0,2,0.1176,0.0,2,0.1235
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1389,0.0,0.0,0.0,2,0.1115,0.0,2,0.1017,0.0,1,0.0321
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1031,0.0,0.0,0.0,2,0.0849,0.0,2,0.0849,0.0,2,0.1097
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1384,0.0,0.0,0.0,2,0.1324,0.0,1,0.0809,0.0,2,0.0925
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.1014,0.0,0.0,0.0,1,0.0741,0.0,1,0.0843,0.0,1,0.0461
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1748,0.0,0.0,0.0,2,0.1111,0.0,2,0.0924,0.0,2,0.1043
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1458,0.0,0.0,0.0,2,0.1241,0.0,2,0.1159,0.0,2,0.0623
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.131,0.0,0.0,0.0,1,0.1045,0.0,2,0.0873,0.0,2,0.0873
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1172,0.0,0.0,0.0,2,0.1159,0.0,2,0.1212,0.0,2,0.0823
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.0986,0.0,0.0,0.0,2,0.1004,0.0,2,0.1024,0.0,2,0.0398
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1199,0.0,0.0,0.0,2,0.1368,0.0,2,0.1154,0.0,2,0.06
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1304,0.0,0.0,0.0,3,0.157,0.0,3,0.157,0.0,2,0.0906
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.0818,0.0,0.0,0.0,2,0.0889,0.0,1,0.1111,0.0,2,0.0741
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1192,0.0,0.0,0.0,2,0.1034,0.0,2,0.1042,0.0,2,0.1074
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.0977,0.0,0.0,0.0,2,0.0923,0.0,1,0.0814,0.0,1,0.0814
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.1045,0.0,0.0,0.0,1,0.0276,0.0,2,0.1281,0.0,1,0.1301
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.106,0.0,0.0,0.0,2,0.1237,0.0,2,0.078,0.0,2,0.078
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.1168,0.0,0.0,0.0,2,0.1295,0.0,2,0.1223,0.0,4,0.1271
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.1111,0.0,0.0,0.0,2,0.1115,0.0,2,0.0963,0.0,2,0.1069
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.0997,0.0,0.0,0.0,1,0.0974,0.0,1,0.0956,0.0,2,0.0773
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.1087,0.0,0.0,0.0,1,0.1029,0.0,2,0.1077,0.0,1,0.0909
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.0836,0.0,0.0,0.0,2,0.1007,0.0,2,0.1045,0.0,2,0.0693
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.0,0.118,0.0,0.0,0.0,3,0.1212,0.0,3,0.1212,0.0,2,0.0759
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.0842,0.0,0.0,0.0,2,0.0806,0.0,2,0.1034,0.0,1,0.0591
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.0,0.1306,0.0,0.0,0.0,3,0.0913,0.0,2,0.1343,0.0,1,0.1157
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.0,0.1277,0.0,0.0,0.0,1,0.0843,0.0,2,0.0866,0.0,1,0.0777
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.0,0.1262,0.0,0.0,0.0,2,0.0979,0.0,3,0.129,0.0,2,0.1079
bookmia.17.67,harry_potter_and_the_sorcerer's_stone,0.0,0.1575,0.0,0.0,0.0,2,0.1115,0.0,2,0.1115,0.0,1,0.1013
bookmia.17.68,harry_potter_and_the_sorcerer's_stone,0.0,0.1875,0.0,0.0,0.0,2,0.1164,0.0,1,0.1121,0.0,1,0.1121
bookmia.17.69,harry_potter_and_the_sorcerer's_stone,0.0,0.1042,0.0,0.0,0.0,2,0.0833,0.0,1,0.0725,0.0,1,0.0747
bookmia.17.73,harry_potter_and_the_sorcerer's_stone,0.0,0.0846,0.0,0.0,0.0,2,0.1042,0.0,2,0.1079,0.0,1,0.0757
bookmia.17.76,harry_potter_and_the_sorcerer's_stone,0.0,0.0941,0.0,0.0,0.0,1,0.0896,0.0,1,0.0896,0.0,2,0.0812
bookmia.17.77,harry_potter_and_the_sorcerer's_stone,0.0,0.1452,0.0,0.0,0.0,1,0.1,0.0,1,0.1,0.0,2,0.1168
bookmia.17.79,harry_potter_and_the_sorcerer's_stone,0.0,0.1321,0.0,0.0,0.0,3,0.1489,0.0,3,0.1489,0.0,2,0.1137
bookmia.17.80,harry_potter_and_the_sorcerer's_stone,0.0,0.1046,0.0,0.0,0.0,1,0.0657,0.0,1,0.0577,0.0,1,0.0577
bookmia.17.82,harry_potter_and_the_sorcerer's_stone,0.0,0.0848,0.0,0.0,0.0,2,0.093,0.0,2,0.1255,0.0,1,0.1186
bookmia.17.84,harry_potter_and_the_sorcerer's_stone,0.0,0.1181,0.0,0.0,0.0,2,0.1172,0.0,2,0.098,0.0,2,0.1016
bookmia.17.85,harry_potter_and_the_sorcerer's_stone,0.0,0.0962,0.0,0.0,0.0,1,0.0846,0.0,1,0.0846,0.0,1,0.1014
bookmia.17.86,harry_potter_and_the_sorcerer's_stone,0.0,0.1123,0.0,0.0,0.0,2,0.0826,0.0,2,0.0737,0.0,2,0.0737
bookmia.17.88,harry_potter_and_the_sorcerer's_stone,0.0,0.1176,0.0,0.0,0.0,2,0.0989,0.0,2,0.1128,0.0,2,0.1314
bookmia.17.89,harry_potter_and_the_sorcerer's_stone,0.0,0.1205,0.0,0.0,0.0,2,0.0967,0.0,2,0.0995,0.0,1,0.0569
bookmia.17.91,harry_potter_and_the_sorcerer's_stone,0.0,0.1074,0.0,0.0,0.0,2,0.1014,0.0,2,0.1033,0.0,2,0.0939
bookmia.17.94,harry_potter_and_the_sorcerer's_stone,0.0,0.1066,0.0,0.0,0.0,2,0.0752,0.0,1,0.0863,0.0,1,0.0905
bookmia.17.95,harry_potter_and_the_sorcerer's_stone,0.0,0.0866,0.0,0.0,0.0,2,0.1057,0.0,4,0.1613,0.0,1,0.0619
bookmia.17.97,harry_potter_and_the_sorcerer's_stone,0.0,0.0949,0.0,0.0,0.0,1,0.0956,0.0,2,0.076,0.0,2,0.1207
bookmia.17.98,harry_potter_and_the_sorcerer's_stone,0.0,0.0727,0.0,0.0,0.0,2,0.0692,0.0,2,0.0913,0.0,1,0.1057
