prompt_class,k,frac_of_steps,frac_of_spend
ordinary,0.1,0.05,0.2447
ordinary,0.1,0.1,0.32747
ordinary,0.1,0.15,0.39131
ordinary,0.1,0.2,0.44876
ordinary,0.1,0.25,0.50289
ordinary,0.1,0.3,0.55484
ordinary,0.1,0.35,0.60606
ordinary,0.1,0.4,0.65579
ordinary,0.1,0.45,0.70495
ordinary,0.1,0.5,0.75229
ordinary,0.1,0.55,0.79813
ordinary,0.1,0.6,0.84239
ordinary,0.1,0.65,0.88465
ordinary,0.1,0.7,0.92406
ordinary,0.1,0.75,0.95844
ordinary,0.1,0.8,0.98374
ordinary,0.1,0.85,0.99694
ordinary,0.1,0.9,0.99995
ordinary,0.1,0.95,1.0
ordinary,0.1,1.0,1.0
ordinary,0.15,0.05,0.18822
ordinary,0.15,0.1,0.26509
ordinary,0.15,0.15,0.32621
ordinary,0.15,0.2,0.38335
ordinary,0.15,0.25,0.43914
ordinary,0.15,0.3,0.4924
ordinary,0.15,0.35,0.54484
ordinary,0.15,0.4,0.59729
ordinary,0.15,0.45,0.64813
ordinary,0.15,0.5,0.69752
ordinary,0.15,0.55,0.74591
ordinary,0.15,0.6,0.79291
ordinary,0.15,0.65,0.83847
ordinary,0.15,0.7,0.88215
ordinary,0.15,0.75,0.92318
ordinary,0.15,0.8,0.9595
ordinary,0.15,0.85,0.98635
ordinary,0.15,0.9,0.99857
ordinary,0.15,0.95,1.0
ordinary,0.15,1.0,1.0
ordinary,0.25,0.05,0.15025
ordinary,0.25,0.1,0.22636
ordinary,0.25,0.15,0.28998
ordinary,0.25,0.2,0.34836
ordinary,0.25,0.25,0.40373
ordinary,0.25,0.3,0.45729
ordinary,0.25,0.35,0.51017
ordinary,0.25,0.4,0.56272
ordinary,0.25,0.45,0.61486
ordinary,0.25,0.5,0.66578
ordinary,0.25,0.55,0.71595
ordinary,0.25,0.6,0.76521
ordinary,0.25,0.65,0.81295
ordinary,0.25,0.7,0.85867
ordinary,0.25,0.75,0.90146
ordinary,0.25,0.8,0.93975
ordinary,0.25,0.85,0.97136
ordinary,0.25,0.9,0.99275
ordinary,0.25,0.95,0.99987
ordinary,0.25,1.0,1.0
ordinary,0.5,0.05,0.15301
ordinary,0.5,0.1,0.23968
ordinary,0.5,0.15,0.31231
ordinary,0.5,0.2,0.37625
ordinary,0.5,0.25,0.43442
ordinary,0.5,0.3,0.48864
ordinary,0.5,0.35,0.54087
ordinary,0.5,0.4,0.59215
ordinary,0.5,0.45,0.64308
ordinary,0.5,0.5,0.69285
ordinary,0.5,0.55,0.74114
ordinary,0.5,0.6,0.78739
ordinary,0.5,0.65,0.83094
ordinary,0.5,0.7,0.87135
ordinary,0.5,0.75,0.9079
ordinary,0.5,0.8,0.93991
ordinary,0.5,0.85,0.96651
ordinary,0.5,0.9,0.98669
ordinary,0.5,0.95,0.99837
ordinary,0.5,1.0,1.0
ordinary,1,0.05,0.19513
ordinary,1,0.1,0.30611
ordinary,1,0.15,0.39525
ordinary,1,0.2,0.47151
ordinary,1,0.25,0.53883
ordinary,1,0.3,0.59927
ordinary,1,0.35,0.65402
ordinary,1,0.4,0.70423
