prompt_class,k,frac_of_steps,frac_of_spend
ordinary,0.5,0.05,0.19761
ordinary,0.5,0.1,0.29728
ordinary,0.5,0.15,0.37892
ordinary,0.5,0.2,0.45142
ordinary,0.5,0.25,0.51513
ordinary,0.5,0.3,0.57476
ordinary,0.5,0.35,0.63031
ordinary,0.5,0.4,0.68031
ordinary,0.5,0.45,0.73206
ordinary,0.5,0.5,0.78013
ordinary,0.5,0.55,0.82463
ordinary,0.5,0.6,0.86439
ordinary,0.5,0.65,0.89819
ordinary,0.5,0.7,0.92817
ordinary,0.5,0.75,0.95263
ordinary,0.5,0.8,0.97203
ordinary,0.5,0.85,0.9865
ordinary,0.5,0.9,0.99571
ordinary,0.5,0.95,0.99966
ordinary,0.5,1.0,1.0
ordinary,1,0.05,0.22085
ordinary,1,0.1,0.33748
ordinary,1,0.15,0.42814
ordinary,1,0.2,0.50763
ordinary,1,0.25,0.57573
ordinary,1,0.3,0.63826
ordinary,1,0.35,0.69298
ordinary,1,0.4,0.74039
ordinary,1,0.45,0.78523
ordinary,1,0.5,0.8254
ordinary,1,0.55,0.86135
ordinary,1,0.6,0.89248
ordinary,1,0.65,0.91826
ordinary,1,0.7,0.94187
ordinary,1,0.75,0.96139
ordinary,1,0.8,0.97661
ordinary,1,0.85,0.98781
ordinary,1,0.9,0.99537
ordinary,1,0.95,0.99929
ordinary,1,1.0,1.0
ordinary,20,0.05,0.22271
ordinary,20,0.1,0.3495
ordinary,20,0.15,0.44583
ordinary,20,0.2,0.52814
ordinary,20,0.25,0.59847
ordinary,20,0.3,0.65928
ordinary,20,0.35,0.71256
ordinary,20,0.4,0.75827
ordinary,20,0.45,0.79983
ordinary,20,0.5,0.83679
ordinary,20,0.55,0.86918
ordinary,20,0.6,0.89735
ordinary,20,0.65,0.92114
ordinary,20,0.7,0.9422
ordinary,20,0.75,0.96018
ordinary,20,0.8,0.97473
ordinary,20,0.85,0.98604
ordinary,20,0.9,0.9936
ordinary,20,0.95,0.99835
ordinary,20,1.0,1.0
ordinary,3,0.05,0.23709
ordinary,3,0.1,0.36217
ordinary,3,0.15,0.45586
ordinary,3,0.2,0.53616
ordinary,3,0.25,0.6044
ordinary,3,0.3,0.66439
ordinary,3,0.35,0.71692
ordinary,3,0.4,0.76194
ordinary,3,0.45,0.80315
ordinary,3,0.5,0.83904
ordinary,3,0.55,0.8712
ordinary,3,0.6,0.89914
ordinary,3,0.65,0.92277
ordinary,3,0.7,0.9435
ordinary,3,0.75,0.96122
ordinary,3,0.8,0.97529
ordinary,3,0.85,0.98638
ordinary,3,0.9,0.9939
ordinary,3,0.95,0.99867
ordinary,3,1.0,1.0
