prompt_id,rank,prompt_class,n_words,reward
neutral_bio_000,0,neutral,154,-27.8125
neutral_bio_000,1,neutral,139,-21.5
neutral_bio_000,2,neutral,139,-25.875
neutral_bio_000,3,neutral,153,-23.75
neutral_bio_000,4,neutral,105,-28.8125
neutral_bio_000,5,neutral,163,-24.875
neutral_bio_000,6,neutral,132,-26.3125
neutral_bio_000,7,neutral,61,-28.4375
neutral_bio_000,8,neutral,4,-27.5
neutral_bio_000,9,neutral,137,-27.3125
neutral_bio_000,10,neutral,48,-28.75
neutral_bio_000,11,neutral,147,-26.6875
neutral_bio_000,12,neutral,148,-27.375
neutral_bio_000,13,neutral,164,-27.0
neutral_bio_000,14,neutral,94,-27.8125
neutral_bio_000,15,neutral,135,-27.75
neutral_bio_000,16,neutral,161,-15.375
neutral_bio_000,17,neutral,118,-27.625
neutral_bio_000,18,neutral,61,-25.75
neutral_bio_000,19,neutral,93,-26.0625
neutral_bio_000,20,neutral,169,-25.6875
neutral_bio_000,21,neutral,133,-26.0
neutral_bio_000,22,neutral,163,-27.3125
neutral_bio_000,23,neutral,164,-24.875
neutral_bio_000,24,neutral,47,-27.4375
neutral_bio_000,25,neutral,151,-22.625
neutral_bio_000,26,neutral,128,-28.8125
neutral_bio_000,27,neutral,145,-27.625
neutral_bio_000,28,neutral,152,-27.5
neutral_bio_000,29,neutral,157,-24.625
neutral_bio_000,30,neutral,23,-25.25
neutral_bio_000,31,neutral,89,-27.4375
neutral_bio_000,32,neutral,57,-27.1875
neutral_bio_000,33,neutral,125,-27.75
neutral_bio_000,34,neutral,80,-29.0625
neutral_bio_000,35,neutral,157,-28.9375
neutral_bio_000,36,neutral,12,-28.1875
neutral_bio_000,37,neutral,146,-21.375
neutral_bio_000,38,neutral,157,-25.5
neutral_bio_000,39,neutral,159,-25.6875
neutral_bio_000,40,neutral,142,-28.25
neutral_bio_000,41,neutral,31,-29.125
neutral_bio_000,42,neutral,150,-22.125
neutral_bio_000,43,neutral,90,-25.75
neutral_bio_000,44,neutral,145,-25.875
neutral_bio_000,45,neutral,4,-27.4375
neutral_bio_000,46,neutral,164,-27.625
neutral_bio_000,47,neutral,69,-28.5
neutral_bio_000,48,neutral,156,-23.875
neutral_bio_000,49,neutral,153,-25.5
neutral_bio_000,50,neutral,180,-24.75
neutral_bio_000,51,neutral,79,-23.5
neutral_bio_000,52,neutral,156,-26.5
neutral_bio_000,53,neutral,176,-27.5625
neutral_bio_000,54,neutral,115,-22.375
neutral_bio_000,55,neutral,151,-26.9375
neutral_bio_000,56,neutral,165,-28.3125
neutral_bio_000,57,neutral,166,-24.75
neutral_bio_000,58,neutral,154,-26.6875
neutral_bio_000,59,neutral,107,-25.25
neutral_bio_000,60,neutral,70,-30.125
neutral_bio_000,61,neutral,158,-26.0
neutral_bio_000,62,neutral,151,-26.5
neutral_bio_000,63,neutral,154,-24.875
neutral_bio_001,0,neutral,3,-20.62499
neutral_bio_001,1,neutral,3,-20.62499
neutral_bio_001,2,neutral,186,-23.25
neutral_bio_001,3,neutral,170,-23.625
neutral_bio_001,4,neutral,52,-21.875
neutral_bio_001,5,neutral,37,-13.125
neutral_bio_001,6,neutral,172,-25.125
neutral_bio_001,7,neutral,169,-8.875
neutral_bio_001,8,neutral,104,-24.625
neutral_bio_001,9,neutral,183,-18.875
neutral_bio_001,10,neutral,3,-19.99999
neutral_bio_001,11,neutral,76,-15.5
neutral_bio_001,12,neutral,59,-30.0
neutral_bio_001,13,neutral,3,-19.99999
neutral_bio_001,14,neutral,57,-25.125
neutral_bio_001,15,neutral,3,-19.99999
neutral_bio_001,16,neutral,3,-20.12499
neutral_bio_001,17,neutral,107,-27.25
neutral_bio_001,18,neutral,22,-27.875
neutral_bio_001,19,neutral,158,-24.25
neutral_bio_001,20,neutral,159,-25.4375
neutral_bio_001,21,neutral,3,-20.12499
neutral_bio_001,22,neutral,141,-28.4375
neutral_bio_001,23,neutral,3,-20.12499
neutral_bio_001,24,neutral,156,-24.5625
neutral_bio_001,25,neutral,141,-26.5
