pair,target,k,n,gain_ratio,gain_lo,gain_hi,frac_ceiling_greedy,frac_ceiling_dual,theta_at_one_pct,spend
KL3M-520M,held-out novel,0.25,30,1.1035,1.09,1.1158,0.5455,0.602,35.7,71.18
KL3M-520M,held-out novel,0.5,30,1.0635,1.0555,1.0728,0.6944,0.7385,44.2,127.92
KL3M-520M,held-out novel,1.0,30,1.0329,1.0279,1.0386,0.8445,0.8723,54.6,223.39
KL3M-520M,held-out novel,3.0,30,1.0075,1.0048,1.0105,0.9885,0.9959,87.4,441.89
KL3M-520M,memorised passage,0.25,30,1.1235,1.0994,1.1432,0.5121,0.5753,35.8,69.57
KL3M-520M,memorised passage,0.5,30,1.068,1.0579,1.0823,0.6369,0.6802,42.2,127.09
KL3M-520M,memorised passage,1.0,30,1.0307,1.0249,1.0377,0.761,0.7843,48.7,230.33
KL3M-520M,memorised passage,3.0,30,1.0057,1.0047,1.0079,0.9265,0.9318,65.9,553.04
KL3M-520M,ordinary generation,0.25,12,1.1053,1.0889,1.1396,0.5441,0.6014,35.2,30.25
KL3M-520M,ordinary generation,0.5,12,1.0629,1.0515,1.0759,0.6997,0.7436,46.7,51.91
KL3M-520M,ordinary generation,1.0,12,1.0342,1.0287,1.0414,0.8462,0.8751,56.1,91.73
KL3M-520M,ordinary generation,3.0,12,1.0102,1.0061,1.0161,0.982,0.992,87.2,177.98
Pleias-1.2B,held-out novel,0.25,30,1.1253,1.098,1.1532,0.444,0.4996,13.7,63.48
Pleias-1.2B,held-out novel,0.5,30,1.0942,1.0776,1.1131,0.5974,0.6537,22.5,121.03
Pleias-1.2B,held-out novel,1.0,30,1.0562,1.0456,1.0702,0.7691,0.8124,38.1,218.61
Pleias-1.2B,held-out novel,3.0,30,1.0126,1.0089,1.0166,0.9685,0.9807,77.6,438.16
Pleias-1.2B,memorised passage,0.25,30,1.1326,1.1115,1.1608,0.4674,0.5292,11.0,62.97
Pleias-1.2B,memorised passage,0.5,30,1.0841,1.0609,1.1086,0.604,0.6547,16.6,121.58
Pleias-1.2B,memorised passage,1.0,30,1.041,1.0295,1.0563,0.7459,0.7764,26.2,228.44
Pleias-1.2B,memorised passage,3.0,30,1.0069,1.0051,1.0088,0.9276,0.934,57.2,538.53
Pleias-1.2B,ordinary generation,0.25,30,1.1214,1.084,1.175,0.4565,0.5118,15.8,35.89
Pleias-1.2B,ordinary generation,0.5,30,1.088,1.0643,1.1194,0.611,0.6647,23.6,68.81
Pleias-1.2B,ordinary generation,1.0,30,1.0505,1.039,1.0646,0.7916,0.8314,43.3,117.29
Pleias-1.2B,ordinary generation,3.0,30,1.0133,1.0087,1.0242,0.971,0.9839,81.2,232.87
