quantity,arm,value,lo95,hi95,n,reading,consistency,n_empty,level_empty
level,sel_n64,0.225,0.192,0.2585,500,,0.882,41,0.2195
level,sel_n1,0.112,0.088,0.137,500,,0.924,64,0.2891
level,nonempty,0.211,0.178,0.2445,500,,0.892,0,
level,chat_k10,0.5115,0.473,0.55,500,,0.768,0,
level,chat_anchor,0.088,0.067,0.1105,500,,0.926,2,0.0
level,winc_12.48,0.1085,0.0855,0.1335,500,,0.912,0,
level,winc_24.95,0.1525,0.125,0.1805,500,,0.882,0,
level,winc_40,0.235,0.2025,0.2685,500,,0.866,0,
level,winc_125,0.487,0.4485,0.525,500,,0.752,0,
level,winc_0,0.0925,0.0705,0.1155,500,,0.928,8,0.1875
gain,sel_n64 - sel_n1,0.113,0.081,0.1455,500,CONFIRMED,,,
gain,nonempty - sel_n1,0.099,0.0675,0.13,500,CONFIRMED,,,
gain,chat_k10 - chat_anchor,0.4235,0.3835,0.4635,500,CONFIRMED,,,
gain,winc_12.48 - winc_0,0.016,-0.0085,0.0395,500,UNRESOLVED,,,
gain,winc_24.95 - winc_0,0.06,0.0305,0.09,500,CONFIRMED,,,
gain,winc_40 - winc_0,0.1425,0.109,0.1765,500,CONFIRMED,,,
gain,winc_125 - winc_0,0.3945,0.353,0.436,500,CONFIRMED,,,
difference,sel_n64 - winc_125,-0.2815,-0.3335,-0.2295,500,REFUTED,,,
"difference, consistent pair",sel_n64 - winc_125,-0.2813,-0.3471,-0.2141,327,REFUTED,,,
"difference, consistent four",sel_n64 - winc_125,-0.2966,-0.3638,-0.2293,290,REFUTED,,,
difference,sel_n64 - winc_12.48,0.097,0.059,0.1355,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - winc_12.48,0.0778,0.0383,0.1185,405,CONFIRMED,,,
"difference, consistent four",sel_n64 - winc_12.48,0.0734,0.036,0.1122,361,CONFIRMED,,,
difference,sel_n64 - winc_24.95,0.053,0.011,0.0945,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - winc_24.95,0.0363,-0.0051,0.077,393,UNRESOLVED,,,
"difference, consistent four",sel_n64 - winc_24.95,0.0298,-0.0085,0.0696,352,UNRESOLVED,,,
difference,sel_n64 - winc_40,-0.0295,-0.0725,0.0145,500,UNRESOLVED,,,
"difference, consistent pair",sel_n64 - winc_40,-0.0208,-0.0632,0.0234,384,UNRESOLVED,,,
"difference, consistent four",sel_n64 - winc_40,-0.0263,-0.0687,0.0161,342,UNRESOLVED,,,
difference,sel_n64 - chat_k10,-0.3105,-0.362,-0.2575,500,REFUTED,,,
"difference, consistent pair",sel_n64 - chat_k10,-0.3234,-0.3895,-0.2567,337,REFUTED,,,
"difference, consistent four",sel_n64 - chat_k10,-0.3588,-0.4252,-0.2925,294,REFUTED,,,
difference,nonempty - chat_k10,-0.3245,-0.377,-0.2715,500,REFUTED,,,
"difference, consistent pair",nonempty - chat_k10,-0.3392,-0.405,-0.2719,342,REFUTED,,,
"difference, consistent four",nonempty - chat_k10,-0.3687,-0.436,-0.3013,297,REFUTED,,,
