quantity,arm,value,lo95,hi95,n,reading,consistency,n_empty,level_empty
level,sel_n64,0.555,0.5335,0.577,500,,0.288,41,0.4939
level,sel_n1,0.4535,0.432,0.475,500,,0.3,64,0.4531
level,metered_k10,0.4895,0.466,0.5125,500,,0.37,0,
level,anchor_k0,0.4385,0.417,0.4595,500,,0.294,62,0.4234
level,nonempty,0.5545,0.5325,0.5765,500,,0.264,0,
level,blk10n64,0.6005,0.5785,0.623,500,,0.346,110,0.4568
level,blk25n64,0.588,0.565,0.6115,500,,0.366,104,0.4808
level,blk200n1,0.4425,0.42,0.464,500,,0.326,76,0.4408
level,met_k0.5,0.4355,0.4145,0.457,500,,0.358,95,0.4289
level,frontkl_4.16,0.451,0.43,0.472,500,,0.284,0,
level,frontkl_64,0.485,0.4655,0.505,500,,0.31,0,
level,opp_r1,0.5035,0.481,0.5265,500,,0.358,0,
level,win_4.16,0.4465,0.4235,0.469,500,,0.33,1,0.5
level,win_12.48,0.454,0.4325,0.4755,500,,0.316,0,
level,win_24.95,0.4725,0.4505,0.4935,500,,0.298,0,
level,win_40,0.4725,0.45,0.4945,500,,0.314,0,
level,win_125,0.5145,0.4925,0.5365,500,,0.306,0,
level,win_0,0.435,0.4125,0.4565,500,,0.324,66,0.4583
level,pw_83.18,0.451,0.429,0.473,500,,0.36,50,0.465
level,pw_33.27,0.4475,0.427,0.4685,500,,0.318,59,0.4619
level,frontpw_4.16,0.458,0.435,0.4805,500,,0.324,1,0.5
gain,sel_n64 - sel_n1,0.1015,0.0775,0.126,500,CONFIRMED,,,
gain,nonempty - sel_n1,0.101,0.0775,0.1245,500,CONFIRMED,,,
gain,blk10n64 - blk200n1,0.158,0.133,0.1835,500,CONFIRMED,,,
gain,blk25n64 - blk200n1,0.1455,0.12,0.1715,500,CONFIRMED,,,
gain,metered_k10 - anchor_k0,0.051,0.0255,0.077,500,CONFIRMED,,,
gain,met_k0.5 - anchor_k0,-0.003,-0.0245,0.0185,500,UNRESOLVED,,,
gain,frontkl_4.16 - anchor_k0,0.0125,-0.0075,0.033,500,UNRESOLVED,,,
gain,frontkl_64 - anchor_k0,0.0465,0.022,0.0705,500,CONFIRMED,,,
gain,opp_r1 - anchor_k0,0.065,0.0395,0.09,500,CONFIRMED,,,
gain,win_4.16 - win_0,0.0115,-0.011,0.034,500,UNRESOLVED,,,
gain,win_12.48 - win_0,0.019,-0.0035,0.0415,500,UNRESOLVED,,,
gain,win_24.95 - win_0,0.0375,0.015,0.06,500,CONFIRMED,,,
gain,win_40 - win_0,0.0375,0.014,0.061,500,CONFIRMED,,,
gain,win_125 - win_0,0.0795,0.053,0.1055,500,CONFIRMED,,,
gain,pw_83.18 - win_0,0.016,-0.005,0.037,500,UNRESOLVED,,,
gain,pw_33.27 - win_0,0.0125,-0.0065,0.0315,500,UNRESOLVED,,,
gain,frontpw_4.16 - win_0,0.023,0.001,0.0445,500,CONFIRMED,,,
difference,sel_n64 - win_4.16,0.09,0.058,0.122,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - win_4.16,0.1231,0.0224,0.2276,67,CONFIRMED,,,
"difference, consistent four",sel_n64 - win_4.16,0.0714,-0.0238,0.1905,21,UNRESOLVED,,,
difference,sel_n64 - frontpw_4.16,0.0785,0.0445,0.1115,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - frontpw_4.16,0.1289,0.0352,0.2227,64,CONFIRMED,,,
"difference, consistent four",sel_n64 - frontpw_4.16,0.119,0.0238,0.2381,21,CONFIRMED,,,
difference,sel_n64 - win_24.95,0.064,0.0315,0.0975,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - win_24.95,0.1331,0.0282,0.2339,62,CONFIRMED,,,
"difference, consistent four",sel_n64 - win_24.95,0.0714,-0.0714,0.2143,21,UNRESOLVED,,,
difference,sel_n64 - win_40,0.064,0.0295,0.099,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - win_40,0.1694,0.0685,0.2742,62,CONFIRMED,,,
difference,sel_n64 - win_125,0.022,-0.0145,0.0585,500,UNRESOLVED,,,
"difference, consistent pair",sel_n64 - win_125,0.0625,-0.0357,0.1607,56,UNRESOLVED,,,
difference,blk10n64 - pw_83.18,0.142,0.1085,0.1755,500,CONFIRMED,,,
"difference, consistent pair",blk10n64 - pw_83.18,0.1481,0.0648,0.2377,81,CONFIRMED,,,
"difference, consistent four",blk10n64 - pw_83.18,0.122,0.0366,0.2195,41,CONFIRMED,,,
difference,blk25n64 - pw_33.27,0.133,0.1015,0.164,500,CONFIRMED,,,
"difference, consistent pair",blk25n64 - pw_33.27,0.2324,0.1444,0.3239,71,CONFIRMED,,,
"difference, consistent four",blk25n64 - pw_33.27,0.2031,0.0938,0.3281,32,CONFIRMED,,,
difference,blk10n64 - win_24.95,0.1205,0.0855,0.155,500,CONFIRMED,,,
"difference, consistent pair",blk10n64 - win_24.95,0.1536,0.0464,0.2679,70,CONFIRMED,,,
"difference, consistent four",blk10n64 - win_24.95,0.0577,-0.0769,0.2115,26,UNRESOLVED,,,
difference,blk25n64 - win_12.48,0.1265,0.0915,0.162,500,CONFIRMED,,,
"difference, consistent pair",blk25n64 - win_12.48,0.246,0.1349,0.3611,63,CONFIRMED,,,
difference,sel_n64 - metered_k10,0.0505,0.0155,0.0855,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - metered_k10,0.121,0.0242,0.2218,62,CONFIRMED,,,
"difference, consistent four",sel_n64 - metered_k10,0.0952,0.0,0.2143,21,UNRESOLVED,,,
difference,blk10n64 - met_k0.5,0.161,0.129,0.1925,500,CONFIRMED,,,
