arm,prompt_id,first,second,text_sha
sel_n64,1nzes2,B,Tie,f8d8b640ffb8
sel_n64,2786lw,B,B,3a4e3dcc9581
sel_n64,2ov45h,Tie,B,0aa0a70f7a09
sel_n64,49u4dh,B,B,2ed6feebcbf2
sel_n64,4iorz7,Tie,B,dd9d233642a6
sel_n64,4xzr87,A,A,6e79fec70e83
sel_n64,53rqr9,B,Tie,08020703481e
sel_n64,5apkek,Tie,B,fb5358e2c1b6
sel_n64,5e6rcz,Tie,B,74d59c08d962
sel_n64,5ec7q2,Tie,B,de79e662559b
sel_n64,5f5p86,B,Tie,473ae42529eb
sel_n64,5fqwjc,B,Tie,89b44a8ebe6f
sel_n64,5g58dz,B,Tie,9598caeb27fb
sel_n64,5gq4jc,Tie,B,0cc1c61547df
sel_n64,5j7ypk,Tie,A,89099c1f5b76
sel_n64,5je6l4,Tie,Tie,8cac1c113dc8
sel_n64,5nc21f,A,B,45b33b8b3547
sel_n64,5nzsq6,B,Tie,6776ffdca82b
sel_n64,5ozqb9,Tie,Tie,41e0f251ebea
sel_n64,5qf97d,A,A,113a2ff34245
sel_n64,5qwzjo,Tie,Tie,bb39c6b581fa
sel_n64,5r104c,B,Tie,5466b229201c
sel_n64,5te65i,Tie,Tie,e426c90ed56e
sel_n64,5umucz,B,B,0d9cb7157999
sel_n64,5w4x14,B,B,1bcbd463ed46
sel_n64,609k0n,Tie,B,836644dbf6f6
sel_n64,625es0,Tie,B,96928b7aa386
sel_n64,63dn97,B,B,4eb4471e8b60
sel_n64,63ku7q,B,B,8603089660f4
sel_n64,64c0w6,B,B,20ae3a2024e0
sel_n64,65458n,B,B,01ea7104804a
sel_n64,66uo64,A,B,991c1939281c
sel_n64,68f5c5,Tie,Tie,da39a3ee5e6b
sel_n64,68ykga,Tie,Tie,c5eac493f686
sel_n64,69dzba,B,B,444356f21fec
sel_n64,6d1iqq,B,Tie,cf33f48ccca4
sel_n64,6eytds,Tie,B,23648f14f8d2
sel_n64,6gl289,Tie,Tie,6bffe0b726d4
sel_n64,6hoxmq,Tie,B,870f7d210968
sel_n64,6imc4i,B,B,361f2a84c2ba
sel_n64,6isay3,Tie,Tie,811809bf254f
sel_n64,6ixx9u,Tie,Tie,da39a3ee5e6b
sel_n64,6k8gdu,Tie,Tie,9440a14bd29c
sel_n64,6l6v6l,Tie,B,ddb1fdcc8c2c
sel_n64,6m7z8a,Tie,B,c59b11db2b3a
sel_n64,6mztko,Tie,Tie,92156113867c
sel_n64,6o18uh,Tie,Tie,837c024c4ad0
sel_n64,6o679d,Tie,B,5116e74e4314
sel_n64,6ohgxv,B,Tie,da39a3ee5e6b
sel_n64,6szrbs,B,B,6450c6fc6bd5
sel_n64,6tsiyd,B,B,c8f0d77b4424
sel_n64,6wgtsx,Tie,B,735a97bd6997
sel_n64,6wxzhc,Tie,Tie,da39a3ee5e6b
sel_n64,6xisxt,B,B,bfe9faf58eb7
sel_n64,6xngfe,Tie,B,be3e34f80541
sel_n64,6xsruw,Tie,B,19c1dbf884dd
sel_n64,71p51h,B,Tie,da39a3ee5e6b
sel_n64,72l2aj,Tie,B,4d90749e0891
sel_n64,74ih3z,B,B,0d89038912d2
sel_n64,765fhd,B,Tie,6a4e78082785
sel_n64,76b9gc,B,Tie,81e5465a2dd4
sel_n64,77dd17,Tie,B,db9e01a60763
sel_n64,796161,Tie,B,7bb0763094f1
sel_n64,7adktz,Tie,Tie,8c4b5edbe318
sel_n64,7bowjq,Tie,B,623b41a75e28
sel_n64,7d0x9k,B,Tie,05a234888d4d
sel_n64,7dcwik,Tie,B,d37aa4e11b9c
sel_n64,7e3im5,Tie,Tie,44dc38487ac6
sel_n64,7en7vl,Tie,B,85d601c4684b
sel_n64,7ezd5t,A,A,94321adfd0ae
sel_n64,7gjj2w,B,B,9eaf77f994bd
sel_n64,7h9f8e,B,B,61fa0355b84a
sel_n64,7iltd1,Tie,B,837d572a5528
sel_n64,7iubwq,B,B,5bcde8aec45e
sel_n64,7jfvx7,Tie,B,1da30a33e832
