k,prompt_id,rank,reward
0.5,tqa_0000,0,2.421225
0.5,tqa_0000,1,-26.062498
0.5,tqa_0000,2,5.080046
0.5,tqa_0000,3,4.752033
0.5,tqa_0000,4,7.046179
0.5,tqa_0000,5,4.309180
0.5,tqa_0000,6,0.822997
0.5,tqa_0000,7,-0.106245
0.5,tqa_0000,8,2.254348
0.5,tqa_0000,9,2.595873
0.5,tqa_0000,10,2.254348
0.5,tqa_0000,11,2.254348
0.5,tqa_0000,12,2.254348
0.5,tqa_0000,13,0.450379
0.5,tqa_0000,14,-9.249998
0.5,tqa_0000,15,-3.585294
0.5,tqa_0001,0,-10.999372
0.5,tqa_0001,1,-1.808454
0.5,tqa_0001,2,-27.374998
0.5,tqa_0001,3,-4.076215
0.5,tqa_0001,4,-26.124998
0.5,tqa_0001,5,-1.808454
0.5,tqa_0001,6,-13.626320
0.5,tqa_0001,7,-3.134867
0.5,tqa_0001,8,-27.062498
0.5,tqa_0001,9,-26.874998
0.5,tqa_0001,10,-6.499998
0.5,tqa_0001,11,-26.874998
0.5,tqa_0001,12,-16.480453
0.5,tqa_0001,13,-27.249998
0.5,tqa_0001,14,-13.244513
0.5,tqa_0001,15,-26.874998
0.5,tqa_0002,0,1.627391
0.5,tqa_0002,1,-10.805461
0.5,tqa_0002,2,9.000002
0.5,tqa_0002,3,5.750002
0.5,tqa_0002,4,-8.230682
0.5,tqa_0002,5,5.629005
0.5,tqa_0002,6,7.144417
0.5,tqa_0002,7,4.508274
0.5,tqa_0002,8,5.750002
0.5,tqa_0002,9,7.144417
0.5,tqa_0002,10,4.757195
0.5,tqa_0002,11,-2.146479
0.5,tqa_0002,12,-2.146479
0.5,tqa_0002,13,4.757195
0.5,tqa_0002,14,4.757195
0.5,tqa_0002,15,-2.146479
0.5,tqa_0003,0,-5.995601
0.5,tqa_0003,1,-3.247280
0.5,tqa_0003,2,-11.499998
0.5,tqa_0003,3,-25.937498
0.5,tqa_0003,4,6.281373
0.5,tqa_0003,5,-7.244103
0.5,tqa_0003,6,-14.556619
0.5,tqa_0003,7,-14.673652
0.5,tqa_0003,8,-3.929372
0.5,tqa_0003,9,-17.379915
0.5,tqa_0003,10,-4.727479
0.5,tqa_0003,11,1.433234
0.5,tqa_0003,12,-12.273879
0.5,tqa_0003,13,-6.781209
0.5,tqa_0003,14,-14.433921
0.5,tqa_0003,15,-22.999998
0.5,tqa_0004,0,-27.249998
0.5,tqa_0004,1,-19.749851
0.5,tqa_0004,2,-13.257683
0.5,tqa_0004,3,-12.937375
0.5,tqa_0004,4,-22.655506
0.5,tqa_0004,5,0.001939
0.5,tqa_0004,6,-13.435020
0.5,tqa_0004,7,0.813907
0.5,tqa_0004,8,-10.874864
0.5,tqa_0004,9,-27.937498
0.5,tqa_0004,10,-11.749615
0.5,tqa_0004,11,-16.062416
0.5,tqa_0004,12,-15.999945
0.5,tqa_0004,13,-0.499310
0.5,tqa_0004,14,-19.687130
0.5,tqa_0004,15,-15.874842
0.5,tqa_0005,0,-2.313924
0.5,tqa_0005,1,-6.374636
0.5,tqa_0005,2,-6.320571
0.5,tqa_0005,3,3.502184
0.5,tqa_0005,4,-6.104802
0.5,tqa_0005,5,1.835498
0.5,tqa_0005,6,-17.874998
0.5,tqa_0005,7,-1.579715
0.5,tqa_0005,8,-5.128654
0.5,tqa_0005,9,-15.249998
0.5,tqa_0005,10,-5.863301
0.5,tqa_0005,11,-0.935570
0.5,tqa_0005,12,-7.333037
0.5,tqa_0005,13,-0.905326
0.5,tqa_0005,14,-3.363405
0.5,tqa_0005,15,0.341388
0.5,tqa_0006,0,3.691014
0.5,tqa_0006,1,-5.005288
0.5,tqa_0006,2,-0.673398
0.5,tqa_0006,3,-8.990656
0.5,tqa_0006,4,-3.158159
0.5,tqa_0006,5,-2.630125
0.5,tqa_0006,6,-25.374998
0.5,tqa_0006,7,-6.512135
0.5,tqa_0006,8,-2.465456
0.5,tqa_0006,9,-10.429548
0.5,tqa_0006,10,-7.730674
0.5,tqa_0006,11,0.838297
0.5,tqa_0006,12,-9.562386
0.5,tqa_0006,13,-28.749998
0.5,tqa_0006,14,-11.442383
0.5,tqa_0006,15,-8.673790
0.5,tqa_0007,0,-17.624998
0.5,tqa_0007,1,1.866594
0.5,tqa_0007,2,8.224052
0.5,tqa_0007,3,8.043281
0.5,tqa_0007,4,1.506763
0.5,tqa_0007,5,5.890244
0.5,tqa_0007,6,4.419807
0.5,tqa_0007,7,-0.870653
0.5,tqa_0007,8,-1.999997
0.5,tqa_0007,9,5.711271
0.5,tqa_0007,10,-7.579510
0.5,tqa_0007,11,-0.693565
0.5,tqa_0007,12,6.884069
0.5,tqa_0007,13,9.309004
0.5,tqa_0007,14,4.419807
0.5,tqa_0007,15,-9.499998
0.5,tqa_0008,0,-3.571531
0.5,tqa_0008,1,-9.869996
0.5,tqa_0008,2,5.823109
0.5,tqa_0008,3,8.263273
0.5,tqa_0008,4,11.848975
0.5,tqa_0008,5,4.750002
0.5,tqa_0008,6,0.125916
0.5,tqa_0008,7,-0.249178
0.5,tqa_0008,8,-27.499998
0.5,tqa_0008,9,-0.353783
0.5,tqa_0008,10,-4.550344
0.5,tqa_0008,11,0.990875
0.5,tqa_0008,12,2.084864
0.5,tqa_0008,13,2.758593
0.5,tqa_0008,14,3.709228
0.5,tqa_0008,15,0.439913
0.5,tqa_0009,0,0.944560
0.5,tqa_0009,1,1.707018
0.5,tqa_0009,2,1.567734
0.5,tqa_0009,3,2.353834
0.5,tqa_0009,4,-28.249998
0.5,tqa_0009,5,2.563993
0.5,tqa_0009,6,5.771336
0.5,tqa_0009,7,0.834951
0.5,tqa_0009,8,1.309559
0.5,tqa_0009,9,0.511361
0.5,tqa_0009,10,1.572472
0.5,tqa_0009,11,2.524526
0.5,tqa_0009,12,-14.249998
0.5,tqa_0009,13,4.062126
0.5,tqa_0009,14,-13.075832
0.5,tqa_0009,15,-4.874672
0.5,tqa_0010,0,6.250002
0.5,tqa_0010,1,-7.432788
0.5,tqa_0010,2,-16.749998
0.5,tqa_0010,3,11.125003
0.5,tqa_0010,4,-16.749998
0.5,tqa_0010,5,-9.298749
0.5,tqa_0010,6,-1.249997
0.5,tqa_0010,7,6.250002
0.5,tqa_0010,8,-16.749998
0.5,tqa_0010,9,-16.749998
0.5,tqa_0010,10,6.250002
0.5,tqa_0010,11,11.125003
0.5,tqa_0010,12,-16.749998
0.5,tqa_0010,13,-16.749998
0.5,tqa_0010,14,-2.534346
0.5,tqa_0010,15,-16.749998
0.5,tqa_0011,0,-6.102577
0.5,tqa_0011,1,-6.485913
0.5,tqa_0011,2,-24.624998
0.5,tqa_0011,3,6.641662
0.5,tqa_0011,4,6.641662
0.5,tqa_0011,5,-6.244928
0.5,tqa_0011,6,-23.624998
0.5,tqa_0011,7,-7.487193
0.5,tqa_0011,8,8.753807
0.5,tqa_0011,9,5.753049
0.5,tqa_0011,10,1.915773
0.5,tqa_0011,11,3.237408
0.5,tqa_0011,12,-28.624998
0.5,tqa_0011,13,3.512335
0.5,tqa_0011,14,8.558531
0.5,tqa_0011,15,1.987907
0.5,tqa_0012,0,16.625002
0.5,tqa_0012,1,16.625002
0.5,tqa_0012,2,17.375002
0.5,tqa_0012,3,16.625002
0.5,tqa_0012,4,-5.904274
0.5,tqa_0012,5,16.625002
0.5,tqa_0012,6,16.625002
0.5,tqa_0012,7,17.375002
0.5,tqa_0012,8,16.625002
0.5,tqa_0012,9,-2.099577
