k,prompt_id,rank,reward
3,tqa_0000,0,-23.499998
3,tqa_0000,1,-13.306726
3,tqa_0000,2,-1.058813
3,tqa_0000,3,2.997610
3,tqa_0000,4,-22.374998
3,tqa_0000,5,-4.678205
3,tqa_0000,6,2.415600
3,tqa_0000,7,-5.929111
3,tqa_0000,8,-0.955214
3,tqa_0000,9,5.500458
3,tqa_0000,10,-0.955214
3,tqa_0000,11,-0.955214
3,tqa_0000,12,-0.955214
3,tqa_0000,13,-12.999998
3,tqa_0000,14,-23.249998
3,tqa_0000,15,-13.749998
3,tqa_0001,0,2.468788
3,tqa_0001,1,3.750998
3,tqa_0001,2,2.688019
3,tqa_0001,3,0.278237
3,tqa_0001,4,3.626852
3,tqa_0001,5,-25.812498
3,tqa_0001,6,2.191927
3,tqa_0001,7,-1.523883
3,tqa_0001,8,-11.444654
3,tqa_0001,9,-13.081358
3,tqa_0001,10,-20.999998
3,tqa_0001,11,-15.018383
3,tqa_0001,12,-14.686389
3,tqa_0001,13,-12.588853
3,tqa_0001,14,-1.809788
3,tqa_0001,15,2.479934
3,tqa_0002,0,-14.249993
3,tqa_0002,1,-10.085715
3,tqa_0002,2,-16.374998
3,tqa_0002,3,-12.536463
3,tqa_0002,4,-0.545956
3,tqa_0002,5,-0.340785
3,tqa_0002,6,7.272678
3,tqa_0002,7,-9.124998
3,tqa_0002,8,-24.124998
3,tqa_0002,9,7.272678
3,tqa_0002,10,-18.097054
3,tqa_0002,11,-1.019617
3,tqa_0002,12,-1.019617
3,tqa_0002,13,-25.249998
3,tqa_0002,14,-9.624411
3,tqa_0002,15,-1.019617
3,tqa_0003,0,-1.563149
3,tqa_0003,1,-3.873667
3,tqa_0003,2,2.008249
3,tqa_0003,3,-26.562498
3,tqa_0003,4,-5.624617
3,tqa_0003,5,-7.311668
3,tqa_0003,6,-4.378328
3,tqa_0003,7,1.440426
3,tqa_0003,8,-1.897030
3,tqa_0003,9,-14.845313
3,tqa_0003,10,-11.748594
3,tqa_0003,11,0.065797
3,tqa_0003,12,-8.743686
3,tqa_0003,13,-22.624998
3,tqa_0003,14,-24.312498
3,tqa_0003,15,-12.682604
3,tqa_0004,0,-17.369579
3,tqa_0004,1,2.030313
3,tqa_0004,2,-25.874998
3,tqa_0004,3,-1.522888
3,tqa_0004,4,0.482658
3,tqa_0004,5,0.566902
3,tqa_0004,6,3.125659
3,tqa_0004,7,1.821032
3,tqa_0004,8,-1.522888
3,tqa_0004,9,-16.338299
3,tqa_0004,10,-1.374108
3,tqa_0004,11,-1.808386
3,tqa_0004,12,1.225245
3,tqa_0004,13,3.302997
3,tqa_0004,14,-26.187498
3,tqa_0004,15,-0.210824
3,tqa_0005,0,-2.731754
3,tqa_0005,1,-25.062498
3,tqa_0005,2,-12.426108
3,tqa_0005,3,4.082981
3,tqa_0005,4,-2.001586
3,tqa_0005,5,1.690192
3,tqa_0005,6,-4.133235
3,tqa_0005,7,-2.460477
3,tqa_0005,8,1.175198
3,tqa_0005,9,-22.624998
3,tqa_0005,10,-8.475666
3,tqa_0005,11,-7.708148
3,tqa_0005,12,-1.024750
3,tqa_0005,13,-23.749998
3,tqa_0005,14,-4.999307
3,tqa_0005,15,1.134098
3,tqa_0006,0,2.003266
3,tqa_0006,1,1.049875
3,tqa_0006,2,0.906320
3,tqa_0006,3,0.689714
3,tqa_0006,4,0.595152
3,tqa_0006,5,0.766533
3,tqa_0006,6,-26.312498
3,tqa_0006,7,1.217878
3,tqa_0006,8,1.282363
3,tqa_0006,9,-2.486744
3,tqa_0006,10,-0.272255
3,tqa_0006,11,0.689065
3,tqa_0006,12,-1.644269
3,tqa_0006,13,-26.999998
3,tqa_0006,14,-1.223616
3,tqa_0006,15,-2.324636
3,tqa_0007,0,-23.749998
3,tqa_0007,1,-0.327299
3,tqa_0007,2,3.233320
3,tqa_0007,3,4.790649
3,tqa_0007,4,2.562572
3,tqa_0007,5,4.825530
3,tqa_0007,6,1.577452
3,tqa_0007,7,1.209488
3,tqa_0007,8,-10.251184
3,tqa_0007,9,-0.030335
3,tqa_0007,10,-13.159954
3,tqa_0007,11,1.895489
3,tqa_0007,12,-24.187498
3,tqa_0007,13,1.207131
3,tqa_0007,14,-0.286712
3,tqa_0007,15,-10.384433
3,tqa_0008,0,-3.979086
3,tqa_0008,1,-9.109542
3,tqa_0008,2,3.441378
3,tqa_0008,3,-3.211176
3,tqa_0008,4,-1.369996
3,tqa_0008,5,-6.266581
3,tqa_0008,6,-25.124998
3,tqa_0008,7,-12.070061
3,tqa_0008,8,-25.687498
3,tqa_0008,9,-23.124998
3,tqa_0008,10,-5.097403
3,tqa_0008,11,-5.640368
3,tqa_0008,12,-23.624998
3,tqa_0008,13,-6.624329
3,tqa_0008,14,-3.601708
3,tqa_0008,15,-9.782498
3,tqa_0009,0,2.911652
3,tqa_0009,1,4.761084
3,tqa_0009,2,-0.430752
3,tqa_0009,3,-4.626459
3,tqa_0009,4,-10.579004
3,tqa_0009,5,-10.397550
3,tqa_0009,6,-24.874998
3,tqa_0009,7,-6.543839
3,tqa_0009,8,0.153708
3,tqa_0009,9,-2.040875
3,tqa_0009,10,0.077461
3,tqa_0009,11,-26.749998
3,tqa_0009,12,-27.562498
3,tqa_0009,13,0.383316
3,tqa_0009,14,-18.732338
3,tqa_0009,15,1.151715
3,tqa_0010,0,-25.687498
3,tqa_0010,1,-6.441827
3,tqa_0010,2,-5.234608
3,tqa_0010,3,1.879353
3,tqa_0010,4,0.808583
3,tqa_0010,5,-3.651360
3,tqa_0010,6,-5.368213
3,tqa_0010,7,-7.237807
3,tqa_0010,8,-7.550229
3,tqa_0010,9,-14.249247
3,tqa_0010,10,-18.686266
3,tqa_0010,11,1.174004
3,tqa_0010,12,-8.432615
3,tqa_0010,13,-18.874998
3,tqa_0010,14,1.864468
3,tqa_0010,15,-23.374998
3,tqa_0011,0,2.755574
3,tqa_0011,1,-20.999998
3,tqa_0011,2,-9.623170
3,tqa_0011,3,-6.337890
3,tqa_0011,4,-25.687498
3,tqa_0011,5,-7.821129
3,tqa_0011,6,-14.412807
3,tqa_0011,7,-24.937498
3,tqa_0011,8,1.749460
