prompt_id,novel,n_steps,k,spend_greedy,spend_dual,fidelity_greedy,fidelity_dual,fidelity_ceiling,gain_ratio,frac_of_ceiling_greedy,frac_of_ceiling_dual,theta_greedy_mean,theta_dual_mean,theta_greedy_at_one_pct,theta_dual_at_zero_pct,jeffreys_median,price_iqr_ratio,lam
bookmia.13.01,,380,3.0,434.4172,434.4172,468.4001,471.8316,473.1396,1.0073,0.99,0.9972,0.9816,0.927,90.0,0.0,2.9971,125.859,0.068095
bookmia.13.03,,380,3.0,442.0557,442.0557,481.8794,484.9294,486.6524,1.0063,0.9902,0.9965,0.9809,0.9134,88.16,0.0,3.4813,105.646,0.077933
bookmia.13.04,,380,3.0,415.1147,415.1148,448.2908,451.1527,452.3717,1.0064,0.991,0.9973,0.983,0.9266,88.68,0.0,2.9038,62.47,0.066415
bookmia.13.05,,380,3.0,455.4467,455.4467,518.7197,523.8545,528.0079,1.0099,0.9824,0.9921,0.9736,0.8617,84.74,0.0,3.2734,146.988,0.111765
bookmia.13.08,,380,3.0,450.9949,450.9949,500.2101,504.7789,507.7659,1.0091,0.9851,0.9941,0.9743,0.8709,88.42,0.0,3.4566,127.344,0.104553
bookmia.13.09,,380,3.0,459.9893,459.9893,510.8386,515.005,517.685,1.0082,0.9868,0.9948,0.9718,0.8905,85.26,0.0,3.5796,215.27,0.094403
bookmia.13.10,,380,3.0,465.9674,465.9674,525.278,530.8165,534.4573,1.0105,0.9828,0.9932,0.9743,0.8776,85.53,0.0,3.3905,115.154,0.105231
bookmia.13.12,,380,3.0,426.7891,426.7892,459.1752,461.9887,463.146,1.0061,0.9914,0.9975,0.9853,0.9304,89.47,0.0,3.0402,87.512,0.064619
bookmia.13.13,,380,3.0,466.7336,466.7336,508.1366,511.4108,513.2003,1.0064,0.9901,0.9965,0.978,0.912,85.0,0.0,3.7947,218.935,0.07732
bookmia.13.16,,380,3.0,414.7652,414.7652,441.5101,443.6483,444.4484,1.0048,0.9934,0.9982,0.9857,0.9419,90.26,0.0,3.0973,140.852,0.054637
bookmia.13.18,,380,3.0,442.5812,442.5812,485.7414,489.8049,492.2477,1.0084,0.9868,0.995,0.9747,0.8842,87.89,0.0,3.1751,166.816,0.097714
bookmia.13.22,,380,3.0,452.5758,452.5758,499.9996,504.1644,506.4587,1.0083,0.9872,0.9955,0.9808,0.9021,87.89,0.0,3.3149,85.666,0.085562
bookmia.13.23,,380,3.0,439.1691,439.1691,484.3488,488.5024,490.6768,1.0086,0.9871,0.9956,0.9792,0.9036,87.89,0.0,3.1075,200.078,0.085592
bookmia.13.25,,380,3.0,365.474,365.474,396.4507,399.3134,400.4093,1.0072,0.9901,0.9973,0.9867,0.9303,90.0,0.0,2.2071,34.207,0.06394
bookmia.13.27,,380,3.0,454.5475,454.5475,510.6125,515.3723,518.6414,1.0093,0.9845,0.9937,0.9768,0.879,86.84,0.0,3.4311,131.028,0.101476
bookmia.13.29,,380,3.0,418.8868,418.8869,461.4259,466.0802,468.393,1.0101,0.9851,0.9951,0.9765,0.8912,88.42,0.0,2.9764,160.652,0.094132
bookmia.13.31,,380,3.0,422.2109,422.2109,468.5567,472.2614,474.5195,1.0079,0.9874,0.9952,0.9788,0.902,87.37,0.0,2.6016,144.026,0.086853
bookmia.13.32,,380,3.0,468.3485,468.3484,514.6142,518.1804,520.6423,1.0069,0.9884,0.9953,0.9764,0.8901,85.0,0.0,4.007,259.316,0.094252
bookmia.13.34,,380,3.0,447.6308,447.6308,490.5177,494.5466,496.5885,1.0082,0.9878,0.9959,0.9794,0.9054,87.11,0.0,3.5456,103.932,0.08388
bookmia.13.35,,380,3.0,438.8411,438.8411,486.2566,490.148,492.4755,1.008,0.9874,0.9953,0.9775,0.899,85.53,0.0,2.9422,108.505,0.087145
bookmia.13.37,,380,3.0,490.9142,490.9142,541.0101,544.7579,547.3943,1.0069,0.9883,0.9952,0.974,0.8924,82.63,0.0,4.1231,465.162,0.093005
bookmia.13.41,,380,3.0,441.6275,441.6275,469.3139,471.5676,472.4358,1.0048,0.9934,0.9982,0.9814,0.939,88.68,0.0,3.4155,52.004,0.056858
bookmia.13.42,,380,3.0,462.426,462.426,508.9675,512.7399,515.0607,1.0074,0.9882,0.9955,0.9734,0.8979,85.26,0.0,3.4115,168.343,0.088852
bookmia.13.43,,380,3.0,424.3557,424.3558,448.108,450.3368,451.0267,1.005,0.9935,0.9985,0.9855,0.9447,90.0,0.0,3.3109,68.245,0.052289
bookmia.13.44,,380,3.0,426.9959,426.9959,475.7079,479.8069,482.6511,1.0086,0.9856,0.9941,0.975,0.8775,87.89,0.0,3.2958,94.29,0.102141
bookmia.13.45,,380,3.0,450.5426,450.5426,483.4373,486.4885,487.7508,1.0063,0.9912,0.9974,0.981,0.9262,87.89,0.0,3.3697,94.201,0.06853
bookmia.13.46,,380,3.0,467.3543,467.3542,516.2609,519.9626,522.2103,1.0072,0.9886,0.9957,0.977,0.9057,85.79,0.0,3.4206,224.589,0.083186
bookmia.13.47,,380,3.0,436.1464,436.1465,463.9722,466.1825,467.1067,1.0048,0.9933,0.998,0.9843,0.9353,89.21,0.0,3.4665,107.524,0.060355
bookmia.13.51,,380,3.0,438.6985,438.6985,487.8249,491.835,494.4389,1.0082,0.9866,0.9947,0.9785,0.8903,87.89,0.0,3.2251,191.933,0.094086
bookmia.13.52,,380,3.0,435.1342,435.1342,468.0782,471.2132,472.5912,1.0067,0.9905,0.9971,0.9801,0.9166,88.68,0.0,3.286,86.086,0.074073
