prompt_id,novel,n_steps,k,spend_greedy,spend_dual,fidelity_greedy,fidelity_dual,fidelity_ceiling,gain_ratio,frac_of_ceiling_greedy,frac_of_ceiling_dual,theta_greedy_mean,theta_dual_mean,theta_greedy_at_one_pct,theta_dual_at_zero_pct,jeffreys_median,price_iqr_ratio,lam
neutral_qa_000,,160,0.25,27.6344,27.6344,108.5335,118.9852,203.1303,1.0963,0.5343,0.5858,0.5687,0.1989,38.12,0.0,3.1048,2.108,1.634801
neutral_qa_001,,160,0.25,29.3291,29.3291,112.3323,123.4665,209.0309,1.0991,0.5374,0.5907,0.5756,0.1924,40.0,0.0,3.5817,1.789,1.581023
neutral_qa_002,,160,0.25,31.4877,31.4877,141.6379,154.2247,266.8224,1.0889,0.5308,0.578,0.4934,0.2089,29.38,0.0,4.5538,1.995,1.755663
neutral_qa_003,,160,0.25,30.6419,30.6419,110.2771,120.4636,197.171,1.0924,0.5593,0.611,0.5441,0.2153,34.38,0.0,3.6211,1.963,1.467516
neutral_qa_004,,160,0.25,29.8079,29.8079,113.3417,129.1667,205.2014,1.1396,0.5523,0.6295,0.5754,0.1974,38.12,0.0,3.2081,2.595,1.443576
neutral_qa_005,,160,0.25,28.0787,28.0787,104.3786,115.0521,194.1919,1.1023,0.5375,0.5925,0.6006,0.1972,41.88,0.0,2.1604,2.285,1.54515
neutral_qa_006,,160,0.25,28.5224,28.5224,108.2042,118.5059,193.6864,1.0952,0.5587,0.6118,0.5897,0.2227,40.0,0.0,2.8694,1.97,1.534513
neutral_qa_007,,160,0.25,34.2804,34.2804,133.4483,147.2266,254.6168,1.1032,0.5241,0.5782,0.4683,0.2051,26.88,0.0,4.6109,2.322,1.653111
neutral_qa_008,,160,0.25,32.9848,32.9848,137.2964,149.6954,253.9192,1.0903,0.5407,0.5895,0.4994,0.2183,28.75,0.0,4.1645,2.377,1.638132
neutral_qa_009,,160,0.25,28.9497,28.9497,100.7357,112.3674,180.3167,1.1155,0.5587,0.6232,0.6138,0.2259,39.38,0.0,2.2093,3.052,1.413149
neutral_qa_010,,160,0.25,31.3767,31.3768,106.9537,119.0946,187.3474,1.1135,0.5709,0.6357,0.5664,0.2568,31.87,0.0,2.3134,2.966,1.368764
neutral_qa_011,,160,0.25,29.9229,29.9229,127.8203,144.0831,243.8725,1.1272,0.5241,0.5908,0.5375,0.1859,33.75,0.0,2.9565,3.127,1.700577
