prompt_id,novel,n_steps,k,spend_greedy,spend_dual,fidelity_greedy,fidelity_dual,fidelity_ceiling,gain_ratio,frac_of_ceiling_greedy,frac_of_ceiling_dual,theta_greedy_mean,theta_dual_mean,theta_greedy_at_one_pct,theta_dual_at_zero_pct,jeffreys_median,price_iqr_ratio,lam
bookmia.00.11,,261,0.25,57.9247,57.9247,316.6058,358.8015,654.7051,1.1333,0.4836,0.548,0.242,0.0825,15.33,0.0,15.4311,2.738,2.11417
bookmia.00.26,,254,0.25,58.8899,58.89,353.3,398.5057,742.7961,1.128,0.4756,0.5365,0.2001,0.0869,10.63,0.0,17.6987,2.668,2.358582
bookmia.00.31,,247,0.25,58.5854,58.5854,340.5931,387.9589,735.7021,1.1391,0.4629,0.5273,0.1899,0.0853,9.31,0.0,18.1776,2.422,2.409549
bookmia.00.40,,269,0.25,61.733,61.733,372.9125,419.6958,793.8545,1.1255,0.4697,0.5287,0.2207,0.0909,12.64,0.0,16.6103,2.678,2.390148
bookmia.00.46,,263,0.25,59.8266,59.8266,375.8465,436.2787,847.8066,1.1608,0.4433,0.5146,0.2046,0.0835,11.41,0.0,18.856,2.868,2.756028
bookmia.00.48,,273,0.25,62.403,62.403,378.6113,422.2886,785.4846,1.1154,0.482,0.5376,0.2167,0.0878,12.09,0.0,17.5572,2.598,2.32131
bookmia.00.64,,262,0.25,60.8653,60.8653,354.0667,399.5119,755.9316,1.1284,0.4684,0.5285,0.2121,0.0839,12.6,0.0,17.419,2.854,2.354355
bookmia.00.71,,285,0.25,64.0447,64.0447,407.9809,470.3287,903.63,1.1528,0.4515,0.5205,0.2336,0.0814,14.74,0.0,18.2112,2.96,2.71277
bookmia.01.00,,285,0.25,65.0753,65.0753,411.3427,468.0519,875.5315,1.1379,0.4698,0.5346,0.2255,0.0844,13.33,0.0,17.9795,3.381,2.516904
bookmia.01.01,,305,0.25,67.5305,67.5305,434.325,502.247,954.7096,1.1564,0.4549,0.5261,0.2486,0.0808,16.07,0.0,17.922,3.268,2.707103
bookmia.01.02,,276,0.25,64.1516,64.1516,430.875,491.1613,927.688,1.1399,0.4645,0.5294,0.1876,0.084,9.78,0.0,18.2204,3.128,2.706447
bookmia.01.03,,266,0.25,62.6317,62.6318,399.5635,449.5811,864.6456,1.1252,0.4621,0.52,0.1816,0.0869,9.02,0.0,18.4393,2.645,2.581081
bookmia.01.04,,261,0.25,63.1818,63.1818,398.0358,446.4918,848.2261,1.1217,0.4693,0.5264,0.1513,0.0877,5.75,0.0,18.8085,2.815,2.512521
bookmia.01.07,,272,0.25,64.7136,64.7136,425.3806,484.0509,936.8074,1.1379,0.4541,0.5167,0.1732,0.0876,8.46,0.0,19.2768,2.755,2.723141
bookmia.01.10,,274,0.25,63.9357,63.9357,418.5399,478.5728,911.2594,1.1434,0.4593,0.5252,0.1893,0.0847,10.22,0.0,18.3974,2.632,2.639389
bookmia.01.11,,260,0.25,60.9965,60.9965,361.0377,406.4941,749.7041,1.1259,0.4816,0.5422,0.1857,0.0823,10.0,0.0,17.1793,2.808,2.262308
bookmia.01.12,,303,0.25,69.1842,69.1842,441.8819,499.9774,952.9534,1.1315,0.4637,0.5247,0.2126,0.0862,11.55,0.0,17.4382,2.966,2.561125
bookmia.01.14,,270,0.25,63.7324,63.7324,413.7573,460.0762,883.7807,1.1119,0.4682,0.5206,0.1694,0.0861,7.78,0.0,19.2826,2.548,2.578313
bookmia.01.20,,285,0.25,65.0074,65.0074,427.7278,481.9461,891.8951,1.1268,0.4796,0.5404,0.2278,0.0878,13.33,0.0,17.7142,3.276,2.481142
bookmia.01.22,,282,0.25,63.8479,63.8479,409.3134,469.8506,903.8418,1.1479,0.4529,0.5198,0.2269,0.083,13.83,0.0,18.3943,2.779,2.725114
bookmia.01.23,,263,0.25,60.1884,60.1884,394.7248,443.9468,826.9277,1.1247,0.4773,0.5369,0.2121,0.0895,11.79,0.0,17.0529,2.598,2.474691
bookmia.01.26,,288,0.25,66.9091,66.9091,417.504,469.9224,858.1582,1.1256,0.4865,0.5476,0.1889,0.0839,9.72,0.0,18.5091,2.965,2.307559
bookmia.01.27,,269,0.25,62.6225,62.6225,393.2869,444.3241,828.1813,1.1298,0.4749,0.5365,0.1865,0.0845,9.29,0.0,18.5221,2.758,2.403639
bookmia.01.31,,264,0.25,60.9394,60.9394,400.0465,452.7856,870.4427,1.1318,0.4596,0.5202,0.1911,0.0821,10.61,0.0,19.1107,3.006,2.678666
bookmia.01.32,,268,0.25,62.5386,62.5386,422.4146,472.4729,894.0308,1.1185,0.4725,0.5285,0.1868,0.0886,9.7,0.0,18.8859,2.827,2.601543
bookmia.01.33,,287,0.25,65.1123,65.1123,454.9795,512.4553,970.3486,1.1263,0.4689,0.5281,0.2097,0.086,11.85,0.0,18.7265,3.048,2.759257
bookmia.01.36,,269,0.25,63.1544,63.1544,415.0262,461.2963,866.9838,1.1115,0.4787,0.5321,0.1914,0.0874,10.41,0.0,18.7956,2.631,2.488039
bookmia.01.37,,268,0.25,61.9756,61.9756,395.3557,453.2556,854.2831,1.1465,0.4628,0.5306,0.2106,0.0876,11.57,0.0,17.9989,3.016,2.602499
bookmia.01.39,,274,0.25,65.0168,65.0168,420.8333,476.3508,914.0807,1.1319,0.4604,0.5211,0.1806,0.096,8.03,0.0,17.5974,2.777,2.622632
bookmia.01.41,,266,0.25,62.5117,62.5117,413.8177,472.2402,894.5433,1.1412,0.4626,0.5279,0.1803,0.0896,8.65,0.0,18.8224,2.627,2.678416
