prompt_id,novel,n_steps,k,spend_greedy,spend_dual,fidelity_greedy,fidelity_dual,fidelity_ceiling,gain_ratio,frac_of_ceiling_greedy,frac_of_ceiling_dual,theta_greedy_mean,theta_dual_mean,theta_greedy_at_one_pct,theta_dual_at_zero_pct,jeffreys_median,price_iqr_ratio,lam
bookmia.13.01,,285,0.25,63.3477,63.3477,242.2724,274.8965,571.3086,1.1347,0.4241,0.4812,0.3124,0.1254,16.14,0.0,8.6494,2.586,1.949004
bookmia.13.03,,277,0.25,59.8571,59.8571,227.1125,254.753,512.3025,1.1217,0.4433,0.4973,0.3154,0.1268,17.69,0.0,8.3723,2.343,1.835106
bookmia.13.04,,277,0.25,64.256,64.256,224.9279,252.1492,497.6518,1.121,0.452,0.5067,0.2495,0.1216,11.19,0.0,8.64,2.067,1.724431
bookmia.13.05,,292,0.25,64.0968,64.0968,245.2421,276.1891,555.211,1.1262,0.4417,0.4974,0.286,0.1261,15.41,0.0,8.5997,2.187,1.885257
bookmia.13.08,,276,0.25,64.7203,64.7203,241.8978,272.4155,542.5009,1.1262,0.4459,0.5021,0.2523,0.1249,10.51,0.0,8.6766,2.531,1.799302
bookmia.13.09,,270,0.25,60.8333,60.8333,210.9097,238.3776,463.4979,1.1302,0.455,0.5143,0.2976,0.1282,14.07,0.0,7.7931,2.42,1.730559
bookmia.13.10,,278,0.25,65.974,65.974,249.2161,275.0897,558.8647,1.1038,0.4459,0.4922,0.2286,0.1323,8.99,0.0,9.3607,2.172,1.804226
bookmia.13.12,,277,0.25,62.1088,62.1088,218.0002,244.703,478.3224,1.1225,0.4558,0.5116,0.2966,0.1325,13.36,0.0,7.5629,2.492,1.681878
bookmia.13.13,,288,0.25,67.4466,67.4466,252.974,288.7067,595.6954,1.1413,0.4247,0.4847,0.2378,0.1244,9.03,0.0,9.7054,2.185,1.883624
bookmia.13.16,,278,0.25,64.1556,64.1556,217.6934,245.3675,477.7325,1.1271,0.4557,0.5136,0.2751,0.1467,11.51,0.0,7.4359,2.227,1.720476
bookmia.13.18,,286,0.25,65.2789,65.2789,213.1078,238.6336,458.3074,1.1198,0.465,0.5207,0.286,0.1247,15.03,0.0,8.262,2.189,1.565442
bookmia.13.22,,306,0.25,67.2499,67.2499,276.5239,307.0016,630.0685,1.1102,0.4389,0.4873,0.2964,0.1265,15.69,0.0,8.4037,2.28,1.943499
bookmia.13.23,,258,0.25,61.4659,61.4659,226.2231,256.8848,517.4919,1.1355,0.4372,0.4964,0.2382,0.1316,9.69,0.0,8.4476,2.292,1.844285
bookmia.13.25,,275,0.25,62.7201,62.7201,244.2254,275.3088,556.8817,1.1273,0.4386,0.4944,0.2904,0.1417,13.09,0.0,8.0819,2.322,1.935893
bookmia.13.27,,292,0.25,64.74,64.74,238.4981,267.8174,541.4026,1.1229,0.4405,0.4947,0.2871,0.1208,15.07,0.0,8.6146,2.733,1.802373
bookmia.13.29,,270,0.25,61.6615,61.6615,210.5831,238.6226,457.0596,1.1332,0.4607,0.5221,0.2708,0.1294,12.59,0.0,7.5245,2.278,1.714159
bookmia.13.31,,298,0.25,57.8921,57.892,219.6829,244.7245,502.5279,1.114,0.4372,0.487,0.3961,0.1237,27.85,0.0,7.29,2.097,1.896202
bookmia.13.32,,271,0.25,61.2714,61.2714,220.6433,247.8001,498.1043,1.1231,0.443,0.4975,0.2832,0.1256,13.28,0.0,8.385,2.296,1.77476
bookmia.13.34,,290,0.25,67.4847,67.4847,257.9129,291.5543,602.1915,1.1304,0.4283,0.4842,0.2549,0.1305,11.03,0.0,8.7576,2.477,1.967358
bookmia.13.35,,285,0.25,64.8288,64.8288,246.3934,272.8359,566.73,1.1073,0.4348,0.4814,0.2629,0.1282,12.98,0.0,9.1951,2.118,1.867872
bookmia.13.37,,276,0.25,62.3365,62.3365,231.8251,259.4358,524.6938,1.1191,0.4418,0.4945,0.2618,0.1258,11.59,0.0,8.9752,2.289,1.835759
bookmia.13.41,,281,0.25,63.5071,63.7478,237.4594,273.8361,541.5554,1.1532,0.4385,0.5056,0.2957,0.122,14.95,0.0,8.0279,2.542,1.850128
bookmia.13.42,,279,0.25,64.5166,64.5166,245.295,281.2734,557.0655,1.1467,0.4403,0.5049,0.2642,0.1345,11.47,0.0,8.6442,2.465,1.877716
bookmia.13.43,,278,0.25,63.4858,63.4857,243.1673,274.8905,557.8542,1.1305,0.4359,0.4928,0.2702,0.1257,14.03,0.0,9.7037,2.322,1.854728
bookmia.13.44,,277,0.25,64.4489,64.4489,215.0253,238.6526,467.542,1.1099,0.4599,0.5104,0.2464,0.1237,11.19,0.0,8.6734,2.255,1.61116
bookmia.13.45,,284,0.25,64.3074,64.3074,226.5685,257.0104,502.4727,1.1344,0.4509,0.5115,0.2709,0.1255,13.03,0.0,8.0503,2.41,1.733488
bookmia.13.46,,287,0.25,63.6387,63.6388,230.9904,262.0722,514.0156,1.1346,0.4494,0.5099,0.2921,0.1232,15.33,0.0,8.3709,2.448,1.773577
bookmia.13.47,,284,0.25,64.1886,64.1886,250.9009,282.5219,572.2297,1.126,0.4385,0.4937,0.2771,0.1263,13.73,0.0,8.7361,2.473,1.892958
bookmia.13.51,,263,0.25,58.0631,58.0631,220.5199,248.5852,494.9435,1.1273,0.4455,0.5022,0.3013,0.1315,16.35,0.0,8.3445,2.182,1.849169
bookmia.13.52,,286,0.25,64.4382,64.4382,240.3134,263.873,532.6288,1.098,0.4512,0.4954,0.2803,0.1275,14.34,0.0,8.5776,2.168,1.785885
