prompt_id,novel,n_steps,k,spend_greedy,spend_dual,fidelity_greedy,fidelity_dual,fidelity_ceiling,gain_ratio,frac_of_ceiling_greedy,frac_of_ceiling_dual,theta_greedy_mean,theta_dual_mean,theta_greedy_at_one_pct,theta_dual_at_zero_pct,jeffreys_median,price_iqr_ratio,lam
neutral_qa_000,,160,3.0,220.53,220.53,252.9771,256.972,260.6797,1.0158,0.9705,0.9858,0.9493,0.7797,84.38,0.0,6.6469,1.766,0.17733
neutral_qa_001,,160,3.0,220.5897,220.5897,238.1734,240.9146,242.194,1.0115,0.9834,0.9947,0.9683,0.8605,86.25,0.0,5.7092,3.721,0.115691
neutral_qa_002,,160,3.0,238.1079,238.1079,286.3217,290.7184,298.1747,1.0154,0.9602,0.975,0.9141,0.6606,78.12,0.0,7.375,1.859,0.217357
neutral_qa_003,,160,3.0,222.0707,222.0707,246.4714,249.5103,251.6525,1.0123,0.9794,0.9915,0.9596,0.8121,86.25,0.0,6.4115,2.31,0.142655
neutral_qa_004,,160,3.0,238.2212,238.2212,278.2021,281.982,287.0167,1.0136,0.9693,0.9825,0.94,0.7479,79.37,0.0,6.9663,2.745,0.183428
neutral_qa_005,,160,3.0,256.5513,256.5514,285.9581,288.9937,292.4535,1.0106,0.9778,0.9882,0.9287,0.7424,75.63,0.0,8.0531,2.449,0.17485
neutral_qa_006,,160,3.0,202.7384,202.7384,230.045,233.5197,236.4915,1.0151,0.9727,0.9874,0.9531,0.7713,84.38,0.0,5.8775,2.699,0.167322
neutral_qa_007,,160,3.0,224.0854,224.0854,255.5884,258.3964,261.6955,1.011,0.9767,0.9874,0.9607,0.7759,85.0,0.0,6.492,2.762,0.167582
neutral_qa_008,,160,3.0,266.1499,266.1499,317.1177,322.7721,330.4709,1.0178,0.9596,0.9767,0.9261,0.7087,78.12,0.0,8.3724,1.801,0.221227
neutral_qa_009,,160,3.0,241.635,241.6351,268.0148,271.6912,274.651,1.0137,0.9758,0.9892,0.9399,0.7687,80.63,0.0,7.0196,2.511,0.168322
neutral_qa_010,,160,3.0,205.0968,205.0968,224.7169,226.6803,228.1292,1.0087,0.985,0.9936,0.9642,0.8442,83.75,0.0,5.4429,3.534,0.125388
neutral_qa_011,,160,3.0,260.2318,260.2318,312.4885,316.7417,324.2986,1.0136,0.9636,0.9767,0.9145,0.6752,73.75,0.0,7.9605,1.769,0.213848
neutral_qa_012,,160,3.0,277.4026,277.4026,324.2636,327.9536,334.1537,1.0114,0.9704,0.9814,0.9297,0.7088,72.5,0.0,8.8256,2.314,0.199593
neutral_qa_013,,160,3.0,259.1586,259.1587,288.1309,290.9242,293.9373,1.0097,0.9802,0.9897,0.949,0.8024,81.88,0.0,7.9509,2.201,0.159277
neutral_qa_014,,160,3.0,238.5913,238.5913,283.1302,287.1414,294.0769,1.0142,0.9628,0.9764,0.9207,0.6702,80.0,0.0,7.964,1.726,0.221049
neutral_qa_015,,160,3.0,241.218,241.218,287.4762,290.7932,297.6049,1.0115,0.966,0.9771,0.9346,0.6766,79.37,0.0,7.9362,1.892,0.208672
neutral_qa_016,,160,3.0,117.3413,117.3413,128.985,130.6525,131.959,1.0129,0.9775,0.9901,0.9764,0.7696,93.13,0.0,2.8116,2.355,0.167214
neutral_qa_017,,160,3.0,207.5652,207.5652,264.2896,270.6729,281.6229,1.0242,0.9385,0.9611,0.913,0.5729,75.0,0.0,6.4617,2.029,0.272125
neutral_qa_018,,160,3.0,250.2301,250.2301,276.838,280.1248,282.6696,1.0119,0.9794,0.991,0.9598,0.8007,85.0,0.0,8.3767,1.988,0.152746
neutral_qa_019,,160,3.0,222.1171,222.1171,241.5933,244.2318,246.3648,1.0109,0.9806,0.9913,0.9584,0.7715,85.62,0.0,7.2654,1.964,0.159911
neutral_qa_020,,160,3.0,236.8768,236.8768,276.9854,280.8524,287.2506,1.014,0.9643,0.9777,0.9189,0.6484,78.75,0.0,7.8876,1.881,0.220154
neutral_qa_021,,160,3.0,225.0464,225.0464,248.401,251.0766,252.7005,1.0108,0.983,0.9936,0.9562,0.8509,81.25,0.0,6.6086,3.151,0.118967
neutral_qa_022,,160,3.0,274.6299,274.6299,346.1334,351.8275,364.1874,1.0165,0.9504,0.9661,0.8943,0.6507,71.25,0.0,10.1272,2.04,0.245942
neutral_qa_023,,160,3.0,215.4274,215.4274,239.2711,242.4026,245.0028,1.0131,0.9766,0.9894,0.9544,0.7345,83.75,0.0,6.6116,2.91,0.166742
neutral_qa_024,,160,3.0,217.1693,217.1693,244.212,246.8935,250.082,1.011,0.9765,0.9872,0.9511,0.7263,83.75,0.0,7.1788,1.57,0.180627
neutral_qa_025,,160,3.0,226.593,226.593,258.6763,262.0285,265.7873,1.013,0.9732,0.9859,0.9489,0.7155,85.0,0.0,7.441,2.594,0.17458
neutral_qa_026,,160,3.0,258.9803,258.9804,313.6207,319.9261,328.7929,1.0201,0.9539,0.973,0.9128,0.6632,77.5,0.0,8.1868,2.026,0.22913
neutral_qa_027,,160,3.0,254.7729,254.7729,292.3093,294.9525,299.2394,1.009,0.9768,0.9857,0.9508,0.76,83.13,0.0,8.2314,2.13,0.17532
neutral_qa_028,,160,3.0,218.2349,218.2349,243.4062,246.7412,249.1058,1.0137,0.9771,0.9905,0.9704,0.7877,88.75,0.0,6.9686,2.244,0.149269
neutral_qa_029,,160,3.0,248.8422,248.8422,291.8315,295.2429,301.1376,1.0117,0.9691,0.9804,0.9229,0.7074,75.0,0.0,7.6458,1.928,0.202711
