mode,k_over_s,n_pairs,recall_TinyComma-1.8B + memorised Llama-3.1-8B,recall_Comma-7B + memorised Comma-7B,recall_Pleias-350M + mem. Pleias-350M,recall_Pleias-1.2B + mem. Pleias-1.2B,recall_KL3M-1.7B + mem. KL3M-1.7B,recall_KL3M-520M + mem. KL3M-520M,recall_Phi-3.5-mini + mem. Phi-3.5-mini,recall_open-calm-1b + mem. open-calm-1b,recall_open-calm-3b + mem. open-calm-3b,spread,sd
single,0.7,9,0.0,0.0011579699999999993,0.0,0.002531515,0.0,0.0,0.0006205999999999998,0.0,0.0,0.002531515,0.0008212804740227974
single,0.8,9,0.0,0.00273768,0.0,0.0038051200000000012,0.0,0.0,0.00448336000000001,0.0,0.0,0.00448336000000001,0.0017815685890338624
single,0.9,9,0.011540466666666659,0.011007500000000003,0.012177395000000008,0.018745960000000016,0.0008553599999999995,0.0,0.005370780000000004,0.0,0.0020968823529411763,0.018745960000000016,0.006357313360669664
single,1.0,9,0.02402649999999998,0.022975000000000016,0.0098,0.04463685,0.0009,0.0010324999999999844,0.02479760000000001,0.007575764705882355,0.011257647058823548,0.04373685,0.013306116961467352
single,1.1,9,0.04102915,0.029528737500000013,0.02523761916666669,0.06638053500000002,0.0020646400000000004,0.017429725000000007,0.03574892000000004,0.011453517647058823,0.043448977941176456,0.06431589500000001,0.018146876377275658
oracle,0.7,6,0.026449016666666644,0.014811059999999994,0.01032095625,0.020389260000000003,0.0004783999999999979,0.0005483750000000016,,,,0.025970616666666647,0.009605521877037204
oracle,0.8,6,0.051008399999999995,0.026012639999999997,0.021882640000000012,0.04560840000000002,0.00108448,0.0,,,,0.051008399999999995,0.01960274970999959
oracle,0.9,6,0.08731807666666663,0.047997012500000005,0.04867197000000001,0.08436136000000001,0.002905759999999999,0.0,,,,0.08731807666666663,0.03454288301445542
oracle,1.0,6,0.12201249999999997,0.07594112500000003,0.06495008333333332,0.1211836,0.005081999999999994,0.0025867499999999927,,,,0.11942574999999997,0.04832494062058786
oracle,1.1,6,0.14225374999999998,0.10615552500000006,0.09721382250000005,0.15135196000000004,0.0086752,0.009374700000000001,,,,0.14267676000000004,0.05747138550590261
