model,id,novel,n_tok,s_rate,k_crit,binding_token,binding_frac,ratio_skip0,ratio_skip1,ratio_skip5,ratio_skip10,ratio_skip20
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.11,1984,57,2.3149741877058294,13.815370559692383,0,0.0,5.967829202183719,3.685142872457221,1.6503262645407566,2.1629996924179204,0.8245227539789527
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.26,1984,57,3.087800858444289,12.953660011291504,0,0.0,4.195108624271152,1.071782392170811,1.212923723408327,0.9760276502831856,1.476015826682164
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.31,1984,57,3.0684704009378168,4.041583895683289,1,0.017543859649122806,1.3171330883452743,1.5988968007226527,1.075170838430202,1.1109321543541655,1.760173946954756
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.40,1984,59,3.0246074293992655,14.733166694641113,0,0.0,4.871100477845269,3.0546862803678865,1.9554710231521018,0.8369490483703993,0.8979316665182605
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.46,1984,59,3.3648115153250804,17.553457260131836,0,0.0,5.216772820761095,1.7999869399986137,1.7581724974879958,0.8507885093328206,0.8625977376536114
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.48,1984,66,3.01148619505605,17.329994201660156,0,0.0,5.754631792804087,0.9412507241005063,2.126232889621032,0.9775310593734893,2.30719860631386
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.64,1984,60,2.9226104216184465,11.63776969909668,0,0.0,3.9819777596810395,1.5570001290618851,0.9263167425389358,0.9860332323634342,1.4546678954071077
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.71,1984,62,2.9690834310867134,14.164624214172363,0,0.0,4.770706025255738,1.0111260607859631,1.013610449400025,1.104475653468312,1.2757742817017805
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.00,a_game_of_thrones,60,2.4169115632544464,14.986689567565918,0,0.0,6.200760423102066,2.5312393436776555,1.5594815977903531,0.9812089772351478,1.4949535923085453
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.01,a_game_of_thrones,63,2.9265992659964555,4.4987578381422075,8,0.12698412698412698,1.5371963939212088,1.6984170137438346,2.4941916703561393,1.7207971168368068,1.5317132788253047
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.02,a_game_of_thrones,62,4.152772745868612,14.011577606201172,0,0.0,3.3740294650461182,1.1268347009941737,1.7717151420754083,0.9450396456602449,0.9623071577009082
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.03,a_game_of_thrones,61,3.457046535660009,15.24816608428955,0,0.0,4.410749443781617,1.002859910924083,1.0914516265459042,1.2257575368672162,2.8863327422509903
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.04,a_game_of_thrones,67,3.0783343764192272,4.5295929475060595,12,0.1791044776119403,1.4714427978337303,1.5737229463949165,2.118034737799995,3.142147001193633,2.0210578361200047
