quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.1065,0.084,0.1295,500,0.103,SURVIVES
"D2 metered gain, order-averaged",metered_k10,0.039,0.013,0.0645,500,0.099,SURVIVES
"D3 difference of gains, paired",sel_n64 - metered_k10,0.0675,0.033,0.102,500,0.004,REVERSAL CONFIRMED
"D4 tokenswap gain, order-averaged",tokenswap,0.168,0.1425,0.194,500,0.212,SURVIVES
"D5 tokenswap minus selection, paired",tokenswap - sel_n64,0.0615,0.0285,0.095,500,,INCUMBENT WINS
order consistency,sel_n64,0.238,,,500,,UNUSABLE
order consistency,sel_n1,0.254,,,500,,UNUSABLE
order consistency,metered_k10,0.346,,,500,,UNUSABLE
order consistency,anchor_k0,0.244,,,500,,UNUSABLE
order consistency,tokenswap,0.324,,,500,,UNUSABLE
