quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.1015,0.0765,0.126,500,0.091,SURVIVES
"D2 metered gain, order-averaged",metered_k20,0.019,-0.004,0.042,500,-0.005,DISSOLVES
"D3 difference of gains, paired",sel_n64 - metered_k20,0.0825,0.0495,0.116,500,0.096,REVERSAL CONFIRMED
"D4 met70b_k1 gain, order-averaged",met70b_k1,0.0005,-0.02,0.021,500,0.0,DISSOLVES
"D5 met70b_k1 minus selection, paired",met70b_k1 - sel_n64,-0.101,-0.1335,-0.0685,500,,INCUMBENT LOSES
order consistency,sel_n64,0.288,,,500,,UNUSABLE
order consistency,sel_n1,0.3,,,500,,UNUSABLE
order consistency,metered_k20,0.302,,,500,,UNUSABLE
order consistency,anchor_k0,0.362,,,500,,UNUSABLE
order consistency,met70b_k1,0.346,,,500,,UNUSABLE
