prompt_id,u_sel_n64,u_sel_n1,u_metered_k1,u_anchor_k0,gain_sel,gain_metered,diff
alpaca_0000,0.75,0.25,1.0,0.25,0.5,0.75,-0.25
alpaca_0001,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
alpaca_0002,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
alpaca_0003,0.25,0.0,0.75,0.0,0.25,0.75,-0.5
alpaca_0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca_0005,0.75,0.25,1.0,0.25,0.5,0.75,-0.25
alpaca_0006,0.25,0.25,0.25,0.25,0.0,0.0,0.0
alpaca_0007,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
alpaca_0008,0.5,0.0,0.0,0.0,0.5,0.0,0.5
alpaca_0009,0.0,0.5,0.0,0.5,-0.5,-0.5,0.0
alpaca_0010,0.5,0.5,0.25,0.5,0.0,-0.25,0.25
alpaca_0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca_0012,0.5,0.5,0.5,0.5,0.0,0.0,0.0
alpaca_0013,0.5,0.25,0.25,0.25,0.25,0.0,0.25
alpaca_0014,0.5,0.5,0.5,0.5,0.0,0.0,0.0
alpaca_0015,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
alpaca_0016,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
alpaca_0017,0.25,0.0,0.5,0.0,0.25,0.5,-0.25
alpaca_0018,0.5,0.0,0.5,0.0,0.5,0.5,0.0
alpaca_0019,0.0,0.0,0.25,0.0,0.0,0.25,-0.25
alpaca_0020,0.5,0.5,0.5,0.5,0.0,0.0,0.0
alpaca_0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca_0022,1.0,1.0,1.0,1.0,0.0,0.0,0.0
alpaca_0023,0.5,0.25,1.0,0.25,0.25,0.75,-0.5
alpaca_0024,0.5,0.25,0.25,0.25,0.25,0.0,0.25
alpaca_0025,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
alpaca_0026,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
alpaca_0027,0.5,0.0,0.5,0.0,0.5,0.5,0.0
alpaca_0028,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
alpaca_0029,0.0,0.0,0.25,0.0,0.0,0.25,-0.25
alpaca_0030,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
alpaca_0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca_0032,0.5,0.0,0.5,0.0,0.5,0.5,0.0
alpaca_0033,0.5,0.5,0.5,0.5,0.0,0.0,0.0
alpaca_0034,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
alpaca_0035,0.5,0.25,0.5,0.25,0.25,0.25,0.0
alpaca_0036,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
alpaca_0037,0.5,0.0,0.5,0.0,0.5,0.5,0.0
alpaca_0038,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
alpaca_0039,0.25,0.0,0.5,0.0,0.25,0.5,-0.25
alpaca_0040,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
alpaca_0041,0.25,0.0,0.0,0.0,0.25,0.0,0.25
alpaca_0042,0.5,0.5,1.0,0.5,0.0,0.5,-0.5
alpaca_0043,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
alpaca_0044,0.25,0.5,1.0,0.5,-0.25,0.5,-0.75
alpaca_0045,0.25,0.0,0.0,0.0,0.25,0.0,0.25
alpaca_0046,0.0,0.0,0.25,0.0,0.0,0.25,-0.25
alpaca_0047,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
alpaca_0048,0.5,0.0,0.0,0.0,0.5,0.0,0.5
alpaca_0049,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
alpaca_0050,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca_0051,0.5,0.5,0.75,0.5,0.0,0.25,-0.25
alpaca_0052,0.0,0.0,0.75,0.0,0.0,0.75,-0.75
alpaca_0053,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
alpaca_0054,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
alpaca_0055,0.5,0.5,0.25,0.5,0.0,-0.25,0.25
alpaca_0056,0.0,0.25,0.25,0.25,-0.25,0.0,-0.25
alpaca_0057,0.5,0.5,0.5,0.5,0.0,0.0,0.0
alpaca_0058,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
alpaca_0059,0.5,0.25,0.5,0.25,0.25,0.25,0.0
alpaca_0060,0.5,0.5,0.25,0.5,0.0,-0.25,0.25
alpaca_0061,0.0,0.0,0.25,0.0,0.0,0.25,-0.25
alpaca_0062,0.25,0.25,0.75,0.25,0.0,0.5,-0.5
alpaca_0063,0.0,0.25,0.5,0.25,-0.25,0.25,-0.5
alpaca_0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca_0065,0.5,0.0,0.0,0.0,0.5,0.0,0.5
alpaca_0066,0.5,0.5,0.25,0.5,0.0,-0.25,0.25
alpaca_0067,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
alpaca_0068,0.5,0.25,0.5,0.25,0.25,0.25,0.0
alpaca_0069,0.5,0.0,0.0,0.0,0.5,0.0,0.5
alpaca_0070,0.5,0.5,0.5,0.5,0.0,0.0,0.0
alpaca_0071,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
alpaca_0072,0.5,0.0,0.5,0.0,0.5,0.5,0.0
alpaca_0073,0.75,0.5,1.0,0.5,0.25,0.5,-0.25
alpaca_0074,0.25,0.0,0.0,0.0,0.25,0.0,0.25
alpaca_0075,0.25,0.0,0.75,0.0,0.25,0.75,-0.5
alpaca_0076,0.5,0.0,0.5,0.0,0.5,0.5,0.0
alpaca_0077,0.5,0.0,0.25,0.0,0.5,0.25,0.25
alpaca_0078,0.5,0.5,0.25,0.5,0.0,-0.25,0.25
alpaca_0079,0.75,0.75,0.75,0.75,0.0,0.0,0.0
alpaca_0080,0.0,0.0,0.75,0.0,0.0,0.75,-0.75
alpaca_0081,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
alpaca_0082,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
alpaca_0083,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
alpaca_0084,0.25,0.25,0.25,0.25,0.0,0.0,0.0
alpaca_0085,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
alpaca_0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca_0087,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
alpaca_0088,0.5,0.5,0.5,0.5,0.0,0.0,0.0
alpaca_0089,0.0,0.0,0.25,0.0,0.0,0.25,-0.25
alpaca_0090,0.5,0.5,0.0,0.5,0.0,-0.5,0.5
alpaca_0091,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
alpaca_0092,0.75,0.5,0.5,0.5,0.25,0.0,0.25
alpaca_0093,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
alpaca_0094,0.5,0.0,0.5,0.0,0.5,0.5,0.0
alpaca_0095,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
alpaca_0096,0.5,0.0,0.0,0.0,0.5,0.0,0.5
alpaca_0097,0.5,0.5,0.0,0.5,0.0,-0.5,0.5
alpaca_0098,1.0,0.5,0.5,0.5,0.5,0.0,0.5
alpaca_0099,0.5,0.0,0.5,0.0,0.5,0.5,0.0
alpaca_0100,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
alpaca_0101,0.5,0.75,0.75,0.75,-0.25,0.0,-0.25
alpaca_0102,0.5,0.0,0.5,0.0,0.5,0.5,0.0
alpaca_0103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca_0104,0.25,0.5,0.75,0.5,-0.25,0.25,-0.5
alpaca_0105,0.5,0.0,0.0,0.0,0.5,0.0,0.5
alpaca_0106,0.75,0.5,0.75,0.5,0.25,0.25,0.0
alpaca_0107,0.5,0.25,0.5,0.25,0.25,0.25,0.0
alpaca_0108,0.75,0.5,0.75,0.5,0.25,0.25,0.0
alpaca_0109,0.5,0.0,0.0,0.0,0.5,0.0,0.5
alpaca_0110,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
alpaca_0111,0.25,0.0,0.0,0.0,0.25,0.0,0.25
alpaca_0112,0.5,0.5,0.25,0.5,0.0,-0.25,0.25
alpaca_0113,0.75,0.5,0.5,0.5,0.25,0.0,0.25
alpaca_0114,0.5,0.0,0.5,0.0,0.5,0.5,0.0
alpaca_0115,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
alpaca_0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca_0117,0.25,0.75,0.75,0.75,-0.5,0.0,-0.5
alpaca_0118,0.5,0.5,1.0,0.5,0.0,0.5,-0.5
alpaca_0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca_0120,0.25,0.5,0.0,0.5,-0.25,-0.5,0.25
alpaca_0121,0.5,0.25,0.5,0.25,0.25,0.25,0.0
alpaca_0122,0.75,0.5,0.5,0.5,0.25,0.0,0.25
alpaca_0123,0.0,0.0,0.25,0.0,0.0,0.25,-0.25
alpaca_0124,0.75,0.0,0.5,0.0,0.75,0.5,0.25
alpaca_0125,0.0,0.0,0.25,0.0,0.0,0.25,-0.25
alpaca_0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpaca_0127,0.0,0.0,0.25,0.0,0.0,0.25,-0.25
alpaca_0128,0.25,0.25,0.75,0.25,0.0,0.5,-0.5
alpaca_0129,0.5,0.5,0.25,0.5,0.0,-0.25,0.25
alpaca_0130,0.25,0.25,0.25,0.25,0.0,0.0,0.0
alpaca_0131,0.5,0.5,0.75,0.5,0.0,0.25,-0.25
alpaca_0132,0.5,0.5,0.5,0.5,0.0,0.0,0.0
alpaca_0133,0.75,0.5,0.5,0.5,0.25,0.0,0.25
alpaca_0134,0.5,0.25,0.25,0.25,0.25,0.0,0.25
alpaca_0135,0.0,0.0,0.25,0.0,0.0,0.25,-0.25
