prompt_id,u_sel_n64,u_sel_n1,u_metered_k10,u_anchor_k0,gain_sel,gain_metered,diff
mtbench_100,0.5,0.25,0.5,0.25,0.25,0.25,0.0
mtbench_101,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
mtbench_102,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
mtbench_103,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5
mtbench_104,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
mtbench_105,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
mtbench_106,0.5,0.25,0.5,0.25,0.25,0.25,0.0
mtbench_107,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_108,0.5,0.0,0.5,0.0,0.5,0.5,0.0
mtbench_109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtbench_110,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_111,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_112,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
mtbench_113,0.0,0.25,0.5,0.25,-0.25,0.25,-0.5
mtbench_114,0.0,0.0,0.5,0.0,0.0,0.5,-0.5
mtbench_115,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
mtbench_116,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_117,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_118,0.75,0.0,0.5,0.0,0.75,0.5,0.25
mtbench_119,1.0,0.5,0.5,0.5,0.5,0.0,0.5
mtbench_120,0.75,0.25,0.5,0.25,0.5,0.25,0.25
mtbench_121,0.25,0.0,0.5,0.0,0.25,0.5,-0.25
mtbench_122,0.0,0.25,0.5,0.25,-0.25,0.25,-0.5
mtbench_123,0.5,0.25,0.5,0.25,0.25,0.25,0.0
mtbench_124,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
mtbench_125,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
mtbench_126,0.5,0.5,0.5,0.5,0.0,0.0,0.0
mtbench_127,0.5,0.25,0.5,0.25,0.25,0.25,0.0
mtbench_128,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
mtbench_129,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
