prompt_id,u_sel_n64,u_sel_n1,u_metered_k0.5,u_anchor_k0,u_risky70b,gain_sel,gain_metered,diff
1nzes2,0.5,0.25,0.5,0.5,0.5,0.25,0.0,0.25
2786lw,0.5,0.5,0.75,0.75,0.75,0.0,0.0,0.0
2ov45h,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0
49u4dh,0.5,0.5,0.5,0.5,0.75,0.0,0.0,0.0
4iorz7,0.75,0.5,1.0,0.5,0.25,0.25,0.5,-0.25
4xzr87,0.5,0.5,0.5,0.75,0.75,0.0,-0.25,0.25
53rqr9,0.25,0.25,0.25,0.5,0.25,0.0,-0.25,0.25
5apkek,0.75,0.75,0.5,0.5,0.5,0.0,0.0,0.0
5e6rcz,0.75,0.25,0.75,0.75,0.75,0.5,0.0,0.5
5ec7q2,0.5,1.0,0.5,0.5,0.5,-0.5,0.0,-0.5
5f5p86,0.25,0.5,0.75,0.25,0.75,-0.25,0.5,-0.75
5fqwjc,0.25,0.5,0.5,0.25,0.5,-0.25,0.25,-0.5
5g58dz,0.25,0.0,0.5,0.25,0.25,0.25,0.25,0.0
5gq4jc,0.75,0.5,0.5,0.5,0.5,0.25,0.0,0.25
5j7ypk,0.75,0.75,0.5,0.5,0.5,0.0,0.0,0.0
5je6l4,0.5,0.75,0.25,0.25,0.25,-0.25,0.0,-0.25
5nc21f,1.0,0.25,0.25,0.25,0.75,0.75,0.0,0.75
5nzsq6,0.25,0.5,0.25,0.5,0.25,-0.25,-0.25,0.0
5ozqb9,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
5qf97d,0.5,0.5,0.5,0.5,0.75,0.0,0.0,0.0
5qwzjo,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.0
5r104c,0.25,0.5,0.25,0.5,0.5,-0.25,-0.25,0.0
5te65i,0.5,0.25,0.25,0.5,0.25,0.25,-0.25,0.5
5umucz,0.5,0.25,0.25,0.5,0.25,0.25,-0.25,0.5
5w4x14,0.5,0.5,0.25,0.5,0.25,0.0,-0.25,0.25
609k0n,0.75,0.5,0.5,0.5,0.5,0.25,0.0,0.25
625es0,0.75,0.25,0.5,0.5,0.75,0.5,0.0,0.5
63dn97,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.25
63ku7q,0.5,0.5,0.25,0.5,0.5,0.0,-0.25,0.25
64c0w6,0.5,0.5,0.25,0.5,0.25,0.0,-0.25,0.25
65458n,0.5,0.25,0.5,0.5,0.5,0.25,0.0,0.25
66uo64,1.0,0.5,0.75,0.5,0.75,0.5,0.25,0.25
68f5c5,0.5,0.75,0.5,0.5,0.75,-0.25,0.0,-0.25
68ykga,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
69dzba,0.5,0.5,0.25,0.5,0.25,0.0,-0.25,0.25
6d1iqq,0.25,0.5,0.75,0.5,0.5,-0.25,0.25,-0.5
6eytds,0.75,0.75,0.5,0.75,0.75,0.0,-0.25,0.25
6gl289,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
6hoxmq,0.75,0.5,0.5,0.5,0.5,0.25,0.0,0.25
6imc4i,0.5,0.5,0.5,0.25,0.25,0.0,0.25,-0.25
6isay3,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.0
6ixx9u,0.5,0.75,0.75,0.5,0.5,-0.25,0.25,-0.5
6k8gdu,0.5,0.5,0.5,0.75,0.5,0.0,-0.25,0.25
6l6v6l,0.75,0.5,0.25,0.5,0.5,0.25,-0.25,0.5
6m7z8a,0.75,0.75,0.5,0.75,0.25,0.0,-0.25,0.25
6mztko,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
6o18uh,0.5,0.5,0.25,0.25,0.5,0.0,0.0,0.0
6o679d,0.5,0.0,0.0,0.25,0.25,0.5,-0.25,0.75
6ohgxv,0.5,0.5,0.5,0.25,0.5,0.0,0.25,-0.25
6szrbs,0.5,0.25,0.25,0.25,0.0,0.25,0.0,0.25
6tsiyd,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.0
6wgtsx,0.75,0.5,0.5,0.5,0.5,0.25,0.0,0.25
6wxzhc,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
6xisxt,0.5,0.75,0.25,0.5,0.5,-0.25,-0.25,0.0
6xngfe,0.75,0.75,0.5,0.75,0.75,0.0,-0.25,0.25
6xsruw,0.75,0.75,0.5,0.5,0.75,0.0,0.0,0.0
71p51h,0.25,0.5,0.5,0.5,0.5,-0.25,0.0,-0.25
72l2aj,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0
74ih3z,0.5,0.25,0.5,0.5,0.5,0.25,0.0,0.25
765fhd,0.25,0.0,0.75,0.25,0.5,0.25,0.5,-0.25
