quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.1145,0.088,0.141,500,0.115,SURVIVES
"D2 metered gain, order-averaged",metered_k10,0.0545,0.028,0.0815,500,0.027,SURVIVES
"D3 difference of gains, paired",sel_n64 - metered_k10,0.06,0.0235,0.0965,500,0.088,REVERSAL CONFIRMED
"D4 opp_plain gain, order-averaged",opp_plain,0.0695,0.044,0.0965,500,0.035,SURVIVES
"D5 opp_plain minus selection, paired",opp_plain - sel_n64,-0.045,-0.082,-0.0085,500,,INCUMBENT LOSES
order consistency,sel_n64,0.438,,,500,,UNUSABLE
order consistency,sel_n1,0.458,,,500,,UNUSABLE
order consistency,metered_k10,0.408,,,500,,UNUSABLE
order consistency,anchor_k0,0.49,,,500,,UNUSABLE
order consistency,opp_plain,0.424,,,500,,UNUSABLE
