alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,1953.029,0.8217,-6019.255,-0.7932,7589,-54.966,-17629.634
1.0,0.75,attack_train,25,25,2127.391,0.895,-4742.418,-0.6249,7589,-54.966,-17629.634
1.0,1.0,attack_train,25,25,2223.111,0.9353,-3864.169,-0.5092,7589,-54.966,-17629.634
1.0,1.5,attack_train,25,25,2313.134,0.9732,-2704.783,-0.3564,7589,-54.966,-17629.634
1.0,2.0,attack_train,25,25,2348.042,0.9878,-1966.034,-0.2591,7589,-54.966,-17629.634
1.0,2.5,attack_train,25,25,2363.665,0.9944,-1459.679,-0.1923,7589,-54.966,-17629.634
1.0,3.0,attack_train,25,25,2370.479,0.9973,-1099.639,-0.1449,7589,-54.966,-17629.634
1.0,4.0,attack_train,25,25,2374.924,0.9991,-647.369,-0.0853,7589,-54.966,-17629.634
1.0,5.5,attack_train,25,25,2376.682,0.9999,-304.671,-0.0401,7589,-54.966,-17629.634
1.0,7.5,attack_train,25,25,2376.946,1.0,-130.748,-0.0172,7589,-54.966,-17629.634
1.0,10.0,attack_train,25,25,2376.946,1.0,-69.348,-0.0091,7589,-54.966,-17629.634
1.0,14.0,attack_train,25,25,2376.946,1.0,-55.929,-0.0074,7589,-54.966,-17629.634
2.0,0.5,attack_train,25,25,1671.736,0.7033,-8975.799,-1.1827,7589,-54.966,-17629.634
2.0,0.75,attack_train,25,25,1892.509,0.7962,-7793.789,-1.027,7589,-54.966,-17629.634
2.0,1.0,attack_train,25,25,2032.79,0.8552,-6886.828,-0.9075,7589,-54.966,-17629.634
2.0,1.5,attack_train,25,25,2193.122,0.9227,-5506.592,-0.7256,7589,-54.966,-17629.634
2.0,2.0,attack_train,25,25,2272.473,0.956,-4461.543,-0.5879,7589,-54.966,-17629.634
2.0,2.5,attack_train,25,25,2315.921,0.9743,-3630.194,-0.4783,7589,-54.966,-17629.634
2.0,3.0,attack_train,25,25,2341.083,0.9849,-2956.665,-0.3896,7589,-54.966,-17629.634
2.0,4.0,attack_train,25,25,2364.118,0.9946,-1958.524,-0.2581,7589,-54.966,-17629.634
2.0,5.5,attack_train,25,25,2374.921,0.9991,-1019.203,-0.1343,7589,-54.966,-17629.634
2.0,7.5,attack_train,25,25,2376.693,0.9999,-402.199,-0.053,7589,-54.966,-17629.634
2.0,10.0,attack_train,25,25,2376.946,1.0,-133.163,-0.0175,7589,-54.966,-17629.634
2.0,14.0,attack_train,25,25,2376.946,1.0,-60.908,-0.008,7589,-54.966,-17629.634
4.0,0.5,attack_train,25,25,1418.865,0.5969,-11359.879,-1.4969,7589,-54.966,-17629.634
4.0,0.75,attack_train,25,25,1664.796,0.7004,-10255.074,-1.3513,7589,-54.966,-17629.634
4.0,1.0,attack_train,25,25,1835.247,0.7721,-9313.166,-1.2272,7589,-54.966,-17629.634
4.0,1.5,attack_train,25,25,2051.264,0.863,-7716.026,-1.0167,7589,-54.966,-17629.634
4.0,2.0,attack_train,25,25,2173.711,0.9145,-6385.706,-0.8414,7589,-54.966,-17629.634
4.0,2.5,attack_train,25,25,2247.367,0.9455,-5265.002,-0.6938,7589,-54.966,-17629.634
4.0,3.0,attack_train,25,25,2294.101,0.9651,-4323.444,-0.5697,7589,-54.966,-17629.634
4.0,4.0,attack_train,25,25,2342.576,0.9855,-2883.94,-0.38,7589,-54.966,-17629.634
4.0,5.5,attack_train,25,25,2369.754,0.997,-1499.628,-0.1976,7589,-54.966,-17629.634
4.0,7.5,attack_train,25,25,2375.864,0.9995,-575.598,-0.0758,7589,-54.966,-17629.634
4.0,10.0,attack_train,25,25,2376.939,1.0,-172.429,-0.0227,7589,-54.966,-17629.634
4.0,14.0,attack_train,25,25,2376.946,1.0,-63.921,-0.0084,7589,-54.966,-17629.634
8.0,0.5,attack_train,25,25,1222.93,0.5145,-12931.51,-1.704,7589,-54.966,-17629.634
8.0,0.75,attack_train,25,25,1479.714,0.6225,-11802.883,-1.5553,7589,-54.966,-17629.634
8.0,1.0,attack_train,25,25,1665.674,0.7008,-10779.454,-1.4204,7589,-54.966,-17629.634
8.0,1.5,attack_train,25,25,1914.113,0.8053,-8973.959,-1.1825,7589,-54.966,-17629.634
8.0,2.0,attack_train,25,25,2065.481,0.869,-7439.99,-0.9804,7589,-54.966,-17629.634
8.0,2.5,attack_train,25,25,2161.893,0.9095,-6138.975,-0.8089,7589,-54.966,-17629.634
8.0,3.0,attack_train,25,25,2227.411,0.9371,-5043.573,-0.6646,7589,-54.966,-17629.634
8.0,4.0,attack_train,25,25,2305.323,0.9699,-3364.374,-0.4433,7589,-54.966,-17629.634
8.0,5.5,attack_train,25,25,2357.644,0.9919,-1747.976,-0.2303,7589,-54.966,-17629.634
8.0,7.5,attack_train,25,25,2374.288,0.9989,-666.036,-0.0878,7589,-54.966,-17629.634
8.0,10.0,attack_train,25,25,2376.806,0.9999,-192.74,-0.0254,7589,-54.966,-17629.634
8.0,14.0,attack_train,25,25,2376.946,1.0,-65.434,-0.0086,7589,-54.966,-17629.634
