alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,data/gutenberg/excerpts.jsonl,25,25,3652.121,0.6629,-7746.024,-1.2101,6401,-160.882,-19269.216
1.0,0.75,data/gutenberg/excerpts.jsonl,25,25,4198.139,0.762,-6122.417,-0.9565,6401,-160.882,-19269.216
1.0,1.0,data/gutenberg/excerpts.jsonl,25,25,4563.224,0.8282,-4988.868,-0.7794,6401,-160.882,-19269.216
1.0,1.5,data/gutenberg/excerpts.jsonl,25,25,5000.731,0.9076,-3491.207,-0.5454,6401,-160.882,-19269.216
1.0,2.0,data/gutenberg/excerpts.jsonl,25,25,5228.912,0.949,-2547.568,-0.398,6401,-160.882,-19269.216
1.0,2.5,data/gutenberg/excerpts.jsonl,25,25,5350.851,0.9712,-1904.33,-0.2975,6401,-160.882,-19269.216
1.0,3.0,data/gutenberg/excerpts.jsonl,25,25,5418.967,0.9835,-1448.964,-0.2264,6401,-160.882,-19269.216
1.0,4.0,data/gutenberg/excerpts.jsonl,25,25,5479.923,0.9946,-898.616,-0.1404,6401,-160.882,-19269.216
1.0,5.5,data/gutenberg/excerpts.jsonl,25,25,5502.864,0.9988,-470.671,-0.0735,6401,-160.882,-19269.216
1.0,7.5,data/gutenberg/excerpts.jsonl,25,25,5508.247,0.9997,-249.829,-0.039,6401,-160.882,-19269.216
1.0,10.0,data/gutenberg/excerpts.jsonl,25,25,5509.49,1.0,-175.614,-0.0274,6401,-160.882,-19269.216
1.0,14.0,data/gutenberg/excerpts.jsonl,25,25,5509.712,1.0,-161.454,-0.0252,6401,-160.882,-19269.216
2.0,0.5,data/gutenberg/excerpts.jsonl,25,25,2989.592,0.5426,-10594.178,-1.6551,6401,-160.882,-19269.216
2.0,0.75,data/gutenberg/excerpts.jsonl,25,25,3542.655,0.643,-9180.534,-1.4342,6401,-160.882,-19269.216
2.0,1.0,data/gutenberg/excerpts.jsonl,25,25,3947.839,0.7165,-8106.375,-1.2664,6401,-160.882,-19269.216
2.0,1.5,data/gutenberg/excerpts.jsonl,25,25,4500.265,0.8168,-6501.85,-1.0158,6401,-160.882,-19269.216
2.0,2.0,data/gutenberg/excerpts.jsonl,25,25,4847.67,0.8798,-5305.364,-0.8288,6401,-160.882,-19269.216
2.0,2.5,data/gutenberg/excerpts.jsonl,25,25,5067.897,0.9198,-4357.342,-0.6807,6401,-160.882,-19269.216
