alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,4311.892,0.6165,-9966.967,-1.4593,6830,-44.11,-23873.598
1.0,0.75,attack_train,25,25,4990.834,0.7135,-7922.834,-1.16,6830,-44.11,-23873.598
1.0,1.0,attack_train,25,25,5467.77,0.7817,-6494.429,-0.9509,6830,-44.11,-23873.598
1.0,1.5,attack_train,25,25,6083.677,0.8698,-4602.939,-0.6739,6830,-44.11,-23873.598
1.0,2.0,attack_train,25,25,6439.237,0.9206,-3402.02,-0.4981,6830,-44.11,-23873.598
1.0,2.5,attack_train,25,25,6656.054,0.9516,-2571.308,-0.3765,6830,-44.11,-23873.598
1.0,3.0,attack_train,25,25,6788.727,0.9706,-1971.971,-0.2887,6830,-44.11,-23873.598
1.0,4.0,attack_train,25,25,6920.569,0.9894,-1185.155,-0.1735,6830,-44.11,-23873.598
1.0,5.5,attack_train,25,25,6978.854,0.9978,-557.901,-0.0817,6830,-44.11,-23873.598
1.0,7.5,attack_train,25,25,6991.863,0.9996,-211.798,-0.031,6830,-44.11,-23873.598
1.0,10.0,attack_train,25,25,6993.87,0.9999,-78.811,-0.0115,6830,-44.11,-23873.598
1.0,14.0,attack_train,25,25,6994.58,1.0,-47.174,-0.0069,6830,-44.11,-23873.598
2.0,0.5,attack_train,25,25,3438.44,0.4916,-13472.114,-1.9725,6830,-44.11,-23873.598
2.0,0.75,attack_train,25,25,4087.309,0.5844,-11751.058,-1.7205,6830,-44.11,-23873.598
2.0,1.0,attack_train,25,25,4578.938,0.6546,-10452.452,-1.5304,6830,-44.11,-23873.598
2.0,1.5,attack_train,25,25,5288.271,0.7561,-8514.929,-1.2467,6830,-44.11,-23873.598
2.0,2.0,attack_train,25,25,5767.167,0.8245,-7067.803,-1.0348,6830,-44.11,-23873.598
2.0,2.5,attack_train,25,25,6109.3,0.8734,-5900.452,-0.8639,6830,-44.11,-23873.598
2.0,3.0,attack_train,25,25,6356.238,0.9087,-4935.732,-0.7227,6830,-44.11,-23873.598
2.0,4.0,attack_train,25,25,6666.939,0.9532,-3428.547,-0.502,6830,-44.11,-23873.598
2.0,5.5,attack_train,25,25,6878.733,0.9834,-1896.258,-0.2776,6830,-44.11,-23873.598
2.0,7.5,attack_train,25,25,6965.678,0.9959,-777.748,-0.1139,6830,-44.11,-23873.598
2.0,10.0,attack_train,25,25,6988.051,0.9991,-229.515,-0.0336,6830,-44.11,-23873.598
2.0,14.0,attack_train,25,25,6994.29,1.0,-64.845,-0.0095,6830,-44.11,-23873.598
4.0,0.5,attack_train,25,25,2736.63,0.3913,-16280.435,-2.3837,6830,-44.11,-23873.598
4.0,0.75,attack_train,25,25,3339.218,0.4774,-14854.202,-2.1748,6830,-44.11,-23873.598
4.0,1.0,attack_train,25,25,3823.696,0.5467,-13664.797,-2.0007,6830,-44.11,-23873.598
4.0,1.5,attack_train,25,25,4578.566,0.6546,-11653.329,-1.7062,6830,-44.11,-23873.598
4.0,2.0,attack_train,25,25,5138.848,0.7347,-9952.316,-1.4571,6830,-44.11,-23873.598
4.0,2.5,attack_train,25,25,5572.91,0.7967,-8463.102,-1.2391,6830,-44.11,-23873.598
4.0,3.0,attack_train,25,25,5912.328,0.8453,-7166.297,-1.0492,6830,-44.11,-23873.598
4.0,4.0,attack_train,25,25,6383.535,0.9126,-5044.916,-0.7386,6830,-44.11,-23873.598
4.0,5.5,attack_train,25,25,6748.522,0.9648,-2807.971,-0.4111,6830,-44.11,-23873.598
4.0,7.5,attack_train,25,25,6926.071,0.9902,-1140.879,-0.167,6830,-44.11,-23873.598
4.0,10.0,attack_train,25,25,6979.59,0.9979,-322.039,-0.0472,6830,-44.11,-23873.598
4.0,14.0,attack_train,25,25,6993.994,0.9999,-75.149,-0.011,6830,-44.11,-23873.598
8.0,0.5,attack_train,25,25,2224.253,0.318,-18257.048,-2.6731,6830,-44.11,-23873.598
8.0,0.75,attack_train,25,25,2795.587,0.3997,-16930.371,-2.4788,6830,-44.11,-23873.598
8.0,1.0,attack_train,25,25,3276.887,0.4685,-15717.412,-2.3012,6830,-44.11,-23873.598
8.0,1.5,attack_train,25,25,4064.612,0.5811,-13517.949,-1.9792,6830,-44.11,-23873.598
8.0,2.0,attack_train,25,25,4678.982,0.6689,-11581.155,-1.6956,6830,-44.11,-23873.598
8.0,2.5,attack_train,25,25,5171.626,0.7394,-9861.217,-1.4438,6830,-44.11,-23873.598
8.0,3.0,attack_train,25,25,5571.015,0.7965,-8355.164,-1.2233,6830,-44.11,-23873.598
8.0,4.0,attack_train,25,25,6152.645,0.8796,-5883.634,-0.8614,6830,-44.11,-23873.598
8.0,5.5,attack_train,25,25,6634.052,0.9485,-3273.262,-0.4792,6830,-44.11,-23873.598
8.0,7.5,attack_train,25,25,6888.508,0.9848,-1325.424,-0.1941,6830,-44.11,-23873.598
8.0,10.0,attack_train,25,25,6971.6,0.9967,-369.07,-0.054,6830,-44.11,-23873.598
8.0,14.0,attack_train,25,25,6993.807,0.9999,-80.115,-0.0117,6830,-44.11,-23873.598
