alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,3727.439,0.7135,-7395.573,-1.1336,6524,-187.23,-20533.014
1.0,0.75,attack_train,25,25,4183.962,0.8009,-5904.287,-0.905,6524,-187.23,-20533.014
1.0,1.0,attack_train,25,25,4477.226,0.857,-4871.069,-0.7466,6524,-187.23,-20533.014
1.0,1.5,attack_train,25,25,4817.58,0.9222,-3498.616,-0.5363,6524,-187.23,-20533.014
1.0,2.0,attack_train,25,25,4992.068,0.9556,-2616.537,-0.4011,6524,-187.23,-20533.014
1.0,2.5,attack_train,25,25,5086.781,0.9737,-2009.825,-0.3081,6524,-187.23,-20533.014
1.0,3.0,attack_train,25,25,5139.834,0.9838,-1573.949,-0.2413,6524,-187.23,-20533.014
1.0,4.0,attack_train,25,25,5189.026,0.9933,-996.291,-0.1527,6524,-187.23,-20533.014
1.0,5.5,attack_train,25,25,5213.493,0.9979,-545.873,-0.0837,6524,-187.23,-20533.014
1.0,7.5,attack_train,25,25,5222.149,0.9996,-304.071,-0.0466,6524,-187.23,-20533.014
1.0,10.0,attack_train,25,25,5223.994,1.0,-211.629,-0.0324,6524,-187.23,-20533.014
1.0,14.0,attack_train,25,25,5224.207,1.0,-188.534,-0.0289,6524,-187.23,-20533.014
2.0,0.5,attack_train,25,25,2981.87,0.5708,-10845.007,-1.6623,6524,-187.23,-20533.014
2.0,0.75,attack_train,25,25,3446.779,0.6598,-9517.096,-1.4588,6524,-187.23,-20533.014
2.0,1.0,attack_train,25,25,3778.365,0.7232,-8495.694,-1.3022,6524,-187.23,-20533.014
2.0,1.5,attack_train,25,25,4225.838,0.8089,-6932.77,-1.0627,6524,-187.23,-20533.014
2.0,2.0,attack_train,25,25,4512.691,0.8638,-5738.751,-0.8796,6524,-187.23,-20533.014
2.0,2.5,attack_train,25,25,4706.247,0.9009,-4780.749,-0.7328,6524,-187.23,-20533.014
2.0,3.0,attack_train,25,25,4843.278,0.9271,-3997.399,-0.6127,6524,-187.23,-20533.014
2.0,4.0,attack_train,25,25,5015.602,0.9601,-2772.612,-0.425,6524,-187.23,-20533.014
2.0,5.5,attack_train,25,25,5140.307,0.9839,-1567.897,-0.2403,6524,-187.23,-20533.014
2.0,7.5,attack_train,25,25,5201.694,0.9957,-731.489,-0.1121,6524,-187.23,-20533.014
2.0,10.0,attack_train,25,25,5220.22,0.9992,-322.607,-0.0494,6524,-187.23,-20533.014
2.0,14.0,attack_train,25,25,5223.662,0.9999,-196.585,-0.0301,6524,-187.23,-20533.014
4.0,0.5,attack_train,25,25,2343.085,0.4485,-13622.57,-2.0881,6524,-187.23,-20533.014
4.0,0.75,attack_train,25,25,2775.179,0.5312,-12432.895,-1.9057,6524,-187.23,-20533.014
4.0,1.0,attack_train,25,25,3102.275,0.5938,-11410.792,-1.749,6524,-187.23,-20533.014
4.0,1.5,attack_train,25,25,3578.458,0.685,-9654.547,-1.4799,6524,-187.23,-20533.014
4.0,2.0,attack_train,25,25,3912.779,0.749,-8164.565,-1.2515,6524,-187.23,-20533.014
4.0,2.5,attack_train,25,25,4161.607,0.7966,-6889.271,-1.056,6524,-187.23,-20533.014
4.0,3.0,attack_train,25,25,4356.27,0.8339,-5797.396,-0.8886,6524,-187.23,-20533.014
4.0,4.0,attack_train,25,25,4639.275,0.888,-4041.733,-0.6195,6524,-187.23,-20533.014
4.0,5.5,attack_train,25,25,4910.637,0.94,-2268.711,-0.3477,6524,-187.23,-20533.014
4.0,7.5,attack_train,25,25,5108.134,0.9778,-1012.294,-0.1552,6524,-187.23,-20533.014
4.0,10.0,attack_train,25,25,5200.373,0.9954,-391.489,-0.06,6524,-187.23,-20533.014
4.0,14.0,attack_train,25,25,5222.579,0.9997,-201.092,-0.0308,6524,-187.23,-20533.014
8.0,0.5,attack_train,25,25,1838.343,0.3519,-15471.548,-2.3715,6524,-187.23,-20533.014
8.0,0.75,attack_train,25,25,2215.208,0.424,-14290.566,-2.1905,6524,-187.23,-20533.014
8.0,1.0,attack_train,25,25,2504.471,0.4794,-13203.679,-2.0239,6524,-187.23,-20533.014
8.0,1.5,attack_train,25,25,2936.738,0.5621,-11250.545,-1.7245,6524,-187.23,-20533.014
8.0,2.0,attack_train,25,25,3260.698,0.6242,-9553.714,-1.4644,6524,-187.23,-20533.014
8.0,2.5,attack_train,25,25,3522.507,0.6743,-8086.488,-1.2395,6524,-187.23,-20533.014
8.0,3.0,attack_train,25,25,3745.563,0.717,-6821.37,-1.0456,6524,-187.23,-20533.014
8.0,4.0,attack_train,25,25,4113.916,0.7875,-4777.988,-0.7324,6524,-187.23,-20533.014
8.0,5.5,attack_train,25,25,4532.743,0.8676,-2694.125,-0.413,6524,-187.23,-20533.014
8.0,7.5,attack_train,25,25,4904.468,0.9388,-1187.096,-0.182,6524,-187.23,-20533.014
8.0,10.0,attack_train,25,25,5136.515,0.9832,-432.998,-0.0664,6524,-187.23,-20533.014
8.0,14.0,attack_train,25,25,5218.201,0.9989,-203.361,-0.0312,6524,-187.23,-20533.014
