alpha,k,split,n_protected,n_ordinary,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,3881.241,0.7047,-7395.483,-1.1336,6524,-186.448,-20533.581
1.0,0.75,attack_train,25,25,4371.843,0.7937,-5904.246,-0.905,6524,-186.448,-20533.581
1.0,1.0,attack_train,25,25,4690.879,0.8517,-4870.736,-0.7466,6524,-186.448,-20533.581
1.0,1.5,attack_train,25,25,5063.465,0.9193,-3498.179,-0.5362,6524,-186.448,-20533.581
1.0,2.0,attack_train,25,25,5258.352,0.9547,-2616.353,-0.401,6524,-186.448,-20533.581
1.0,2.5,attack_train,25,25,5365.1,0.9741,-2009.571,-0.308,6524,-186.448,-20533.581
1.0,3.0,attack_train,25,25,5424.066,0.9848,-1573.379,-0.2412,6524,-186.448,-20533.581
1.0,4.0,attack_train,25,25,5477.481,0.9945,-996.141,-0.1527,6524,-186.448,-20533.581
1.0,5.5,attack_train,25,25,5500.684,0.9987,-545.279,-0.0836,6524,-186.448,-20533.581
1.0,7.5,attack_train,25,25,5506.754,0.9998,-303.243,-0.0465,6524,-186.448,-20533.581
1.0,10.0,attack_train,25,25,5507.598,0.9999,-210.873,-0.0323,6524,-186.448,-20533.581
1.0,14.0,attack_train,25,25,5507.909,1.0,-187.74,-0.0288,6524,-186.448,-20533.581
2.0,0.5,attack_train,25,25,3099.184,0.5627,-10845.268,-1.6624,6524,-186.448,-20533.581
2.0,0.75,attack_train,25,25,3591.085,0.652,-9517.406,-1.4588,6524,-186.448,-20533.581
2.0,1.0,attack_train,25,25,3945.276,0.7163,-8495.637,-1.3022,6524,-186.448,-20533.581
2.0,1.5,attack_train,25,25,4424.588,0.8033,-6932.381,-1.0626,6524,-186.448,-20533.581
2.0,2.0,attack_train,25,25,4737.018,0.86,-5738.627,-0.8796,6524,-186.448,-20533.581
2.0,2.5,attack_train,25,25,4951.069,0.8989,-4781.125,-0.7329,6524,-186.448,-20533.581
2.0,3.0,attack_train,25,25,5101.469,0.9262,-3997.234,-0.6127,6524,-186.448,-20533.581
2.0,4.0,attack_train,25,25,5289.034,0.9603,-2772.777,-0.425,6524,-186.448,-20533.581
2.0,5.5,attack_train,25,25,5420.469,0.9841,-1567.716,-0.2403,6524,-186.448,-20533.581
2.0,7.5,attack_train,25,25,5484.505,0.9958,-730.749,-0.112,6524,-186.448,-20533.581
2.0,10.0,attack_train,25,25,5503.566,0.9992,-321.67,-0.0493,6524,-186.448,-20533.581
2.0,14.0,attack_train,25,25,5506.981,0.9998,-195.72,-0.03,6524,-186.448,-20533.581
4.0,0.5,attack_train,25,25,2433.325,0.4418,-13623.069,-2.0881,6524,-186.448,-20533.581
4.0,0.75,attack_train,25,25,2886.257,0.524,-12433.331,-1.9058,6524,-186.448,-20533.581
4.0,1.0,attack_train,25,25,3230.946,0.5866,-11410.915,-1.7491,6524,-186.448,-20533.581
4.0,1.5,attack_train,25,25,3732.128,0.6776,-9654.076,-1.4798,6524,-186.448,-20533.581
4.0,2.0,attack_train,25,25,4090.522,0.7427,-8163.994,-1.2514,6524,-186.448,-20533.581
4.0,2.5,attack_train,25,25,4359.092,0.7914,-6889.348,-1.056,6524,-186.448,-20533.581
4.0,3.0,attack_train,25,25,4567.161,0.8292,-5797.468,-0.8886,6524,-186.448,-20533.581
4.0,4.0,attack_train,25,25,4872.905,0.8847,-4042.873,-0.6197,6524,-186.448,-20533.581
4.0,5.5,attack_train,25,25,5165.26,0.9378,-2268.863,-0.3478,6524,-186.448,-20533.581
4.0,7.5,attack_train,25,25,5377.225,0.9763,-1011.845,-0.1551,6524,-186.448,-20533.581
4.0,10.0,attack_train,25,25,5480.551,0.995,-390.609,-0.0599,6524,-186.448,-20533.581
4.0,14.0,attack_train,25,25,5505.538,0.9996,-200.197,-0.0307,6524,-186.448,-20533.581
8.0,0.5,attack_train,25,25,1906.115,0.3461,-15472.232,-2.3716,6524,-186.448,-20533.581
8.0,0.75,attack_train,25,25,2298.336,0.4173,-14291.009,-2.1905,6524,-186.448,-20533.581
8.0,1.0,attack_train,25,25,2602.087,0.4724,-13203.951,-2.0239,6524,-186.448,-20533.581
8.0,1.5,attack_train,25,25,3059.593,0.5555,-11249.971,-1.7244,6524,-186.448,-20533.581
8.0,2.0,attack_train,25,25,3402.885,0.6178,-9552.954,-1.4643,6524,-186.448,-20533.581
8.0,2.5,attack_train,25,25,3679.748,0.6681,-8085.816,-1.2394,6524,-186.448,-20533.581
8.0,3.0,attack_train,25,25,3915.683,0.7109,-6821.313,-1.0456,6524,-186.448,-20533.581
8.0,4.0,attack_train,25,25,4311.331,0.7828,-4779.376,-0.7326,6524,-186.448,-20533.581
8.0,5.5,attack_train,25,25,4765.903,0.8653,-2694.175,-0.413,6524,-186.448,-20533.581
8.0,7.5,attack_train,25,25,5166.853,0.9381,-1186.838,-0.1819,6524,-186.448,-20533.581
8.0,10.0,attack_train,25,25,5414.401,0.983,-432.355,-0.0663,6524,-186.448,-20533.581
8.0,14.0,attack_train,25,25,5500.886,0.9987,-202.458,-0.031,6524,-186.448,-20533.581
