pair,seed,control_seed,alpha,published_k,arm,control,diff,noise_floor,beyond_floor,sign_flip
KL3M-520M,10,20,2.0,1.0,7.485,7.141,0.344,0.782,False,False
KL3M-520M,10,20,2.0,3.0,0.843,0.323,0.52,0.782,False,False
KL3M-520M,10,20,4.0,1.0,8.027,6.928,1.099,0.782,True,False
KL3M-520M,10,20,4.0,3.0,-1.836,-2.616,0.78,0.782,False,False
KL3M-520M,10,20,8.0,1.0,1.859,0.438,1.421,0.782,True,False
KL3M-520M,10,20,8.0,3.0,-4.176,-4.913,0.737,0.782,False,False
KL3M-520M,80,20,2.0,1.0,7.138,7.141,-0.003,0.782,False,False
KL3M-520M,80,20,2.0,3.0,0.334,0.323,0.011,0.782,False,False
KL3M-520M,80,20,4.0,1.0,7.047,6.928,0.119,0.782,False,False
KL3M-520M,80,20,4.0,3.0,-2.311,-2.616,0.305,0.782,False,False
KL3M-520M,80,20,8.0,1.0,1.028,0.438,0.59,0.782,False,False
KL3M-520M,80,20,8.0,3.0,-4.436,-4.913,0.477,0.782,False,False
Pleias-1.2B,10,20,2.0,1.0,10.547,10.502,0.045,0.555,False,False
Pleias-1.2B,10,20,2.0,3.0,2.95,4.209,-1.259,0.555,True,False
Pleias-1.2B,10,20,4.0,1.0,16.183,16.387,-0.204,0.555,False,False
Pleias-1.2B,10,20,4.0,3.0,2.316,4.729,-2.413,0.555,True,False
Pleias-1.2B,10,20,8.0,1.0,16.273,16.763,-0.49,0.555,False,False
Pleias-1.2B,10,20,8.0,3.0,1.075,3.304,-2.229,0.555,True,False
Pleias-1.2B,80,20,2.0,1.0,10.366,10.502,-0.136,0.555,False,False
Pleias-1.2B,80,20,2.0,3.0,3.529,4.209,-0.68,0.555,True,False
Pleias-1.2B,80,20,4.0,1.0,15.985,16.387,-0.402,0.555,False,False
Pleias-1.2B,80,20,4.0,3.0,3.559,4.729,-1.17,0.555,True,False
Pleias-1.2B,80,20,8.0,1.0,16.17,16.763,-0.593,0.555,True,False
Pleias-1.2B,80,20,8.0,3.0,1.9,3.304,-1.404,0.555,True,False
