alpha,k,split,n_protected,n_ordinary,ordinary_split,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,creative,4771.666,0.5826,-8435.12,-1.2395,6805,-8.437,-21228.275
1.0,0.75,attack_train,25,25,creative,5594.973,0.6831,-6659.294,-0.9786,6805,-8.437,-21228.275
1.0,1.0,attack_train,25,25,creative,6188.5,0.7555,-5422.43,-0.7968,6805,-8.437,-21228.275
1.0,1.5,attack_train,25,25,creative,6971.412,0.8511,-3793.242,-0.5574,6805,-8.437,-21228.275
1.0,2.0,attack_train,25,25,creative,7437.324,0.908,-2764.523,-0.4062,6805,-8.437,-21228.275
1.0,2.5,attack_train,25,25,creative,7725.598,0.9432,-2058.597,-0.3025,6805,-8.437,-21228.275
1.0,3.0,attack_train,25,25,creative,7903.67,0.9649,-1551.325,-0.228,6805,-8.437,-21228.275
1.0,4.0,attack_train,25,25,creative,8079.468,0.9864,-894.2,-0.1314,6805,-8.437,-21228.275
1.0,5.5,attack_train,25,25,creative,8161.857,0.9964,-388.39,-0.0571,6805,-8.437,-21228.275
1.0,7.5,attack_train,25,25,creative,8185.42,0.9993,-124.896,-0.0184,6805,-8.437,-21228.275
1.0,10.0,attack_train,25,25,creative,8190.059,0.9999,-31.629,-0.0046,6805,-8.437,-21228.275
1.0,14.0,attack_train,25,25,creative,8190.893,1.0,-9.242,-0.0014,6805,-8.437,-21228.275
2.0,0.5,attack_train,25,25,creative,3813.362,0.4656,-11639.97,-1.7105,6805,-8.437,-21228.275
2.0,0.75,attack_train,25,25,creative,4592.226,0.5606,-10110.753,-1.4858,6805,-8.437,-21228.275
2.0,1.0,attack_train,25,25,creative,5192.46,0.6339,-8950.566,-1.3153,6805,-8.437,-21228.275
2.0,1.5,attack_train,25,25,creative,6058.056,0.7396,-7216.346,-1.0604,6805,-8.437,-21228.275
2.0,2.0,attack_train,25,25,creative,6646.863,0.8115,-5920.742,-0.8701,6805,-8.437,-21228.275
2.0,2.5,attack_train,25,25,creative,7068.327,0.8629,-4886.122,-0.718,6805,-8.437,-21228.275
2.0,3.0,attack_train,25,25,creative,7376.368,0.9005,-4033.512,-0.5927,6805,-8.437,-21228.275
2.0,4.0,attack_train,25,25,creative,7760.889,0.9475,-2720.608,-0.3998,6805,-8.437,-21228.275
2.0,5.5,attack_train,25,25,creative,8023.907,0.9796,-1428.204,-0.2099,6805,-8.437,-21228.275
2.0,7.5,attack_train,25,25,creative,8143.811,0.9942,-541.314,-0.0795,6805,-8.437,-21228.275
2.0,10.0,attack_train,25,25,creative,8179.591,0.9986,-138.239,-0.0203,6805,-8.437,-21228.275
2.0,14.0,attack_train,25,25,creative,8189.971,0.9999,-14.45,-0.0021,6805,-8.437,-21228.275
4.0,0.5,attack_train,25,25,creative,3054.551,0.3729,-14212.004,-2.0885,6805,-8.437,-21228.275
4.0,0.75,attack_train,25,25,creative,3776.477,0.4611,-12906.257,-1.8966,6805,-8.437,-21228.275
4.0,1.0,attack_train,25,25,creative,4362.723,0.5326,-11807.333,-1.7351,6805,-8.437,-21228.275
4.0,1.5,attack_train,25,25,creative,5267.584,0.6431,-9950.552,-1.4622,6805,-8.437,-21228.275
4.0,2.0,attack_train,25,25,creative,5937.557,0.7249,-8390.586,-1.233,6805,-8.437,-21228.275
4.0,2.5,attack_train,25,25,creative,6455.74,0.7882,-7048.171,-1.0357,6805,-8.437,-21228.275
4.0,3.0,attack_train,25,25,creative,6864.784,0.8381,-5887.047,-0.8651,6805,-8.437,-21228.275
4.0,4.0,attack_train,25,25,creative,7428.307,0.9069,-4024.281,-0.5914,6805,-8.437,-21228.275
4.0,5.5,attack_train,25,25,creative,7869.081,0.9607,-2129.085,-0.3129,6805,-8.437,-21228.275
4.0,7.5,attack_train,25,25,creative,8094.695,0.9882,-806.575,-0.1185,6805,-8.437,-21228.275
4.0,10.0,attack_train,25,25,creative,8168.376,0.9972,-203.067,-0.0298,6805,-8.437,-21228.275
4.0,14.0,attack_train,25,25,creative,8189.237,0.9998,-17.456,-0.0026,6805,-8.437,-21228.275
8.0,0.5,attack_train,25,25,creative,2501.388,0.3054,-15995.859,-2.3506,6805,-8.437,-21228.275
8.0,0.75,attack_train,25,25,creative,3184.726,0.3888,-14749.637,-2.1675,6805,-8.437,-21228.275
8.0,1.0,attack_train,25,25,creative,3765.052,0.4597,-13607.169,-1.9996,6805,-8.437,-21228.275
8.0,1.5,attack_train,25,25,creative,4704.047,0.5743,-11554.885,-1.698,6805,-8.437,-21228.275
8.0,2.0,attack_train,25,25,creative,5435.45,0.6636,-9770.154,-1.4357,6805,-8.437,-21228.275
8.0,2.5,attack_train,25,25,creative,6022.857,0.7353,-8215.898,-1.2073,6805,-8.437,-21228.275
8.0,3.0,attack_train,25,25,creative,6500.829,0.7937,-6865.429,-1.0089,6805,-8.437,-21228.275
8.0,4.0,attack_train,25,25,creative,7185.462,0.8772,-4694.393,-0.6898,6805,-8.437,-21228.275
8.0,5.5,attack_train,25,25,creative,7751.539,0.9464,-2483.283,-0.3649,6805,-8.437,-21228.275
8.0,7.5,attack_train,25,25,creative,8056.39,0.9836,-939.715,-0.1381,6805,-8.437,-21228.275
8.0,10.0,attack_train,25,25,creative,8160.032,0.9962,-235.523,-0.0346,6805,-8.437,-21228.275
8.0,14.0,attack_train,25,25,creative,8188.793,0.9997,-18.96,-0.0028,6805,-8.437,-21228.275
