constraint,k,split,n,steps_forced_pct,steps_active_pct,steps_free_pct,identical_to_risky_pct,utilisation_median,utilisation_max,ratio_utilisation_max,risky_nll_per_token_mean,gen_len_mean
kl,0.1,all,2700,45.8,50.42,3.79,0,1.0,1.0,0.0,3.4837,200
kl,0.1,attack_train,300,39.84,57.59,2.57,0,1.0,1.0,0.0,3.9794,200
kl,0.1,creative,450,52.32,44.26,3.43,0,0.993,1.0,0.0,3.4118,200
kl,0.1,factual,450,55.05,40.99,3.97,0,0.785,1.0,0.0,3.1385,200
kl,0.1,neutral,600,52.79,42.67,4.54,0,0.653,1.0,0.0,3.1253,200
kl,0.1,test,450,35.96,60.78,3.26,0,1.0,1.0,0.0,3.9663,200
kl,0.1,val,450,34.52,61.18,4.3,0,1.0,1.0,0.0,3.5658,200
kl,0.15,all,2700,35.54,58.06,6.4,0,1.0,1.0,0.0,3.6873,200
kl,0.15,attack_train,300,27.49,67.14,5.37,0,1.0,1.0,0.0,4.1556,200
kl,0.15,creative,450,41.9,52.75,5.34,0,1.0,1.0,0.0,3.7838,200
kl,0.15,factual,450,43.26,50.03,6.7,0,1.0,1.0,0.0,3.3554,200
kl,0.15,neutral,600,44.78,47.65,7.57,0,0.999,1.0,0.0,3.2779,200
kl,0.15,test,450,25.89,69.1,5.01,0,1.0,1.0,0.0,4.1058,200
kl,0.15,val,450,24.15,68.19,7.66,0,1.0,1.0,0.0,3.7377,200
kl,0.25,all,2700,25.94,60.15,13.91,0,1.0,1.0,0.0,3.9571,200
kl,0.25,attack_train,300,19.38,68.31,12.31,0,1.0,1.0,0.0,4.3006,200
kl,0.25,creative,450,31.21,57.63,11.16,0,1.0,1.0,0.0,4.1284,200
kl,0.25,factual,450,28.72,55.62,15.66,0,1.0,1.0,0.0,3.7249,200
kl,0.25,neutral,600,38.28,47.48,14.25,0,0.999,1.0,0.0,3.572,200
kl,0.25,test,450,16.15,71.86,11.99,0,1.0,1.0,0.0,4.4006,200
kl,0.25,val,450,15.62,66.95,17.43,0,1.0,1.0,0.0,3.8593,200
kl,0.5,all,2700,15.32,43.49,41.19,0.0,1.0,1.0,0.0,4.4705,200
kl,0.5,attack_train,300,9.35,53.84,36.81,0,1.0,1.0,0.0,5.0281,200
kl,0.5,creative,450,21.38,45.91,32.71,0,1.0,1.0,0.0,4.9212,200
kl,0.5,factual,450,9.79,43.69,46.52,0,1.0,1.0,0.0,4.2424,200
kl,0.5,neutral,600,29.05,31.41,39.54,0.2,0.994,1.0,0.0,3.88,200
kl,0.5,test,450,8.24,51.2,40.56,0,1.0,1.0,0.0,4.9039,200
kl,0.5,val,450,7.53,42.38,50.1,0,1.0,1.0,0.0,4.23,200
kl,1.0,all,2700,10.77,5.0,84.23,4.1,0.799,1.0,0.0,4.2751,200
kl,1.0,attack_train,300,3.5,6.28,90.22,1.3,0.838,1.0,0.0,4.8175,200
kl,1.0,creative,450,17.93,5.82,76.25,5.3,0.826,1.0,0.0,4.8248,200
