arm,prompt_id,S_nats,certificate_nats,token_accuracy,exact,nv_recall,lcs_word,true_token_in_pool
n=1,bookmia.00.11,122.584,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.00.26,152.339,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.00.31,106.773,0.0,0.04,0,0.0,1,0.04
n=1,bookmia.00.40,169.644,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.00.46,179.759,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.00.48,158.725,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.00.64,172.08,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.00.71,197.22,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.00,198.134,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.01,191.187,0.0,0.04,0,0.0,2,0.04
n=1,bookmia.01.02,188.737,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.03,154.458,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.04,163.153,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.01.07,206.245,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.01.10,164.579,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.01.11,139.19,0.0,0.06,0,0.0,1,0.06
n=1,bookmia.01.12,172.68,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.14,218.304,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.20,186.134,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.01.22,184.103,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.01.23,156.575,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.26,212.639,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.01.27,153.661,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.01.31,204.295,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.32,183.921,0.0,0.04,0,0.0,1,0.04
n=1,bookmia.01.33,187.29,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.36,138.68,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.37,182.509,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.39,199.69,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.41,171.071,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.42,161.385,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.01.43,196.11,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.44,246.173,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.46,210.0,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.01.49,168.597,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.01.51,150.007,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.01.52,174.073,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.01.58,199.337,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.01.59,187.825,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.01.60,210.5,0.0,0.0,0,0.0,0,0.0
n=1,bookmia.01.62,201.163,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.69,186.841,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.71,190.37,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.73,168.743,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.74,199.305,0.0,0.02,0,0.0,0,0.02
n=1,bookmia.01.75,193.373,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.76,176.288,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.01.77,233.081,0.0,0.02,0,0.0,2,0.02
n=1,bookmia.01.78,201.025,0.0,0.02,0,0.0,2,0.02
n=1,bookmia.01.79,173.787,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.81,175.867,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.01.82,162.602,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.83,160.854,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.87,172.479,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.88,192.204,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.89,178.595,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.90,190.989,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.01.97,123.139,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.02,166.906,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.03,190.39,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.04,191.57,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.07.05,158.533,0.0,0.02,0,0.0,2,0.02
n=1,bookmia.07.06,160.25,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.07.07,173.336,0.0,0.04,0,0.0,2,0.04
n=1,bookmia.07.08,139.602,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.07.09,199.718,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.15,197.084,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.07.16,147.889,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.07.17,218.425,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.20,219.727,0.0,0.02,0,0.0,2,0.02
n=1,bookmia.07.24,142.892,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.25,139.925,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.07.26,185.411,0.0,0.04,0,0.0,2,0.04
n=1,bookmia.07.28,184.699,0.0,0.04,0,0.0,1,0.04
n=1,bookmia.07.29,134.345,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.30,213.741,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.31,168.584,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.07.32,198.818,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.37,135.657,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.07.40,176.067,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.41,170.786,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.07.43,148.345,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.44,164.399,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.47,229.333,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.49,181.486,0.0,0.02,0,0.0,2,0.02
n=1,bookmia.07.53,180.37,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.54,192.633,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.55,133.793,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.56,179.237,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.57,201.548,0.0,0.0,0,0.0,2,0.0
n=1,bookmia.07.59,147.373,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.61,208.335,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.62,203.226,0.0,0.02,0,0.0,1,0.02
n=1,bookmia.07.63,164.048,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.66,160.11,0.0,0.02,0,0.0,2,0.02
n=1,bookmia.07.70,201.524,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.72,141.773,0.0,0.06,0,0.0,1,0.06
n=1,bookmia.07.73,142.284,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.77,226.184,0.0,0.0,0,0.0,1,0.0
n=1,bookmia.07.80,203.656,0.0,0.02,0,0.0,1,0.02
n=8,bookmia.00.11,122.584,103.972,0.08,0,0.0,1,0.08
n=8,bookmia.00.26,152.339,103.972,0.04,0,0.0,3,0.06
n=8,bookmia.00.31,106.773,103.972,0.06,0,0.0,1,0.12
n=8,bookmia.00.40,169.644,103.972,0.02,0,0.0,2,0.1
n=8,bookmia.00.46,179.759,103.972,0.02,0,0.0,2,0.04
n=8,bookmia.00.48,158.725,103.972,0.0,0,0.0,2,0.04
n=8,bookmia.00.64,172.08,103.972,0.0,0,0.0,4,0.0
n=8,bookmia.00.71,197.22,103.972,0.04,0,0.0,2,0.06
n=8,bookmia.01.00,198.134,103.972,0.06,0,0.0,2,0.08
n=8,bookmia.01.01,191.187,103.972,0.02,0,0.0,2,0.04
n=8,bookmia.01.02,188.737,103.972,0.0,0,0.0,2,0.04
n=8,bookmia.01.03,154.458,103.972,0.02,0,0.0,2,0.02
n=8,bookmia.01.04,163.153,103.972,0.04,0,0.0,1,0.06
n=8,bookmia.01.07,206.245,103.972,0.0,0,0.0,1,0.02
n=8,bookmia.01.10,164.579,103.972,0.04,0,0.0,1,0.08
n=8,bookmia.01.11,139.19,103.972,0.04,0,0.0,1,0.04
n=8,bookmia.01.12,172.68,103.972,0.0,0,0.0,1,0.0
n=8,bookmia.01.14,218.304,103.972,0.0,0,0.0,1,0.02
n=8,bookmia.01.20,186.134,103.972,0.04,0,0.0,1,0.04
n=8,bookmia.01.22,184.103,103.972,0.04,0,0.0,1,0.04
n=8,bookmia.01.23,156.575,103.972,0.04,0,0.0,1,0.08
