k,K,split,n_traj,n_steps,active_pct,forced_safe_pct,risky_unchanged_pct,traj_with_active_step,traj_with_forced_step,identical_gen_vs_next_k_pct,Z_mean,Z_max,util_mean,util_p95,util_max,util_gt_0p9,invariant_violations,per_step_violations,max_step_overshoot,gen_len_mean,early_eos_lt50,rougeL_mean,jacc5_gt0
1.0,200.0,attack_train,999,198036,6.274,2.858,90.868,884,999,4.4,160.36,195.44,0.8298,0.9966,1.0,352,0,0,0.0,198.2,7,0.0827,0
1.0,200.0,creative,1500,257928,6.712,1.579,91.709,1206,1500,15.0,141.61,197.62,0.731,0.9949,1.0,473,0,0,0.0,172.0,210,0.0583,1
1.0,200.0,factual,1500,294539,5.811,1.823,92.366,1361,1500,8.73,151.52,197.81,0.7764,0.9917,1.0,341,0,0,0.0,196.4,27,0.0619,259
1.0,200.0,neutral,2000,311090,4.527,1.231,94.242,1348,2000,17.0,119.53,198.54,0.6072,0.984,1.0,339,0,0,0.0,155.5,447,0.0,0
1.0,200.0,test,1500,297213,5.619,2.683,91.698,1279,1500,6.87,159.84,196.23,0.8261,0.997,1.0,512,0,0,0.0,198.1,13,0.0757,10
1.0,200.0,val,1500,298834,3.713,2.382,93.905,1261,1500,10.87,150.23,196.31,0.7723,0.986,1.0,311,0,0,0.0,199.2,5,0.0874,5
3.0,600.0,attack_train,1000,199206,0.195,0.772,99.033,346,1000,57.1,176.78,352.67,0.2978,0.4011,0.5939,0,0,0,0.0,199.2,4,0.0866,1
3.0,600.0,creative,1500,277513,0.244,0.566,99.19,617,970,60.8,169.83,452.06,0.294,0.4218,1.0,14,0,0,0.0,185.0,113,0.0641,2
3.0,600.0,factual,1500,295369,0.285,0.491,99.224,647,1420,44.6,160.95,477.92,0.2704,0.3756,0.8015,0,0,0,0.0,197.0,22,0.0665,310
3.0,600.0,neutral,2000,383182,0.444,0.277,99.278,1564,465,53.7,159.15,546.2,0.2815,0.404,1.0001,31,0,0,0.0,191.8,84,0.0,0
3.0,600.0,test,1500,298889,0.187,0.715,99.098,507,1490,63.13,174.01,346.78,0.293,0.3839,0.5825,0,0,0,0.0,199.3,5,0.0776,16
3.0,600.0,val,1500,299801,0.129,0.624,99.247,370,1500,64.53,159.36,348.89,0.268,0.3632,0.5872,0,0,0,0.0,199.9,1,0.09,3
5.0,1000.0,attack_train,1000,199602,0.108,0.406,99.486,206,800,,179.13,352.93,0.1803,0.2448,0.3551,0,0,0,0.0,199.6,2,0.0864,3
5.0,1000.0,creative,1500,297015,0.098,0.027,99.875,291,80,,182.35,388.14,0.1863,0.2486,1.0,5,0,0,0.0,198.0,15,0.0684,4
5.0,1000.0,factual,1500,299006,0.45,0.06,99.489,1296,180,,163.51,383.31,0.1643,0.223,0.3847,0,0,0,0.0,199.4,4,0.0677,312
5.0,1000.0,neutral,2000,398704,0.206,0.008,99.787,798,30,,167.45,550.86,0.168,0.2365,0.5521,0,0,0,0.0,199.5,6,0.0,0
5.0,1000.0,test,1500,299293,0.09,0.368,99.543,266,1100,,175.39,511.45,0.1766,0.2329,0.5147,0,0,0,0.0,199.5,3,0.0775,19
5.0,1000.0,val,1500,300000,0.119,0.277,99.604,355,830,,160.64,348.89,0.1615,0.2189,0.351,0,0,0,0.0,200,0,0.0902,3
