model,id,split,novel,n_tok,n_char,total_nats,s_rate,k_crit,uncertified_width,nats_per_tok
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.11,attack_train,1984,57,225,143.94388185531716,0.6397505860236318,9.822619438171387,15.353826401666709,2.5253312606195992
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.26,attack_train,1984,57,273,192.50266441516578,0.7051379648907171,3.4662120819091795,4.915650914422649,3.377239726581856
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.31,attack_train,1984,57,252,197.6927703251131,0.7844951203377504,4.242729663848877,5.4082295145726915,3.468294216230054
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.40,attack_train,1984,59,290,201.0236760997759,0.6931850899992272,4.702884674072266,6.7844573432436475,3.4071809508436597
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.46,attack_train,1984,59,312,214.3181613696579,0.6869171838771087,11.749658584594727,17.10491287796459,3.6325112096552186
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.48,attack_train,1984,66,264,227.551289441064,0.8619367024282727,7.8680845896403,9.12837864714904,3.4477468097130908
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.64,attack_train,1984,60,273,190.8889749432401,0.699227014444103,3.786597490310669,5.415405028824689,3.1814829157206685
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.71,attack_train,1984,62,271,197.58555863055517,0.7290980023267718,3.199347178141276,4.388089348662585,3.186863848879922
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.00,attack_train,a_game_of_thrones,60,255,156.91236942793012,0.6153426252075691,6.809958140055339,11.066937119394556,2.6152061571321688
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.01,attack_train,a_game_of_thrones,63,276,201.73499426660783,0.7309238922703182,1.2743623598894613,1.743495285030528,3.202142766136632
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.02,attack_train,a_game_of_thrones,62,238,295.367925240309,1.241041702690374,9.71003246307373,7.824098450538753,4.763998794198532
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.03,attack_train,a_game_of_thrones,61,237,236.33279387000948,0.9971847842616434,6.801102956136067,6.820303582120824,3.8743080962296634
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.04,attack_train,a_game_of_thrones,67,232,227.39041149502555,0.9801310840302825,1.8726140764085997,1.9105751331836576,3.3938867387317244
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.07,attack_train,a_game_of_thrones,58,268,264.3759229928255,0.9864773246000952,9.134072303771973,9.25928257648984,4.558205568841819
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.10,attack_train,a_game_of_thrones,71,270,296.69664629238105,1.0988764677495595,24.196565628051758,22.01936827130809,4.178826004118043
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.11,attack_train,a_game_of_thrones,66,261,236.39371241559002,0.9057230360750576,5.3004889488220215,5.8522183247007185,3.5817229153877275
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.12,attack_train,a_game_of_thrones,90,293,319.77964016650094,1.091398089305464,4.706714153289795,4.312554877464573,3.5531071129611216
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.14,attack_train,a_game_of_thrones,61,253,206.66898432618473,0.8168734558347223,3.8291447162628174,4.687561688915458,3.388016136494832
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.20,attack_train,a_game_of_thrones,64,270,219.40467493701726,0.8126099071741381,3.341402053833008,4.111938612036837,3.4281980458908947
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.22,attack_train,a_game_of_thrones,66,253,238.30078054330897,0.9419003183529999,5.062082608540853,5.374329437951962,3.610617887019833
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.23,attack_train,a_game_of_thrones,62,273,251.7644720673561,0.9222141833969089,6.6846466064453125,7.248475166390201,4.060717291408969
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.26,attack_train,a_game_of_thrones,66,262,227.37209845586676,0.8678324368544533,10.126036643981934,11.66819332161031,3.44503179478586
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.27,attack_train,a_game_of_thrones,70,261,237.6669607094227,0.9106013820284395,1.0173143915460126,1.1171895975820518,3.3952422958488957
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.31,attack_train,a_game_of_thrones,64,249,191.6674555116333,0.7697488173157964,4.455909093221028,5.788783292658119,2.9948039923692704
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.32,attack_train,a_game_of_thrones,64,250,207.25676875146348,0.8290270750058539,1.3500461528698604,1.6284705211350636,3.238387011741617
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.33,attack_train,a_game_of_thrones,66,284,206.79480321086328,0.7281507155312087,1.285774866739909,1.7658086977252998,3.133254594103989
