scorer,params_b,reference,n,spearman_vs_reference,same_draw_as_reference,chance,n_prompts
0.5B,0.494,7B,2,0.1333,0.59,0.5,500
0.5B,0.494,7B,4,0.1333,0.312,0.25,500
0.5B,0.494,7B,8,0.1333,0.208,0.125,500
0.5B,0.494,7B,16,0.1333,0.138,0.0625,500
0.5B,0.494,7B,32,0.1333,0.094,0.0312,500
0.5B,0.494,7B,64,0.1333,0.052,0.0156,500
1.5B,1.5437,7B,2,0.4185,0.704,0.5,500
1.5B,1.5437,7B,4,0.4185,0.434,0.25,500
1.5B,1.5437,7B,8,0.4185,0.32,0.125,500
1.5B,1.5437,7B,16,0.4185,0.244,0.0625,500
1.5B,1.5437,7B,32,0.4185,0.19,0.0312,500
1.5B,1.5437,7B,64,0.4185,0.132,0.0156,500
3B,3.0859,7B,2,0.4926,0.708,0.5,500
3B,3.0859,7B,4,0.4926,0.53,0.25,500
3B,3.0859,7B,8,0.4926,0.414,0.125,500
3B,3.0859,7B,16,0.4926,0.306,0.0625,500
3B,3.0859,7B,32,0.4926,0.232,0.0312,500
3B,3.0859,7B,64,0.4926,0.228,0.0156,500
