file,candidate_id,N,unique_spends,duplicated_spends,candidate_valid
h2_k5_outputs/heldout_validation.jsonl,heldout_bookmia.13.01,20,19,1,True
h2_k5_outputs/heldout_validation.jsonl,heldout_bookmia.13.03,20,19,1,False
h2_k5_outputs/heldout_validation.jsonl,heldout_bookmia.13.04,20,19,1,True
h2_k5_outputs/heldout_validation.jsonl,heldout_bookmia.13.05,4,4,0,True
h2_k5_outputs/heldout_validation.jsonl,heldout_bookmia.13.08,20,19,1,True
h2_k5_outputs/heldout_validation.jsonl,heldout_bookmia.13.09,4,4,0,True
h2_k5_outputs/heldout_validation.jsonl,heldout_bookmia.13.10,20,19,1,True
h2_k5_outputs/heldout_validation.jsonl,heldout_bookmia.13.12,20,19,1,True
h2_outputs/heldout_validation.jsonl,heldout_bookmia.13.01,20,19,1,True
h2_outputs/heldout_validation.jsonl,heldout_bookmia.13.03,4,4,0,False
h2_outputs/heldout_validation.jsonl,heldout_bookmia.13.04,4,4,0,True
h2_outputs/heldout_validation.jsonl,heldout_bookmia.13.05,20,19,1,True
h2_outputs/heldout_validation.jsonl,heldout_bookmia.13.08,4,4,0,True
h2_outputs/heldout_validation.jsonl,heldout_bookmia.13.09,20,19,1,True
h2_outputs/heldout_validation.jsonl,heldout_bookmia.13.10,20,19,1,True
h2_outputs/heldout_validation.jsonl,heldout_bookmia.13.12,4,4,0,True
