pair,label,seed_tokens,seed_chars,seed_words,s_x,k_crit,k_crit_over_s,onset,ratio,ratio_lo,ratio_hi,no_crossing_pct,onset_nv,ratio_nv,ratio_lo_nv,ratio_hi_nv,no_crossing_pct_nv,onset_over_k_crit,pred_ratio_K,pred_ratio_null,pred_hit
Pleias-1.2B,Pleias-1.2B seed 20 (control),20,81.2,14.6,3.2094,4.9422,1.5399,2.7797,0.8661,0.7169,0.9453,0.1,2.8192,0.8784,0.7891,0.96,0.1,0.5624,0.8661,0.8661,
Pleias-1.2B,Pleias-1.2B seed 10 (Arm B),10,40.1,6.9,3.2586,5.916,1.8155,3.2719,1.0041,0.9892,1.229,0.9,3.2909,1.0099,0.9916,1.2426,1.8,0.5531,1.0211,0.8661,True
KL3M-520M,KL3M-520M seed 10,10,23.8,4,2.4237,4.2348,1.7472,2.82,1.1635,1.1269,1.3277,0.5,3.0108,1.2422,1.1303,1.3254,0.6,0.6659,1.1486,1.0321,True
KL3M-520M,KL3M-520M seed 20 (control),20,43.4,7.5,2.4147,3.7912,1.57,2.4923,1.0321,1.0068,1.2259,0.0,2.5432,1.0532,1.0163,1.2436,0.0,0.6574,1.0321,1.0321,
KL3M-520M,KL3M-520M seed 40 (Arm A),40,82.5,14.8,2.3982,3.514,1.4652,2.2526,0.9393,0.8829,1.169,0.1,2.2542,0.94,0.9137,1.1844,0.1,0.641,0.9633,1.0321,True
KL3M-520M,KL3M-520M seed 80,80,161.2,29.6,2.3872,3.4345,1.4387,2.5206,1.0559,0.7822,1.1616,0.0,2.5477,1.0672,0.9787,1.1797,0.0,0.7339,0.9458,1.0321,True
KL3M-1.7B,KL3M-1.7B seed 20 (control),20,43.4,7.5,2.2112,3.6439,1.6479,2.5536,1.1549,1.1365,1.47,0.0,2.5779,1.1659,1.14,1.5001,0.0,0.7008,1.1548,1.1549,
KL3M-1.7B,KL3M-1.7B seed 40 (Arm A2),40,82.5,14.8,2.2152,3.3845,1.5279,2.1686,0.979,0.9582,1.6686,0.0,2.2,0.9931,0.963,1.8107,0.0,0.6407,1.0707,1.1549,True
KL3M-520M tau,KL3M-520M tau 1.0 (control),20,43.4,7.5,2.4147,3.7912,1.57,2.4923,1.0321,1.0068,1.2259,0.0,2.5432,1.0532,1.0163,1.2436,0.0,0.6574,1.0321,1.0321,
KL3M-520M tau,KL3M-520M tau 0.7,20,43.4,7.5,2.6887,4.4172,1.6429,2.719,1.0113,0.8761,1.0582,0.0,2.7327,1.0164,0.8904,1.0704,0.0,0.6155,1.08,1.0321,False
KL3M-520M tau,KL3M-520M tau 0.4,20,43.4,7.5,4.0343,6.9775,1.7296,3.6034,0.8932,0.7618,0.9528,0.0,3.6629,0.9079,0.8635,0.9693,0.0,0.5164,1.137,1.0321,False
Pleias-1.2B tau,Pleias-1.2B tau 1.0 (control),20,81.2,14.6,3.2094,4.9422,1.5399,2.7797,0.8661,0.7169,0.9453,0.1,2.8192,0.8784,0.7891,0.96,0.1,0.5624,0.8661,0.8661,
Pleias-1.2B tau,Pleias-1.2B tau 0.7,20,81.2,14.6,3.5134,5.7521,1.6372,2.7344,0.7783,0.7182,0.9988,0.0,2.7482,0.7822,0.7317,1.0138,0.1,0.4754,0.9208,0.8661,True
Pleias-1.2B tau,Pleias-1.2B tau 0.4,20,81.2,14.6,5.1999,9.0023,1.7312,3.7397,0.7192,0.6472,0.8487,0.0,4.4081,0.8477,0.7048,0.9001,0.0,0.4154,0.9737,0.8661,False
