prompt_id,rank,prompt_class,n_words,reward
1nzes2,0,creative,160,-28.1875
1nzes2,1,creative,40,-12.375
2786lw,0,creative,5,-28.8125
2786lw,1,creative,101,-13.0
2ov45h,0,creative,8,-28.25
2ov45h,1,creative,81,-28.25
49u4dh,0,creative,111,-12.75
49u4dh,1,creative,51,-27.875
4iorz7,0,creative,62,-28.625
4iorz7,1,creative,53,-29.5
4xzr87,0,creative,62,-23.125
4xzr87,1,creative,83,-4.5
53rqr9,0,creative,130,-29.1875
53rqr9,1,creative,148,-29.5
5apkek,0,creative,26,-19.625
5apkek,1,creative,10,-27.5
5e6rcz,0,creative,77,-27.9375
5e6rcz,1,creative,0,-14.75
5ec7q2,0,creative,58,-21.625
5ec7q2,1,creative,29,-6.25
5f5p86,0,creative,162,-18.625
5f5p86,1,creative,152,-26.6875
5fqwjc,0,creative,10,-27.5
5fqwjc,1,creative,110,-28.125
5g58dz,0,creative,3,-27.625
5g58dz,1,creative,7,-12.5
5gq4jc,0,creative,166,-25.4375
5gq4jc,1,creative,103,-25.125
5j7ypk,0,creative,157,-14.625
5j7ypk,1,creative,0,-11.375
5je6l4,0,creative,16,-24.25
5je6l4,1,creative,0,-10.12499
5nc21f,0,creative,13,-28.125
5nc21f,1,creative,81,-27.4375
5nzsq6,0,creative,169,-9.75
5nzsq6,1,creative,0,-2.75
5ozqb9,0,creative,40,-23.375
5ozqb9,1,creative,0,-18.25
5qf97d,0,creative,153,-27.375
5qf97d,1,creative,72,-27.0
5qwzjo,0,creative,0,-10.625
5qwzjo,1,creative,148,-28.25
5r104c,0,creative,1,-23.875
5r104c,1,creative,130,-15.875
5te65i,0,creative,83,-28.4375
5te65i,1,creative,20,-10.625
5umucz,0,creative,161,-28.1875
5umucz,1,creative,36,-14.875
5w4x14,0,creative,166,-29.5
5w4x14,1,creative,151,-27.25
609k0n,0,creative,1,-23.875
609k0n,1,creative,143,-27.875
625es0,0,creative,8,4.25
625es0,1,creative,9,-26.75
63dn97,0,creative,42,-24.75
63dn97,1,creative,37,-28.875
63ku7q,0,creative,163,-10.25
63ku7q,1,creative,164,-20.5
64c0w6,0,creative,177,-26.0
64c0w6,1,creative,167,-27.375
65458n,0,creative,9,-29.6875
65458n,1,creative,145,-21.125
66uo64,0,creative,172,-28.0
66uo64,1,creative,155,-29.0
68f5c5,0,creative,36,-20.875
68f5c5,1,creative,0,-3.75
68ykga,0,creative,127,-11.875
68ykga,1,creative,88,-17.625
69dzba,0,creative,0,-10.99999
69dzba,1,creative,0,-10.99999
6d1iqq,0,creative,155,-24.0
6d1iqq,1,creative,12,-27.0
6eytds,0,creative,91,-26.3125
6eytds,1,creative,164,-28.375
6gl289,0,creative,152,-28.5625
6gl289,1,creative,168,-29.25
6hoxmq,0,creative,94,-27.5625
6hoxmq,1,creative,134,-27.125
6imc4i,0,creative,0,-3.0
6imc4i,1,creative,156,-26.125
6isay3,0,creative,162,-27.1875
6isay3,1,creative,170,-26.125
6ixx9u,0,creative,82,-26.875
6ixx9u,1,creative,150,-27.0
6k8gdu,0,creative,157,-13.875
6k8gdu,1,creative,157,-28.875
6l6v6l,0,creative,167,-26.5
6l6v6l,1,creative,12,-25.25
6m7z8a,0,creative,163,-28.5625
6m7z8a,1,creative,0,-24.3125
6mztko,0,creative,169,-27.125
6mztko,1,creative,50,-24.5
6o18uh,0,creative,119,-26.9375
6o18uh,1,creative,30,-27.1875
6o679d,0,creative,153,-22.125
6o679d,1,creative,87,-27.625
6ohgxv,0,creative,5,-25.8125
6ohgxv,1,creative,40,-25.125
6szrbs,0,creative,64,-20.75
6szrbs,1,creative,43,-20.125
6tsiyd,0,creative,169,-27.125
6tsiyd,1,creative,159,-26.125
6wgtsx,0,creative,84,-27.6875
6wgtsx,1,creative,74,-20.625
6wxzhc,0,creative,0,-6.375
6wxzhc,1,creative,0,-6.375
6xisxt,0,creative,169,-14.875
6xisxt,1,creative,141,-25.5
6xngfe,0,creative,173,-27.0
6xngfe,1,creative,0,-9.0
6xsruw,0,creative,63,-2.25
6xsruw,1,creative,78,-11.125
71p51h,0,creative,16,-13.5
71p51h,1,creative,153,-29.75
72l2aj,0,creative,59,-26.875
72l2aj,1,creative,141,-29.3125
74ih3z,0,creative,101,-27.5625
74ih3z,1,creative,130,-23.875
765fhd,0,creative,161,-25.5625
765fhd,1,creative,147,-22.0
76b9gc,0,creative,112,-29.375
76b9gc,1,creative,0,-20.25
77dd17,0,creative,46,-28.5625
77dd17,1,creative,165,-26.4375
796161,0,creative,5,-26.5
796161,1,creative,62,-23.0
7adktz,0,creative,123,-20.875
7adktz,1,creative,45,-25.4375
7bowjq,0,creative,5,-27.375
7bowjq,1,creative,167,-26.5625
7d0x9k,0,creative,3,-27.3125
7d0x9k,1,creative,0,-0.25
7dcwik,0,creative,10,-24.5
7dcwik,1,creative,0,-23.125
7e3im5,0,creative,0,-18.75
7e3im5,1,creative,11,-29.6875
7en7vl,0,creative,130,-29.5625
7en7vl,1,creative,158,-28.5625
7ezd5t,0,creative,136,-28.5625
7ezd5t,1,creative,170,-17.25
7gjj2w,0,creative,73,-26.25
7gjj2w,1,creative,122,-27.375
7h9f8e,0,creative,40,-21.625
7h9f8e,1,creative,0,-14.875
7iltd1,0,creative,121,-28.9375
7iltd1,1,creative,18,-30.6875
7iubwq,0,creative,179,-25.5
7iubwq,1,creative,4,-7.25
7jfvx7,0,creative,126,-29.0
7jfvx7,1,creative,165,-20.625
7jqj29,0,creative,166,-8.875
7jqj29,1,creative,163,-24.75
7l7e1m,0,creative,0,-15.875
7l7e1m,1,creative,121,-20.375
7ld0jk,0,creative,0,-12.0
7ld0jk,1,creative,160,-27.6875
7lzk5g,0,creative,136,-29.5
7lzk5g,1,creative,3,-29.625
7q0acw,0,creative,37,-26.75
7q0acw,1,creative,148,-8.25
7rb6uj,0,creative,1,-27.5625
7rb6uj,1,creative,105,-26.9375
7rie85,0,creative,0,-17.25
7rie85,1,creative,167,-18.125
7rpy8m,0,creative,11,-29.6875
7rpy8m,1,creative,153,-20.5
7svmp5,0,creative,35,-21.0
7svmp5,1,creative,151,-28.5625
7tge90,0,creative,160,-21.5
7tge90,1,creative,170,-17.5
7u04a5,0,creative,0,-1.5
7u04a5,1,creative,146,-26.875
7uezw8,0,creative,19,-27.5
7uezw8,1,creative,159,-28.4375
