prompt_id,rank,prompt_class,n_words,reward
1nzes2,0,creative,25,-27.5827
1nzes2,1,creative,97,-27.27217
1nzes2,2,creative,92,-14.0294
1nzes2,3,creative,135,-23.66234
1nzes2,4,creative,36,-26.13703
1nzes2,5,creative,147,-12.23927
1nzes2,6,creative,15,-26.33828
1nzes2,7,creative,145,-27.73585
1nzes2,8,creative,119,-26.45808
1nzes2,9,creative,154,-29.41141
1nzes2,10,creative,118,-23.92099
1nzes2,11,creative,27,-28.98078
1nzes2,12,creative,151,-21.61809
1nzes2,13,creative,138,-23.45385
1nzes2,14,creative,127,-27.81104
1nzes2,15,creative,140,-25.94502
1nzes2,16,creative,148,-11.04138
1nzes2,17,creative,148,-18.88219
1nzes2,18,creative,156,-11.25217
1nzes2,19,creative,1,-17.81279
1nzes2,20,creative,45,-25.29595
1nzes2,21,creative,97,-29.32006
1nzes2,22,creative,144,-10.38503
1nzes2,23,creative,143,-28.75735
1nzes2,24,creative,49,-20.79027
1nzes2,25,creative,136,-22.66849
1nzes2,26,creative,22,-14.81669
1nzes2,27,creative,98,-28.61127
1nzes2,28,creative,157,-18.23307
1nzes2,29,creative,1,-17.81286
1nzes2,30,creative,1,-17.81286
1nzes2,31,creative,132,-2.59495
1nzes2,32,creative,142,-12.7958
1nzes2,33,creative,104,-29.66716
1nzes2,34,creative,53,-29.15296
1nzes2,35,creative,18,-23.11039
1nzes2,36,creative,139,-28.36102
1nzes2,37,creative,127,-27.87888
1nzes2,38,creative,147,-21.09203
1nzes2,39,creative,136,-26.74858
1nzes2,40,creative,144,-11.93775
1nzes2,41,creative,12,-25.02037
1nzes2,42,creative,141,-16.51481
1nzes2,43,creative,144,-28.03618
1nzes2,44,creative,2,-20.78601
1nzes2,45,creative,125,-28.58846
1nzes2,46,creative,138,-26.72479
1nzes2,47,creative,17,-25.64575
1nzes2,48,creative,54,-28.19719
1nzes2,49,creative,34,-27.51692
1nzes2,50,creative,123,-20.06606
1nzes2,51,creative,1,-17.81281
