judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.45,0.415,0.486,0.0,0.0,0.0,99.6,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.461,0.429,0.495,0.011,-0.016,0.041,86.2,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.508,0.475,0.541,0.058,0.021,0.094,84.3,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.52,0.486,0.555,0.07,0.028,0.112,88.3,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.551,0.517,0.584,0.101,0.056,0.145,98.7,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.576,0.541,0.609,0.126,0.082,0.17,104.4,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.61,0.576,0.644,0.16,0.114,0.205,109.9,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.401,0.358,0.446,0.0,0.0,0.0,99.6,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.505,0.461,0.549,0.104,0.068,0.141,86.2,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.53,0.487,0.57,0.129,0.086,0.173,84.3,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.612,0.57,0.654,0.211,0.164,0.256,88.3,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.637,0.596,0.678,0.236,0.187,0.285,98.7,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.643,0.601,0.684,0.242,0.191,0.294,104.4,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.653,0.611,0.694,0.252,0.2,0.301,109.9,1.0
