judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.333,0.3,0.367,0.0,0.0,0.0,68.6,0.6429
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.326,0.293,0.356,-0.007,-0.036,0.024,70.2,0.6429
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.309,0.278,0.342,-0.024,-0.061,0.013,70.5,0.6429
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.332,0.301,0.364,-0.001,-0.04,0.039,67.4,0.6429
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.351,0.319,0.385,0.018,-0.019,0.055,67.2,0.6429
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.354,0.32,0.388,0.021,-0.017,0.061,65.4,0.6429
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.35,0.318,0.385,0.017,-0.022,0.056,61.8,0.6429
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.216,0.178,0.252,0.0,0.0,0.0,68.6,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.234,0.198,0.271,0.018,-0.012,0.046,70.2,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.222,0.187,0.259,0.006,-0.028,0.04,70.5,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.247,0.211,0.285,0.031,-0.004,0.068,67.4,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.275,0.238,0.315,0.059,0.021,0.096,67.2,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.303,0.262,0.344,0.087,0.048,0.125,65.4,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.321,0.279,0.362,0.105,0.064,0.147,61.8,0.9643
