judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.305,0.274,0.335,0.0,0.0,0.0,71.5,-0.0371
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.3,0.268,0.332,-0.005,-0.032,0.024,72.1,-0.0371
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.303,0.272,0.335,-0.002,-0.035,0.032,72.9,-0.0371
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.307,0.274,0.34,0.002,-0.035,0.039,72.4,-0.0371
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.3,0.267,0.334,-0.005,-0.039,0.032,71.6,-0.0371
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.314,0.282,0.347,0.009,-0.027,0.045,70.7,-0.0371
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.3,0.269,0.332,-0.005,-0.043,0.033,69.9,-0.0371
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.212,0.176,0.25,0.0,0.0,0.0,71.5,0.6847
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.198,0.165,0.236,-0.014,-0.04,0.012,72.1,0.6847
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.19,0.157,0.223,-0.022,-0.053,0.011,72.9,0.6847
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.202,0.169,0.237,-0.01,-0.045,0.027,72.4,0.6847
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.212,0.178,0.248,0.0,-0.038,0.035,71.6,0.6847
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.216,0.179,0.251,0.004,-0.032,0.04,70.7,0.6847
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.219,0.183,0.257,0.007,-0.034,0.046,69.9,0.6847
