judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,805,0.3168,0.2913,0.3435,0.0,0.0,0.0,91.5,0.9515
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,805,0.3447,0.3174,0.3714,0.028,0.0043,0.0509,86.6,0.9515
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,805,0.364,0.3379,0.3913,0.0472,0.0193,0.0739,85.2,0.9515
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,805,0.3783,0.3516,0.405,0.0615,0.0298,0.0932,79.7,0.9515
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,805,0.3839,0.3565,0.4106,0.0671,0.0348,0.1012,75.3,0.9515
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,805,0.3988,0.3727,0.4236,0.082,0.0491,0.1155,78.8,0.9515
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,805,0.3925,0.3634,0.4211,0.0758,0.041,0.1087,79.2,0.9515
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),128,3.8598,805,0.3913,0.364,0.4193,0.0745,0.0391,0.1087,78.4,0.9515
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),256,4.5491,805,0.418,0.3913,0.4478,0.1012,0.0677,0.136,79.5,0.9515
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),512,5.2403,805,0.4236,0.3957,0.4522,0.1068,0.072,0.1416,81.3,0.9515
