judge,prompt_id,u_n1,u_n2,u_n4,u_n8,u_n16,u_n32,u_n64,u_n128,u_n256
Phi-3.5-mini-instruct,mtbench_100,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_101,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_102,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_103,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_105,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_106,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_107,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_108,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_110,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_111,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,mtbench_112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_113,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_115,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_116,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_117,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_118,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_120,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0
Phi-3.5-mini-instruct,mtbench_121,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_122,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_123,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,mtbench_124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,mtbench_125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,mtbench_126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,mtbench_127,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_128,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,mtbench_129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_130,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_131,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_132,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_133,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_134,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_135,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_136,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_137,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_138,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_139,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_140,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_141,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,mtbench_142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_143,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_144,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_145,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,mtbench_146,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_147,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_148,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_149,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_151,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,mtbench_152,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,mtbench_153,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_154,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_156,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,mtbench_157,0.0,1.0,1.0,0.0,0.5,1.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,mtbench_158,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_159,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,mtbench_160,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_81,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,mtbench_82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_83,0.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,mtbench_84,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,mtbench_87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_89,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_90,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_91,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,mtbench_92,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_94,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_96,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_97,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_98,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,mtbench_99,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
